T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1874.154043	6	0	94	0	0	2.301510226	0	97.69848977	6	0	94							-0.0008598454374		0.0008598454374	-1874.154043	0	43.001691215291	
1874.134043	6	0	94	0.0004692309214	0.0004649289108	2.302203041	0	97.69779696	6.001719772	0	93.99828023							0		0	-1874.134043	0.0004649289108	43.0329671395442	
1874.114043	6	0	94	0.0009381194466	0.0009295201613	2.302895843	0	97.69710416	6.003439491	0	93.99656051							0		0	-1874.114043	0.0009295201613	43.05802691109	
1874.074043	6	0	94	0.001875275856	0.0018580925	2.304281458	0	97.69571854	6.006878815	0	93.99312119							0		0	-1874.074043	0.0018580925	43.0988753979341	
1873.994043	6	0	94	0.003746705646	0.003712399709	2.307052655	0	97.69294735	6.01375696	0	93.98624304							0		0	-1873.994043	0.003712399709	43.1868819587595	
1873.834043	6	0	94	0.007478072497	0.007409703105	2.312595074	0	97.68740493	6.027511242	0	93.97248876							0		0	-1873.834043	0.007409703105	43.3958223322557	
1873.514043	6	0	94	0.01487874103	0.01474311456	2.323679812	0	97.67632019	6.055011625	0	93.94498838							0		0	-1873.514043	0.01474311456	43.8308766054524	
1872.874043	6	0	94	0.02948476613	0.02921760509	2.345849049	0	97.65415095	6.109980147	0	93.89001985							0		0	-1872.874043	0.02921760509	44.6296806553337	
1871.594043	6	0	94	0.05790787762	0.05738948342	2.390186192	0	97.60981381	6.21978816	0	93.78021184							0		0	-1871.594043	0.05738948342	46.2875212165434	
