T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1897.083685	4	0	96	0	0	1.507615935	0	98.49238406	4	0	96							-0.0008848501221		0.0008848501221	-1897.083685	0	28.1652335172781	
1897.063685	4	0	96	0.0007141974188	0.0007097938935	1.508307548	0	98.49169245	4.001769694	0	95.99823031							0		0	-1897.063685	0.0007097938935	28.1891538144067	
1897.043685	4	0	96	0.001427786865	0.001418985992	1.508999153	0	98.49100085	4.003539334	0	95.99646067							0		0	-1897.043685	0.001418985992	28.2118221781772	
1897.003685	4	0	96	0.002853334232	0.002835756005	1.510382379	0	98.48961762	4.007078489	0	95.99292151							0		0	-1897.003685	0.002835756005	28.2553306047786	
1896.923685	4	0	96	0.005697731687	0.005662669118	1.513148841	0	98.48685116	4.014156264	0	95.98584374							0		0	-1896.923685	0.005662669118	28.3437606968792	
1896.763685	4	0	96	0.01135987634	0.01129012529	1.518681923	0	98.48131808	4.028309674	0	95.97169033							0		0	-1896.763685	0.01129012529	28.5548639762589	
1896.443685	4	0	96	0.0225400199	0.02240223348	1.529748451	0	98.47025155	4.056607683	0	95.94339232							0		0	-1896.443685	0.02240223348	28.9952941543384	
1895.803685	4	0	96	0.04445273406	0.04418341584	1.55188337	0	98.44811663	4.113169263	0	95.88683074							0		0	-1895.803685	0.04418341584	29.8078385935963	
1894.523685	4	0	96	0.08649695038	0.08598232352	1.596160103	0	98.4038399	4.226154543	0	95.77384546							0		0	-1894.523685	0.08598232352	31.5098283193185	
1891.963685	4	0	96	0.1641509706	0.1632101194	1.684738731	0	98.31526127	4.451576034	0	95.54842397							0		0	-1891.963685	0.1632101194	35.0154924211404	
1889.403685	4	0	96	0.2342534309	0.2329618807	1.773346771	0	98.22665323	4.676270785	0	95.32372922							0		0	-1889.403685	0.2329618807	38.6485977266155	
