T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1433.867128	15	12	73	0	0	6.320657844	7.431551551	86.24779061	15	12	73										-0.0002494150574	-0.0001312752608	0.0003806903182	-1433.867128	0	347.537981778382	
1433.847128	15	12	73	5.921032903E-05	5.751311854E-05	6.320736084	7.432046132	86.24721778	15.00049872	12.00026262	72.99923866										0	0	0	-1433.847128	5.751311854E-05	347.955516320559	
1433.827128	15	12	73	0.0001183495837	0.000114957306	6.320814416	7.432540632	86.24664495	15.00099772	12.00052505	72.99847723										0	0	0	-1433.827128	0.000114957306	348.098561039176	
1433.787128	15	12	73	0.0002366945552	0.0002299105563	6.320970914	7.43352983	86.24549926	15.00199559	12.00104996	72.99695445										0	0	0	-1433.787128	0.0002299105563	347.973746426692	
1433.707128	15	12	73	0.0004733705285	0.0004598047608	6.321283685	7.435508571	86.24320774	15.00399176	12.00209942	72.99390883										0	0	0	-1433.707128	0.0004598047608	348.028708371234	
1433.547128	15	12	73	0.0009465436866	0.0009194245928	6.321908297	7.43946748	86.23862422	15.00798575	12.00419683	72.98781742										0	0	0	-1433.547128	0.0009194245928	348.123193055576	
1433.227128	15	12	73	0.001892792336	0.001838589748	6.323153966	7.447390815	86.22945522	15.01598077	12.0083854	72.97563382										0	0	0	-1433.227128	0.001838589748	348.190606609851	
1432.587128	15	12	73	0.00378441376	0.003676150686	6.325630944	7.463259711	86.21110934	15.03199883	12.01673771	72.95126346										0	0	0	-1432.587128	0.003676150686	348.383121581129	
1431.307128	15	12	73	0.007564218333	0.007348258223	6.330527436	7.495086497	86.17438607	15.06414844	12.03334209	72.90250947										0	0	0	-1431.307128	0.007348258223	348.915462361369	
