T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1799.006838	0	9	91	0	0	0	3.312582298	96.6874177	0	9	91								-0.0005403754494	0.0005403754494	-1799.006838	0	105.176444664981	
1798.986838	0	9	91	0.0001916441817	0.0001900820251	0	3.313088274	96.68691173	0	9.001080744	90.99891926								0	0	-1798.986838	0.0001900820251	105.259023806696	
1798.966838	0	9	91	0.0003831378523	0.0003800150415	0	3.31359425	96.68640575	0	9.002161439	90.99783856								0	0	-1798.966838	0.0003800150415	105.309353562328	
1798.926838	0	9	91	0.0007660254096	0.0007597829301	0	3.314606253	96.68539375	0	9.004322708	90.99567729								0	0	-1798.926838	0.0007597829301	105.346011055355	
1798.846838	0	9	91	0.001531393664	0.001518918469	0	3.316630447	96.68336955	0	9.008644742	90.99135526								0	0	-1798.846838	0.001518918469	105.427964761104	
1798.686838	0	9	91	0.003060162724	0.003035251343	0	3.320679585	96.67932042	0	9.017286784	90.98271322								0	0	-1798.686838	0.003035251343	105.607697367557	
1798.366838	0	9	91	0.006109859715	0.006060192623	0	3.328780863	96.67121914	0	9.034562779	90.96543722								0	0	-1798.366838	0.006060192623	105.96748078368	
1797.726838	0	9	91	0.0121781163	0.01207940185	0	3.344995462	96.65500454	0	9.069082464	90.93091754								0	0	-1797.726838	0.01207940185	106.817549699966	
1796.446838	0	9	91	0.02414933337	0.0239546946	0	3.377472847	96.62252715	0	9.1379926	90.8620074								0	0	-1796.446838	0.0239546946	108.581672057226	
1793.886838	0	9	91	0.047577434	0.0471983769	0	3.442622922	96.55737708	0	9.27530115	90.72469885								0	0	-1793.886838	0.0471983769	111.796323394107	
1791.326838	0	9	91	0.07032561981	0.06977186738	0	3.508036905	96.4919631	0	9.411933724	90.58806628								0	0	-1791.326838	0.06977186738	115.073425821613	
1788.766838	0	9	91	0.09242901138	0.09170985074	0	3.573719177	96.42628082	0	9.547898538	90.45210146								0	0	-1788.766838	0.09170985074	118.361366236414	
1786.206838	0	9	91	0.1139216613	0.1130459642	0	3.639674168	96.36032583	0	9.683203715	90.31679628								0	0	-1786.206838	0.1130459642	121.654504697347	
1783.646838	0	9	91	0.1348354497	0.1338117011	0	3.705906345	96.29409366	0	9.817857322	90.18214268								0	0	-1783.646838	0.1338117011	124.950134195274	
1781.086838	0	9	91	0.1552002573	0.1540365811	0	3.77242021	96.22757979	0	9.951867377	90.04813262								0	0	-1781.086838	0.1540365811	128.24552342391	
1778.526838	0	9	91	0.1750441234	0.173748307	0	3.839220307	96.16077969	0	10.08524185	89.91475815								0	0	-1778.526838	0.173748307	131.537913113376	
1775.966838	0	9	91	0.1943933907	0.1929729068	0	3.90631122	96.09368878	0	10.21798866	89.78201134								0	0	-1775.966838	0.1929729068	134.824518956211	
1773.406838	0	9	91	0.2132728354	0.211734863	0	3.973697571	96.02630243	0	10.35011569	89.64988431								0	0	-1773.406838	0.211734863	138.102534275143	
1770.846838	0	9	91	0.2317057869	0.2300572302	0	4.041384029	95.95861597	0	10.48163078	89.51836922								0	0	-1770.846838	0.2300572302	141.369135890433	
1768.286838	0	9	91	0.2497142358	0.2479617417	0	4.109375303	95.8906247	0	10.6125417	89.3874583								0	0	-1768.286838	0.2479617417	144.621484562872	
1765.726838	0	9	91	0.2673189329	0.2654689081	0	4.177676147	95.82232385	0	10.74285622	89.25714378								0	0	-1765.726838	0.2654689081	147.856730812086	
1763.166838	0	9	91	0.2845394802	0.2825981057	0	4.246291359	95.75370864	0	10.87258205	89.12741795								0	0	-1763.166838	0.2825981057	151.072017326632	
1760.606838	0	9	91	0.3013944133	0.2993676593	0	4.315225787	95.68477421	0	11.00172685	88.99827315								0	0	-1760.606838	0.2993676593	154.264483053979	
1758.046838	0	9	91	0.3179012775	0.3157949163	0	4.384484322	95.61551568	0	11.13029827	88.86970173								0	0	-1758.046838	0.3157949163	157.431269394871	
1755.486838	0	9	91	0.3340766974	0.3318963159	0	4.454071906	95.54592809	0	11.25830389	88.74169611								0	0	-1755.486838	0.3318963159	160.569520273042	
