T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1559.468287	7	12	81	0.1888513188	0.185761916	3.540685475	6.720911783	89.73840274	7.7892154	13.20438239	79.00640221										0	0	0	-1559.468287	0.185761916	280.36149328076	
1556.908287	7	12	81	0.1980811837	0.1948661292	3.557944922	6.780565622	89.66148946	7.83307921	13.26325754	78.90366325										0	0	0	-1556.908287	0.1948661292	282.000098342233	
1554.348287	7	12	81	0.2072556281	0.2039182371	3.575171624	6.840459684	89.58436869	7.877278359	13.32162909	78.80109255										0	0	0	-1554.348287	0.2039182371	283.598267442431	
1551.788287	7	12	81	0.2163765709	0.2129201156	3.59236883	6.900591414	89.50703976	7.921829631	13.37948782	78.69868255										0	0	0	-1551.788287	0.2129201156	285.155840925422	
1549.228287	7	12	81	0.2254458804	0.2218735923	3.609539898	6.960958002	89.4295021	7.966750249	13.43682412	78.59642563										0	0	0	-1549.228287	0.2218735923	286.672724496104	
1546.668287	7	12	81	0.2344653755	0.2307804467	3.626688303	7.02155637	89.35175533	8.012057886	13.49362802	78.4943141										0	0	0	-1546.668287	0.2307804467	288.148885101832	
1544.108287	7	12	81	0.2434368261	0.2396424112	3.643817638	7.082383161	89.2737992	8.057770685	13.54988916	78.39234016										0	0	0	-1544.108287	0.2396424112	289.584353523811	
1541.548287	7	12	81	0.252361953	0.2484611711	3.660931616	7.143434727	89.19563366	8.103907267	13.60559677	78.29049597										0	0	0	-1541.548287	0.2484611711	290.979233061439	
1538.988287	7	12	81	0.2612424293	0.257238365	3.678034074	7.20470712	89.11725881	8.150486747	13.66073967	78.18877359										0	0	0	-1538.988287	0.257238365	292.333692214134	
1536.428287	7	12	81	0.2700798794	0.2659755852	3.695128976	7.266196074	89.03867495	8.197528748	13.71530626	78.08716499										0	0	0	-1536.428287	0.2659755852	293.647971967853	
1533.868287	7	12	81	0.2788758803	0.2746743776	3.712220415	7.327897001	88.95988258	8.245053417	13.7692845	77.98566208										0	0	0	-1533.868287	0.2746743776	294.922393200595	
