T	w(CU)	w(FE)	w(TI)	fs	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)	-T//fw(@BCC_A2)	-T_1	fs_1	-T//fs	
K	%	%	%	mole/mole	%	%	%	%	%	%	SI	SI	SI		kg/kg					
1802.734519	0	0	100	1	0	0	100							-1802.734519	1	NaN	-1802.734519	1	NaN	
1800.174519	0	0	100	1	0	0	100							-1800.174519	1	NaN	-1800.174519	1	NaN	
1797.614519	0	0	100	1	0	0	100							-1797.614519	1	NaN	-1797.614519	1	NaN	
1795.054519	0	0	100	1	0	0	100							-1795.054519	1	NaN	-1795.054519	1	NaN	
1792.494519	0	0	100	1	0	0	100							-1792.494519	1	NaN	-1792.494519	1	NaN	
1789.934519	0	0	100	1	0	0	100							-1789.934519	1	NaN	-1789.934519	1	NaN	
1787.374519	0	0	100	1	0	0	100							-1787.374519	1	NaN	-1787.374519	1	NaN	
1784.814519	0	0	100	1	0	0	100							-1784.814519	1	NaN	-1784.814519	1	NaN	
1782.254519	0	0	100	1	0	0	100							-1782.254519	1	NaN	-1782.254519	1	NaN	
1779.694519	0	0	100	1	0	0	100							-1779.694519	1	NaN	-1779.694519	1	NaN	
1777.134519	0	0	100	1	0	0	100							-1777.134519	1	NaN	-1777.134519	1	NaN	
1774.574519	0	0	100	1	0	0	100							-1774.574519	1	NaN	-1774.574519	1	NaN	
1772.014519	0	0	100	1	0	0	100							-1772.014519	1	NaN	-1772.014519	1	NaN	
1769.454519	0	0	100	1	0	0	100							-1769.454519	1	NaN	-1769.454519	1	NaN	
1766.894519	0	0	100	1	0	0	100							-1766.894519	1	NaN	-1766.894519	1	NaN	
1764.334519	0	0	100	1	0	0	100							-1764.334519	1	NaN	-1764.334519	1	NaN	
1761.774519	0	0	100	1	0	0	100							-1761.774519	1	NaN	-1761.774519	1	NaN	
1759.214519	0	0	100	1	0	0	100							-1759.214519	1	NaN	-1759.214519	1	NaN	
1756.654519	0	0	100	1	0	0	100							-1756.654519	1	NaN	-1756.654519	1	NaN	
1754.094519	0	0	100	1	0	0	100							-1754.094519	1	NaN	-1754.094519	1	NaN	
1751.534519	0	0	100	1	0	0	100							-1751.534519	1	NaN	-1751.534519	1	NaN	
1748.974519	0	0	100	1	0	0	100							-1748.974519	1	NaN	-1748.974519	1	NaN	
1746.414519	0	0	100	1	0	0	100							-1746.414519	1	NaN	-1746.414519	1	NaN	
1743.854519	0	0	100	1	0	0	100							-1743.854519	1	NaN	-1743.854519	1	NaN	
1741.294519	0	0	100	1	0	0	100							-1741.294519	1	NaN	-1741.294519	1	NaN	
1738.734519	0	0	100	1	0	0	100							-1738.734519	1	NaN	-1738.734519	1	NaN	
1736.174519	0	0	100	1	0	0	100							-1736.174519	1	NaN	-1736.174519	1	NaN	
1733.614519	0	0	100	1	0	0	100							-1733.614519	1	NaN	-1733.614519	1	NaN	
1731.054519	0	0	100	1	0	0	100							-1731.054519	1	NaN	-1731.054519	1	NaN	
1728.494519	0	0	100	1	0	0	100							-1728.494519	1	NaN	-1728.494519	1	NaN	
1725.934519	0	0	100	1	0	0	100							-1725.934519	1	NaN	-1725.934519	1	NaN	
1723.374519	0	0	100	1	0	0	100							-1723.374519	1	NaN	-1723.374519	1	NaN	
1720.814519	0	0	100	1	0	0	100							-1720.814519	1	NaN	-1720.814519	1	NaN	
1718.254519	0	0	100	1	0	0	100							-1718.254519	1	NaN	-1718.254519	1	NaN	
1715.694519	0	0	100	1	0	0	100							-1715.694519	1	NaN	-1715.694519	1	NaN	
1713.134519	0	0	100	1	0	0	100							-1713.134519	1	NaN	-1713.134519	1	NaN	
1710.574519	0	0	100	1	0	0	100							-1710.574519	1	NaN	-1710.574519	1	NaN	
1708.014519	0	0	100	1	0	0	100							-1708.014519	1	NaN	-1708.014519	1	NaN	
1705.454519	0	0	100	1	0	0	100							-1705.454519	1	NaN	-1705.454519	1	NaN	
1702.894519	0	0	100	1	0	0	100							-1702.894519	1	NaN	-1702.894519	1	NaN	
1700.334519	0	0	100	1	0	0	100							-1700.334519	1	NaN	-1700.334519	1	NaN	
1697.774519	0	0	100	1	0	0	100							-1697.774519	1	NaN	-1697.774519	1	NaN	
1695.214519	0	0	100	1	0	0	100							-1695.214519	1	NaN	-1695.214519	1	NaN	
1692.654519	0	0	100	1	0	0	100							-1692.654519	1	NaN	-1692.654519	1	NaN	
1690.094519	0	0	100	1	0	0	100							-1690.094519	1	NaN	-1690.094519	1	NaN	
1687.534519	0	0	100	1	0	0	100							-1687.534519	1	NaN	-1687.534519	1	NaN	
1684.974519	0	0	100	1	0	0	100							-1684.974519	1	NaN	-1684.974519	1	NaN	
1682.414519	0	0	100	1	0	0	100							-1682.414519	1	NaN	-1682.414519	1	NaN	
1679.854519	0	0	100	1	0	0	100							-1679.854519	1	NaN	-1679.854519	1	NaN	
1677.294519	0	0	100	1	0	0	100							-1677.294519	1	NaN	-1677.294519	1	NaN	
1674.734519	0	0	100	1	0	0	100							-1674.734519	1	NaN	-1674.734519	1	NaN	
