T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1765.88522	8	2	90	0.4162140935	0.411835092	4.376472757	0.9767396536	94.64678759	10.53721399	2.716492859	86.74629315										0	0	0	-1765.88522	0.411835092	159.057073369919	
1763.32522	8	2	90	0.4321979419	0.427723111	4.435024837	0.992660311	94.57231485	10.66449101	2.75289401	86.58261498										0	0	0	-1763.32522	0.427723111	163.272344155733	
1760.76522	8	2	90	0.4477654912	0.4432042913	4.493417497	1.008613006	94.4979695	10.79121509	2.789137346	86.41964757										0	0	0	-1760.76522	0.4432042913	167.524923586797	
1758.20522	8	2	90	0.4629341705	0.4582956661	4.551652399	1.024596476	94.42375113	10.91739728	2.82521856	86.25738416										0	0	0	-1758.20522	0.4582956661	171.813957268856	
1755.64522	8	2	90	0.4777204528	0.4730133344	4.60973129	1.040609417	94.34965929	11.04304878	2.861133267	86.09581795										0	0	0	-1755.64522	0.4730133344	176.138587956755	
1753.08522	8	2	90	0.4921399197	0.4873725239	4.667656007	1.056650488	94.27569351	11.16818088	2.896877003	85.93494212										0	0	0	-1753.08522	0.4873725239	180.497952827135	
1750.52522	8	2	90	0.5062073206	0.50138765	4.725428474	1.072718303	94.20185322	11.292805	2.932445227	85.77474978										0	0	0	-1750.52522	0.50138765	184.89118672864	
1747.96522	8	2	90	0.5199366282	0.5150723686	4.7830507	1.088811439	94.12813786	11.41693268	2.967833323	85.615234										0	0	0	-1747.96522	0.5150723686	189.317423709383	
1745.40522	8	2	90	0.5333410885	0.528439626	4.84052478	1.104928428	94.05454679	11.54057558	3.003036602	85.45638782										0	0	0	-1745.40522	0.528439626	193.775794768825	
1742.84522	8	2	90	0.5464332677	0.5415017042	4.897852895	1.121067764	93.98107934	11.66374548	3.038050297	85.29820422										0	0	0	-1742.84522	0.5415017042	198.265429048162	
1740.28522	8	2	90	0.5592250954	0.5542702633	4.955037307	1.137227897	93.9077348	11.78645428	3.072869572	85.14067615										0	0	0	-1740.28522	0.5542702633	202.785455031227	
1737.72522	8	2	90	0.5717279038	0.5667563801	5.012080363	1.153407234	93.8345124	11.90871399	3.107489516	84.98379649										0	0	0	-1737.72522	0.5667563801	207.335022800485	
1735.16522	8	2	90	0.583952463	0.5789705819	5.06898445	1.16960414	93.76141141	12.03053677	3.141905137	84.82755809										0	0	0	-1735.16522	0.5789705819	211.913223325395	
1732.60522	8	2	90	0.5959090235	0.5909228888	5.125752156	1.185816936	93.68843091	12.15193484	3.176111406	84.67195375										0	0	0	-1732.60522	0.5909228888	216.519189745771	
1730.04522	8	2	90	0.607607335	0.6026228314	5.182386028	1.202043902	93.61557007	12.27292059	3.210103192	84.51697622										0	0	0	-1730.04522	0.6026228314	221.152093918327	
1727.48522	8	2	90	0.6190566841	0.614079488	5.238888736	1.218283273	93.54282799	12.39350649	3.243875307	84.3626182										0	0	0	-1727.48522	0.614079488	225.81105664458	
1724.92522	8	2	90	0.6302659194	0.6253015093	5.295263022	1.234533239	93.47020374	12.51370516	3.277422495	84.20887234										0	0	0	-1724.92522	0.6253015093	230.495219737462	
1722.36522	8	2	90	0.6412434773	0.6362971431	5.351511709	1.250791946	93.39769635	12.63352931	3.310739436	84.05573126										0	0	0	-1722.36522	0.6362971431	235.203730088201	
1719.80522	8	2	90	0.6519974052	0.6470742574	5.407637695	1.267057496	93.32530481	12.75299177	3.343820742	83.90318749										0	0	0	-1719.80522	0.6470742574	239.935740645829	
1717.24522	8	2	90	0.6625353834	0.6576403618	5.463643953	1.283327948	93.2530281	12.87210548	3.376660966	83.75123356										0	0	0	-1717.24522	0.6576403618	244.690415625387	
1714.68522	8	2	90	0.672864746	0.6680026272	5.519533529	1.299601312	93.18086516	12.99088349	3.409254594	83.59986191										0	0	0	-1714.68522	0.6680026272	249.466923239124	
1712.12522	8	2	90	0.6829924993	0.6781679051	5.575309543	1.315875555	93.1088149	13.10933898	3.441596054	83.44906496										0	0	0	-1712.12522	0.6781679051	254.26444092446	
1709.56522	8	2	90	0.6929253403	0.6881427444	5.630975186	1.332148599	93.03687621	13.22748521	3.473679713	83.29883507										0	0	0	-1709.56522	0.6881427444	259.082158075169	
1707.00522	8	2	90	0.702669673	0.6979334081	5.686533722	1.348418319	92.96504796	13.34533557	3.50549988	83.14916455										0	0	0	-1707.00522	0.6979334081	263.91927426893	
1704.44522	8	2	90	0.712231624	0.7075458882	5.741988483	1.364682545	92.89332897	13.46290353	3.537050805	83.00004567										0	0	0	-1704.44522	0.7075458882	268.77500466213	
1701.88522	8	2	90	0.7216170572	0.71698592	5.797342868	1.38093906	92.82171807	13.58020268	3.568326685	82.85147063										0	0	0	-1701.88522	0.71698592	273.64857475733	
1699.32522	8	2	90	0.7308315872	0.7262589956	5.852600348	1.397185601	92.75021405	13.69724672	3.599321662	82.70343162										0	0	0	-1699.32522	0.7262589956	278.539223450077	
1696.76522	8	2	90	0.7398805923	0.7353703763	5.907764456	1.413419859	92.67881568	13.81404942	3.630029825	82.55592075										0	0	0	-1696.76522	0.7353703763	283.446211495084	
1694.20522	8	2	90	0.7487692264	0.744325104	5.962838792	1.42963948	92.60752173	13.93062469	3.660445212	82.4089301										0	0	0	-1694.20522	0.744325104	288.368811729716	
1691.64522	8	2	90	0.7575024303	0.7531280128	6.017827022	1.445842062	92.53633092	14.04698649	3.690561813	82.2624517										0	0	0	-1691.64522	0.7531280128	293.306314000436	
1689.08522	8	2	90	0.7660849422	0.7617837388	6.072732871	1.462025156	92.46524197	14.1631489	3.72037357	82.11647753										0	0	0	-1689.08522	0.7617837388	298.25803748013	
1686.52522	8	2	90	0.7745213074	0.7702967297	6.127560128	1.478186269	92.3942536	14.27912609	3.749874381	81.97099953										0	0	0	-1686.52522	0.7702967297	303.223309903033	
1683.96522	8	2	90	0.7828158882	0.7786712547	6.182312642	1.494322859	92.3233645	14.39493229	3.779058098	81.82600961										0	0	0	-1683.96522	0.7786712547	308.201488433573	
1681.40522	8	2	90	0.7909728721	0.7869114119	6.23699432	1.51043234	92.25257334	14.51058185	3.807918534	81.68149962										0	0	0	-1681.40522	0.7869114119	313.191952932964	
1678.84522	8	2	90	0.7989962803	0.7950211375	6.291609128	1.526512079	92.18187879	14.62608917	3.836449463	81.53746137										0	0	0	-1678.84522	0.7950211375	318.194102455305	
1676.28522	8	2	90	0.8068899756	0.8030042126	6.346161087	1.542559396	92.11127952	14.74146875	3.86464462	81.39388663										0	0	0	-1676.28522	0.8030042126	323.207367688993	
1673.72522	8	2	90	0.8146576695	0.8108642708	6.400654272	1.558571569	92.04077416	14.85673515	3.892497708	81.25076714										0	0	0	-1673.72522	0.8108642708	328.231202995435	
1671.16522	8	2	90	0.8223029292	0.8186048047	6.455092812	1.574545826	91.97036136	14.97190301	3.920002397	81.1080946										0	0	0	-1671.16522	0.8186048047	333.265097579848	
1668.60522	8	2	90	0.8298291842	0.8262291722	6.509480889	1.590479354	91.90003976	15.08698701	3.947152328	80.96586066										0	0	0	-1668.60522	0.8262291722	338.308607071211	
1666.04522	8	2	90	0.8372397303	0.833740601	6.563822739	1.606369289	91.82980797	15.2020018	3.973941108	80.8240571										0	0	0	-1666.04522	0.833740601	343.361171181189	
1663.48522	8	2	90	0.8445377439	0.8411422021	6.618122628	1.622212736	91.75966464	15.31696245	4.000362346	80.6826752										0	0	0	-1663.48522	0.8411422021	348.422378122439	
1660.92522	8	2	90	0.8517262746	0.8484369625	6.672384889	1.638006743	91.68960837	15.43188372	4.026409603	80.54170668										0	0	0	-1660.92522	0.8484369625	353.491931914427	
1658.36522	8	2	90	0.8588082593	0.855627759	6.726613891	1.653748322	91.61963779	15.5467805	4.052076432	80.40114306										0	0	0	-1658.36522	0.855627759	358.569418786391	
1655.80522	8	2	90	0.8657865246	0.8627173611	6.780814048	1.669434439	91.54975151	15.66166777	4.077356373	80.26097585										0	0	0	-1655.80522	0.8627173611	363.654518438313	
1653.24522	8	2	90	0.8726637916	0.8697084349	6.834989815	1.68506202	91.47994816	15.77656053	4.102242953	80.12119652										0	0	0	-1653.24522	0.8697084349	368.746942398604	
1650.68522	8	2	90	0.8794426807	0.8766035482	6.889145685	1.700627951	91.41022636	15.8914738	4.126729695	79.9817965										0	0	0	-1650.68522	0.8766035482	373.846440478525	
1648.12522	8	2	90	0.8861257151	0.8834051738	6.94328619	1.716129076	91.34058473	16.00642264	4.150810117	79.84276724										0	0	0	-1648.12522	0.8834051738	378.952801377562	
1645.56522	8	2	90	0.8927153253	0.8901156941	6.997415894	1.731562203	91.2710219	16.12142213	4.174477738	79.70410014										0	0	0	-1645.56522	0.8901156941	384.065850004085	
1643.00522	8	2	90	0.8992138526	0.8967374042	7.051539396	1.746924098	91.20153651	16.23648735	4.197726081	79.56578657										0	0	0	-1643.00522	0.8967374042	389.185455555962	
1640.44522	8	2	90	0.9056235531	0.9032725158	7.105661325	1.762211493	91.13212718	16.35163339	4.22054868	79.42781793										0	0	0	-1640.44522	0.9032725158	394.311520292041	
1637.88522	8	2	90	0.9119466006	0.9097231604	7.159786338	1.777421084	91.06279258	16.46687536	4.24293908	79.29018556										0	0	0	-1637.88522	0.9097231604	399.443919721526	
1635.32522	8	2	90	0.9181850922	0.9160913947	7.213919147	1.792549535	90.99353132	16.58222829	4.264890879	79.15288083										0	0	0	-1635.32522	0.9160913947	404.582793054447	
1632.76522	8	2	90	0.9243410428	0.9223791945	7.268064401	1.807593469	90.92434213	16.69770734	4.286397599	79.01589507										0	0	0	-1632.76522	0.9223791945	409.728173943951	
1630.20522	8	2	90	0.9304164011	0.9285884711	7.322226855	1.822549484	90.85522366	16.8133275	4.307452887	78.87921961										0	0	0	-1630.20522	0.9285884711	414.879989873651	
1627.64522	8	2	90	0.9364130436	0.9347210655	7.376411253	1.837414148	90.7861746	16.9291038	4.328050391	78.74284581										0	0	0	-1627.64522	0.9347210655	420.038434152864	
1625.08522	8	2	90	0.9423327794	0.9407787524	7.430622356	1.852184	90.71719364	17.0450512	4.348183797	78.606765										0	0	0	-1625.08522	0.9407787524	425.203674659136	
1622.52522	8	2	90	0.948177353	0.9467632435	7.484864935	1.866855551	90.64827951	17.16118462	4.367846834	78.47096855										0	0	0	-1622.52522	0.9467632435	430.375916916338	
1619.96522	8	2	90	0.9539484464	0.9526761893	7.539143771	1.881425291	90.57943094	17.27751892	4.387033282	78.3354478										0	0	0	-1619.96522	0.9526761893	435.55541931591	
1617.40522	8	2	90	0.9596476817	0.9585191817	7.593463653	1.895889683	90.51064666	17.39406889	4.405736977	78.20019413										0	0	0	-1617.40522	0.9585191817	440.742476394989	
1614.84522	8	2	90	0.9652766233	0.9642937561	7.647829369	1.910245175	90.44192546	17.51084924	4.423951815	78.06519894										0	0	0	-1614.84522	0.9642937561	445.937433338811	
1612.28522	8	2	90	0.9708367798	0.9700013934	7.702245711	1.924488192	90.3732661	17.62787459	4.441671759	77.93045365										0	0	0	-1612.28522	0.9700013934	451.140683409269	
1609.72522	8	2	90	0.9763296065	0.975643522	7.756717464	1.938615146	90.30466739	17.74515946	4.458890849	77.79594969										0	0	0	-1609.72522	0.975643522	456.352665482914	
1607.16522	8	2	90	0.9817565067	0.9812215197	7.811249409	1.952622436	90.23612816	17.86271826	4.475603204	77.66167854										0	0	0	-1607.16522	0.9812215197	461.573848592495	
1604.60522	8	2	90	0.9871188344	0.9867367159	7.865846313	1.966506449	90.16764724	17.98056526	4.491803032	77.52763171										0	0	0	-1604.60522	0.9867367159	466.804763336783	
1602.04522	8	2	90	0.9924178953	0.9921903926	7.920512932	1.980263565	90.0992235	18.09871462	4.507484635	77.39380075										0	0	0	-1602.04522	0.9921903926	472.045986111471	
1599.48522	8	2	90	0.9976549492	0.9975837868	7.975254	1.99389016	90.03085584	18.21718033	4.522642416	77.26017726										0	0	0	-1599.48522	0.9975837868	476.957469159541	
1598.84522	8	2	90	0.9989557939	0.9989240176	7.988951546	1.997276042	90.01377241	18.24684805	4.526349432	77.22680252										0	0	0	-1598.84522	0.9989240176	478.860564033241	
1598.52522	8	2	90	0.999603432	0.9995913471	7.99580206	1.998965756	90.00523218	18.26168945	4.528190417	77.21012014										0	0	0	-1598.52522	0.9995913471	479.650488485927	
1598.36522	8	2	90	0.9999271022	0.9999248791	7.999227829	1.99980983	90.00096234	18.26911218	4.52910781	77.20178001										0	0	0	-1598.36522	0.9999248791	480.07957073493	
1598.34522	8	2	90	0.9999675253	0.9999665349	7.999656071	1.9999153	90.00042863	18.27004011	4.529222335	77.20073755										0	0	0	-1598.34522	0.9999665349	545.287771805537	
1598.32522	8	2	90	1	1	7.99999999	1.999999988	90.00000002																-1598.32522	1	597.637538808213	
1598.31522	8	2	90	1	1	7.999999979	1.999999977	90.00000004																-1598.31522	1	NaN	
1598.29522	8	2	90	1	1	8	2	90																-1598.29522	1	NaN	
1598.25522	8	2	90	1	1	8	2	90																-1598.25522	1	NaN	
1598.17522	8	2	90	1	1	8	2	90																-1598.17522	1	NaN	
1598.01522	8	2	90	1	1	8	2	90																-1598.01522	1	NaN	
1597.69522	8	2	90	1	1	8	2	90																-1597.69522	1	NaN	
1597.05522	8	2	90	1	1	7.999999999	1.999999999	90																-1597.05522	1	NaN	
1595.77522	8	2	90	1	1	7.999999995	1.999999996	90.00000001																-1595.77522	1	NaN	
1593.21522	8	2	90	1	1	7.999999981	1.999999984	90.00000004																-1593.21522	1	NaN	
1590.65522	8	2	90	1	1	7.999999975	1.999999978	90.00000005																-1590.65522	1	NaN	
1588.09522	8	2	90	1	1	7.999999975	1.999999978	90.00000005																-1588.09522	1	NaN	
1585.53522	8	2	90	1	1	7.999999975	1.999999978	90.00000005																-1585.53522	1	NaN	
1582.97522	8	2	90	1	1	7.999999974	1.999999978	90.00000005																-1582.97522	1	NaN	
1580.41522	8	2	90	1	1	7.999999974	1.999999978	90.00000005																-1580.41522	1	NaN	
1577.85522	8	2	90	1	1	7.999999974	1.999999978	90.00000005																-1577.85522	1	NaN	
1575.29522	8	2	90	1	1	7.999999974	1.999999978	90.00000005																-1575.29522	1	NaN	
1572.73522	8	2	90	1	1	7.999999974	1.999999978	90.00000005																-1572.73522	1	NaN	
1570.17522	8	2	90	1	1	7.999999974	1.999999978	90.00000005																-1570.17522	1	NaN	
1567.61522	8	2	90	1	1	7.999999974	1.999999977	90.00000005																-1567.61522	1	NaN	
1565.05522	8	2	90	1	1	7.999999974	1.999999977	90.00000005																-1565.05522	1	NaN	
1562.49522	8	2	90	1	1	7.999999974	1.999999977	90.00000005																-1562.49522	1	NaN	
1559.93522	8	2	90	1	1	7.999999974	1.999999977	90.00000005																-1559.93522	1	NaN	
1557.37522	8	2	90	1	1	7.999999974	1.999999977	90.00000005																-1557.37522	1	NaN	
1554.81522	8	2	90	1	1	7.999999973	1.999999977	90.00000005																-1554.81522	1	NaN	
1552.25522	8	2	90	1	1	7.999999973	1.999999977	90.00000005																-1552.25522	1	NaN	
1549.69522	8	2	90	1	1	7.999999973	1.999999977	90.00000005																-1549.69522	1	NaN	
1547.13522	8	2	90	1	1	7.999999973	1.999999977	90.00000005																-1547.13522	1	NaN	
1544.57522	8	2	90	1	1	7.999999973	1.999999977	90.00000005																-1544.57522	1	NaN	
1542.01522	8	2	90	1	1	7.999999973	1.999999977	90.00000005																-1542.01522	1	NaN	
1539.45522	8	2	90	1	1	7.999999973	1.999999976	90.00000005																-1539.45522	1	NaN	
1536.89522	8	2	90	1	1	7.999999973	1.999999976	90.00000005																-1536.89522	1	NaN	
1534.33522	8	2	90	1	1	7.999999973	1.999999976	90.00000005																-1534.33522	1	NaN	
1531.77522	8	2	90	1	1	7.999999973	1.999999976	90.00000005																-1531.77522	1	NaN	
1529.21522	8	2	90	1	1	7.999999972	1.999999976	90.00000005																-1529.21522	1	NaN	
1526.65522	8	2	90	1	1	7.999999972	1.999999976	90.00000005																-1526.65522	1	NaN	
1524.09522	8	2	90	1	1	7.999999972	1.999999976	90.00000005																-1524.09522	1	NaN	
1521.53522	8	2	90	1	1	7.999999972	1.999999976	90.00000005																-1521.53522	1	NaN	
1518.97522	8	2	90	1	1	7.999999972	1.999999976	90.00000005																-1518.97522	1	NaN	
1516.41522	8	2	90	1	1	7.999999972	1.999999976	90.00000005																-1516.41522	1	NaN	
1513.85522	8	2	90	1	1	7.999999972	1.999999975	90.00000005																-1513.85522	1	NaN	
1511.29522	8	2	90	1	1	7.999999972	1.999999975	90.00000005																-1511.29522	1	NaN	
1508.73522	8	2	90	1	1	7.999999972	1.999999975	90.00000005																-1508.73522	1	NaN	
1506.17522	8	2	90	1	1	7.999999971	1.999999975	90.00000005																-1506.17522	1	NaN	
1503.61522	8	2	90	1	1	7.999999971	1.999999975	90.00000005																-1503.61522	1	NaN	
1501.05522	8	2	90	1	1	7.999999971	1.999999975	90.00000005																-1501.05522	1	NaN	
1498.49522	8	2	90	1	1	7.999999971	1.999999975	90.00000005																-1498.49522	1	NaN	
1495.93522	8	2	90	1	1	7.999999971	1.999999975	90.00000005																-1495.93522	1	NaN	
1493.37522	8	2	90	1	1	7.999999971	1.999999975	90.00000005																-1493.37522	1	NaN	
1490.81522	8	2	90	1	1	7.999999971	1.999999975	90.00000005																-1490.81522	1	NaN	
1488.25522	8	2	90	1	1	7.999999971	1.999999974	90.00000005																-1488.25522	1	NaN	
1485.69522	8	2	90	1	1	7.999999971	1.999999974	90.00000006																-1485.69522	1	NaN	
1483.13522	8	2	90	1	1	7.99999997	1.999999974	90.00000006																-1483.13522	1	NaN	
1480.57522	8	2	90	1	1	7.99999997	1.999999974	90.00000006																-1480.57522	1	NaN	
1478.01522	8	2	90	1	1	7.99999997	1.999999974	90.00000006																-1478.01522	1	NaN	
1475.45522	8	2	90	1	1	7.99999997	1.999999974	90.00000006																-1475.45522	1	NaN	
1472.89522	8	2	90	1	1	7.99999997	1.999999974	90.00000006																-1472.89522	1	NaN	
1470.33522	8	2	90	1	1	7.99999997	1.999999974	90.00000006																-1470.33522	1	NaN	
1467.77522	8	2	90	1	1	7.99999997	1.999999974	90.00000006																-1467.77522	1	NaN	
1465.21522	8	2	90	1	1	7.99999997	1.999999973	90.00000006																-1465.21522	1	NaN	
1462.65522	8	2	90	1	1	7.999999969	1.999999973	90.00000006																-1462.65522	1	NaN	
1460.09522	8	2	90	1	1	7.999999969	1.999999973	90.00000006																-1460.09522	1	NaN	
1457.53522	8	2	90	1	1	7.999999969	1.999999973	90.00000006																-1457.53522	1	NaN	
1454.97522	8	2	90	1	1	7.999999969	1.999999973	90.00000006																-1454.97522	1	NaN	
1452.41522	8	2	90	1	1	7.999999969	1.999999973	90.00000006																-1452.41522	1	NaN	
1449.85522	8	2	90	1	1	7.999999969	1.999999973	90.00000006																-1449.85522	1	NaN	
1447.29522	8	2	90	1	1	7.999999969	1.999999973	90.00000006																-1447.29522	1	NaN	
1444.73522	8	2	90	1	1	7.999999968	1.999999973	90.00000006																-1444.73522	1	NaN	
1442.17522	8	2	90	1	1	7.999999968	1.999999972	90.00000006																-1442.17522	1	NaN	
1439.61522	8	2	90	1	1	7.999999968	1.999999972	90.00000006																-1439.61522	1	NaN	
1437.05522	8	2	90	1	1	7.999999968	1.999999972	90.00000006																-1437.05522	1	NaN	
1434.49522	8	2	90	1	1	7.999999968	1.999999972	90.00000006																-1434.49522	1	NaN	
1431.93522	8	2	90	1	1	7.999999968	1.999999972	90.00000006																-1431.93522	1	NaN	
1429.37522	8	2	90	1	1	7.999999968	1.999999972	90.00000006																-1429.37522	1	NaN	
1426.81522	8	2	90	1	1	7.999999967	1.999999972	90.00000006																-1426.81522	1	NaN	
1424.25522	8	2	90	1	1	7.999999967	1.999999972	90.00000006																-1424.25522	1	NaN	
1421.69522	8	2	90	1	1	7.999999967	1.999999971	90.00000006																-1421.69522	1	NaN	
1419.13522	8	2	90	1	1	7.999999967	1.999999971	90.00000006																-1419.13522	1	NaN	
1416.57522	8	2	90	1	1	7.999999967	1.999999971	90.00000006																-1416.57522	1	NaN	
1414.01522	8	2	90	1	1	7.999999967	1.999999971	90.00000006																-1414.01522	1	NaN	
