T	w(CU)	w(FE)	w(TI)	fs	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)	-T//fw(@BCC_A2)	-T_1	fs_1	-T//fs	
K	%	%	%	mole/mole	%	%	%	%	%	%	SI	SI	SI		kg/kg					
1786.680662	2	8	90	0	0.8648917416	2.945559272	96.18954899	2	8	90	-9.928652068E-05	-0.0004421072636	0.0005413937842	-1786.680662	0	114.241780927187	-1786.680662	0	113.091053968583	
1786.660662	2	8	90	0.0001767764465	0.8649917024	2.945971944	96.18903635	2.000198581	8.000884203	89.99891722	0	0	0	-1786.660662	0.000174995972	114.334908826355	-1786.660662	0.0001767764465	113.18343447105	
1786.640662	2	8	90	0.0003534087254	0.8650916512	2.946384628	96.18852372	2.00039713	8.00176838	89.99783449	0	0	0	-1786.640662	0.0003498495225	114.389712418815	-1786.640662	0.0003534087254	113.23787642942	
1786.600662	2	8	90	0.0007065957256	0.8652915522	2.947210026	96.18749842	2.000794227	8.003536622	89.99566915	0	0	0	-1786.600662	0.0006994807283	114.424707171211	-1786.600662	0.0007065957256	113.272899886128	
1786.520662	2	8	90	0.001412624817	0.8656913217	2.948860951	96.18544773	2.001588301	8.007072705	89.99133899	0	0	0	-1786.520662	0.001398405231	114.507129008044	-1786.520662	0.001412624817	113.355255932537	
1786.360662	2	8	90	0.002822986196	0.8664907377	2.952163311	96.18134595	2.003175997	8.014143256	89.98268075	0	0	0	-1786.360662	0.002794588612	114.68932863008	-1786.360662	0.002822986196	113.537156111811	
1786.040662	2	8	90	0.005636944125	0.8680890781	2.958770078	96.17314084	2.006349577	8.028277899	89.96537252	0	0	0	-1786.040662	0.00558031493	115.054087589097	-1786.040662	0.005636944125	113.901340497708	
1785.400662	2	8	90	0.01123797792	0.8712837986	2.971991809	96.15672439	2.012689524	8.056521367	89.93078911	0	0	0	-1785.400662	0.0111253804	115.911406665638	-1785.400662	0.01123797792	114.756348075066	
1784.120662	2	8	90	0.02229845537	0.8776635554	2.998469381	96.12386706	2.025336444	8.112908277	89.86175528	0	0	0	-1784.120662	0.02207622545	117.689841302688	-1784.120662	0.02229845537	116.529922340232	
1781.560662	2	8	90	0.04397449813	0.8903904121	3.051558211	96.05805138	2.050514027	8.22527412	89.72421185	0	0	0	-1781.560662	0.04354093488	120.943059974556	-1781.560662	0.04397449813	119.777766943794	
1779.000662	2	8	90	0.06506056138	0.9030733554	3.104827678	95.99209897	2.075538408	8.337100126	89.58736147	0	0	0	-1779.000662	0.06442605762	124.262272513668	-1779.000662	0.06506056138	123.092562776962	
1776.440662	2	8	90	0.08558440298	0.9157133662	3.158279733	95.9260069	2.100415075	8.44838907	89.45119586	0	0	0	-1776.440662	0.08475890566	127.597277202105	-1776.440662	0.08558440298	126.424924882703	
1773.880662	2	8	90	0.105573043	0.9283115092	3.21191628	95.85977221	2.125149672	8.559143507	89.31570682	0	0	0	-1773.880662	0.1045660722	130.943447370387	-1773.880662	0.105573043	129.770312364814	
1771.320662	2	8	90	0.1250518947	0.9408688937	3.265739195	95.79339191	2.149747912	8.669365867	89.18088622	0	0	0	-1771.320662	0.1238725703	134.298815014088	-1771.320662	0.1250518947	133.126813948909	
1768.760662	2	8	90	0.1440448829	0.9533866748	3.31975032	95.72686301	2.174215584	8.77905845	89.04672597	0	0	0	-1768.760662	0.1427019491	137.66139836339	-1768.760662	0.1440448829	136.49250275094	
1766.200662	2	8	90	0.1625745526	0.9658660546	3.373951465	95.66018248	2.19855855	8.888223431	88.91321802	0	0	0	-1766.200662	0.1610764009	141.029197727601	-1766.200662	0.1625745526	139.865432561669	
1763.640662	2	8	90	0.1806621692	0.9783082827	3.428344409	95.59334731	2.222782755	8.996862856	88.78035439	0	0	0	-1763.640662	0.1790168597	144.400198017313	-1763.640662	0.1806621692	143.243638604249	
1761.080662	2	8	90	0.1983278095	0.9907146574	3.482930892	95.52635445	2.246894222	9.104978643	88.64812713	0	0	0	-1761.080662	0.1965430905	147.772369129995	-1761.080662	0.1983278095	146.625139888564	
1758.520662	2	8	90	0.2155904455	1.003086526	3.537712619	95.45920085	2.270899063	9.212572581	88.51652836	0	0	0	-1758.520662	0.2136737722	151.143670620689	-1758.520662	0.2155904455	150.007941231446	
1755.960662	2	8	90	0.2324680208	1.015425288	3.592691253	95.39188346	2.294803477	9.319646324	88.3855502	0	0	0	-1755.960662	0.230426572	154.512052013811	-1755.960662	0.2324680208	153.390035972459	
1753.400662	2	8	90	0.248977521	1.027732391	3.647868418	95.32439919	2.318613752	9.426201395	88.25518485	0	0	0	-1753.400662	0.2468182156	157.875454434243	-1753.400662	0.248977521	156.769407051463	
1750.840662	2	8	90	0.2651350384	1.04000934	3.703245692	95.25674497	2.342336276	9.53223918	88.12542454	0	0	0	-1750.840662	0.2628645501	161.231816870801	-1750.840662	0.2651350384	160.14403044883	
1748.280662	2	8	90	0.2809558313	1.052257689	3.758824607	95.1889177	2.365977532	9.63776093	87.99626154	0	0	0	-1748.280662	0.2785806026	164.57907305245	-1748.280662	0.2809558313	163.511875679822	
1745.720662	2	8	90	0.2964543792	1.064479053	3.814606647	95.1209143	2.38954411	9.742767755	87.86768813	0	0	0	-1745.720662	0.2939806346	167.915158670788	-1745.720662	0.2964543792	166.870910782049	
1743.160662	2	8	90	0.3116444327	1.076675098	3.870593243	95.05273166	2.413042703	9.847260623	87.73969667	0	0	0	-1743.160662	0.3090781909	171.238012508344	-1743.160662	0.3116444327	170.21910319082	
1740.600662	2	8	90	0.3265390608	1.088847553	3.926785775	94.98436667	2.43648012	9.951240356	87.61227952	0	0	0	-1740.600662	0.3238861462	174.545576797745	-1740.600662	0.3265390608	173.554421509835	
1738.040662	2	8	90	0.3411506936	1.100998203	3.983185561	94.91581624	2.459863282	10.05470763	87.48542909	0	0	0	-1738.040662	0.3384167472	177.835804443873	-1738.040662	0.3411506936	176.874841416665	
1735.480662	2	8	90	0.3554911622	1.113128897	4.039793861	94.84707724	2.483199233	10.15766297	87.35913779	0	0	0	-1735.480662	0.3526816517	181.106659846225	-1735.480662	0.3554911622	180.178346485373	
1732.920662	2	8	90	0.3695717356	1.125241545	4.096611871	94.77814658	2.506495143	10.26010675	87.23339811	0	0	0	-1732.920662	0.366691965	184.356119404229	-1732.920662	0.3695717356	183.462930567777	
1730.360662	2	8	90	0.383403155	1.137338124	4.15364072	94.70902116	2.529758312	10.36203918	87.10820251	0	0	0	-1730.360662	0.3804582738	187.582179137085	-1730.360662	0.383403155	186.726600053791	
