T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1675.815901	0	15	85	0	0	0	6.814109898	93.1858901	0	15	85								-0.00044494206	0.00044494206	-1675.815901	0	183.805197503737	
1675.795901	0	15	85	0.0001100610625	0.0001087632768	0	6.814757381	93.18524262	0	15.00088988	84.99911012								0	0	-1675.795901	0.0001087632768	183.965994913698	
1675.775901	0	15	85	0.0002200258037	0.0002174315709	0	6.815404889	93.18459511	0	15.00177974	84.99822026								0	0	-1675.775901	0.0002174315709	184.027985606051	
1675.735901	0	15	85	0.0004400204423	0.0004348331557	0	6.816700004	93.1833	0	15.0035594	84.9964406								0	0	-1675.735901	0.0004348331557	184.018845432893	
1675.655901	0	15	85	0.0008798097851	0.0008694411807	0	6.819290615	93.18070938	0	15.00711847	84.99288153								0	0	-1675.655901	0.0008694411807	184.091821905421	
1675.495901	0	15	85	0.001759122021	0.001738403658	0	6.824473364	93.17552664	0	15.01423564	84.98576436								0	0	-1675.495901	0.001738403658	184.17820867603	
1675.175901	0	15	85	0.003516259751	0.003474898337	0	6.834844972	93.16515503	0	15.02846613	84.97153387								0	0	-1675.175901	0.003474898337	184.380019055753	
1674.535901	0	15	85	0.007024630022	0.006942207875	0	6.855612677	93.14438732	0	15.05691169	84.94308831								0	0	-1674.535901	0.006942207875	184.780890626703	
1673.255901	0	15	85	0.01401808214	0.01385443607	0	6.897246439	93.10275356	0	15.11374153	84.88625847								0	0	-1673.255901	0.01385443607	185.778659365203	
1670.695901	0	15	85	0.02786875919	0.02754673796	0	6.980910294	93.01908971	0	15.22715913	84.77284087								0	0	-1670.695901	0.02754673796	187.803142907433	
1668.135901	0	15	85	0.04159372202	0.04111809858	0	7.065108984	92.93489102	0	15.34026034	84.65973966								0	0	-1668.135901	0.04111809858	189.521206262072	
1665.575901	0	15	85	0.05518776932	0.05456336149	0	7.149849807	92.85015019	0	15.45305246	84.54694754								0	0	-1665.575901	0.05456336149	191.26144784404	
1663.015901	0	15	85	0.06865727013	0.06788881048	0	7.23514024	92.76485976	0	15.56554291	84.43445709								0	0	-1663.015901	0.06788881048	192.943664899278	
1660.455901	0	15	85	0.0820084379	0.08110057857	0	7.320987856	92.67901214	0	15.67773911	84.32226089								0	0	-1660.455901	0.08110057857	194.566097880183	
1657.895901	0	15	85	0.09524733916	0.09420465656	0	7.407400326	92.59259967	0	15.78964854	84.21035146								0	0	-1657.895901	0.09420465656	196.127034176782	
