T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1885.700847	5	0	95	0	0	1.901553008	0	98.09844699	5	0	95							-0.0008721913999		0.0008721913999	-1885.700847	0	35.5172024491836	
1885.680847	5	0	95	0.0005672445447	0.0005628921463	1.902245603	0	98.0977544	5.001744488	0	94.99825551							0		0	-1885.680847	0.0005628921463	35.544368160553	
1885.660847	5	0	95	0.001134053943	0.001125354416	1.902938189	0	98.09706181	5.003488922	0	94.99651108							0		0	-1885.660847	0.001125354416	35.568082391758	
1885.620847	5	0	95	0.0022666983	0.002249317781	1.904323373	0	98.09567663	5.006977671	0	94.99302233							0		0	-1885.620847	0.002249317781	35.6103832546179	
1885.540847	5	0	95	0.004527768959	0.004493081944	1.90709373	0	98.09290627	5.013954653	0	94.98604535							0		0	-1885.540847	0.004493081944	35.698557411902	
1885.380847	5	0	95	0.009033107572	0.008964028719	1.912634529	0	98.08736547	5.027906546	0	94.97209345							0		0	-1885.380847	0.008964028719	35.9084317511364	
1885.060847	5	0	95	0.01795292529	0.01781612214	1.92371627	0	98.07628373	5.055801869	0	94.94419813							0		0	-1885.060847	0.01781612214	36.3458074506496	
1884.420847	5	0	95	0.03550830198	0.03523965962	1.945880527	0	98.05411947	5.111559274	0	94.88844073							0		0	-1884.420847	0.03523965962	37.1502478997487	
1883.140847	5	0	95	0.06947757861	0.06895950844	1.990211721	0	98.00978828	5.222941029	0	94.77705897							0		0	-1883.140847	0.06895950844	38.826061160645	
