T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1854.06362	3	0	97	0.9993605852	0.9993530223	2.996947933	0	97.00305207	7.7066171	0	92.2933829							0		0	-1854.06362	0.9993530223	136.351331169694	
1853.98362	3	0	97	0.9999402441	0.9999395363	2.999713744	0	97.00028626	7.713330256	0	92.28666974							0		0	-1853.98362	0.9999395363	312.611276960949	
1853.96362	3	0	97	1	1	2.999999984	0	97.00000002													-1853.96362	1	330.776978583473	
1853.95362	3	0	97	1	1	2.999999995	0	97.00000001													-1853.95362	1	NaN	
1853.93362	3	0	97	1	1	3	0	97													-1853.93362	1	NaN	
1853.89362	3	0	97	1	1	3	0	97													-1853.89362	1	NaN	
1853.81362	3	0	97	1	1	3	0	97													-1853.81362	1	NaN	
1853.65362	3	0	97	1	1	3	0	97													-1853.65362	1	NaN	
1853.33362	3	0	97	1	1	3	0	97													-1853.33362	1	NaN	
1852.69362	3	0	97	1	1	3	0	97													-1852.69362	1	NaN	
1851.41362	3	0	97	1	1	3	0	97													-1851.41362	1	NaN	
1848.85362	3	0	97	1	1	2.999999999	0	97													-1848.85362	1	NaN	
1846.29362	3	0	97	1	1	2.999999999	0	97													-1846.29362	1	NaN	
1843.73362	3	0	97	1	1	2.999999999	0	97													-1843.73362	1	NaN	
1841.17362	3	0	97	1	1	2.999999999	0	97													-1841.17362	1	NaN	
1838.61362	3	0	97	1	1	2.999999999	0	97													-1838.61362	1	NaN	
1836.05362	3	0	97	1	1	2.999999999	0	97													-1836.05362	1	NaN	
1833.49362	3	0	97	1	1	2.999999999	0	97													-1833.49362	1	NaN	
1830.93362	3	0	97	1	1	2.999999999	0	97													-1830.93362	1	NaN	
1828.37362	3	0	97	1	1	2.999999999	0	97													-1828.37362	1	NaN	
1825.81362	3	0	97	1	1	2.999999999	0	97													-1825.81362	1	NaN	
1823.25362	3	0	97	1	1	2.999999999	0	97													-1823.25362	1	NaN	
1820.69362	3	0	97	1	1	2.999999999	0	97													-1820.69362	1	NaN	
1818.13362	3	0	97	1	1	2.999999999	0	97													-1818.13362	1	NaN	
