T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1824.684133	0	4	96	0.7310220087	0.7296348335	0	2.674920188	97.32507981	0	7.576033183	92.42396682								0	0	-1824.684133	0.7296348335	147.76303854637	
1822.124133	0	4	96	0.7480226469	0.7466700564	0	2.737434535	97.26256546	0	7.721351242	92.27864876								0	0	-1822.124133	0.7466700564	152.873299034425	
1819.564133	0	4	96	0.7644590758	0.7631453287	0	2.800166872	97.19983313	0	7.865899786	92.13410021								0	0	-1819.564133	0.7631453287	157.971501868776	
1817.004133	0	4	96	0.7803686544	0.7790978173	0	2.863121172	97.13687883	0	8.009687576	91.99031242								0	0	-1817.004133	0.7790978173	163.051070578982	
1814.444133	0	4	96	0.7957857608	0.794561726	0	2.92630142	97.07369858	0	8.152723299	91.8472767								0	0	-1814.444133	0.794561726	168.105496839767	
1811.884133	0	4	96	0.810742089	0.8095685898	0	2.989711619	97.01028838	0	8.295015571	91.70498443								0	0	-1811.884133	0.8095685898	172.856428007064	
1809.324133	0	4	96	0.825310767	0.8241916258	0	3.053604178	96.94639582	0	8.43675876	91.56324124								0	0	-1809.324133	0.8241916258	177.852867422407	
1806.764133	0	4	96	0.8394316929	0.8383701481	0	3.117492182	96.88250782	0	8.577593144	91.42240686								0	0	-1806.764133	0.8383701481	183.046734487048	
1804.204133	0	4	96	0.8531733363	0.852172725	0	3.1816225	96.8183775	0	8.71770965	91.28229035								0	0	-1804.204133	0.852172725	187.93617458365	
1801.644133	0	4	96	0.866559019	0.8656225691	0	3.245999372	96.75400063	0	8.857116761	91.14288324								0	0	-1801.644133	0.8656225691	192.768958669966	
1799.084133	0	4	96	0.8796104311	0.8787412711	0	3.310627048	96.68937295	0	8.995822861	91.00417714								0	0	-1799.084133	0.8787412711	197.539199032597	
1796.524133	0	4	96	0.8923477695	0.8915489373	0	3.375509815	96.62449018	0	9.133836285	90.86616371								0	0	-1796.524133	0.8915489373	202.241191971404	
1793.964133	0	4	96	0.9047898724	0.9040643237	0	3.440651995	96.559348	0	9.271165313	90.72883469								0	0	-1793.964133	0.9040643237	206.869376360181	
1791.404133	0	4	96	0.916954337	0.9163049529	0	3.506057943	96.49394206	0	9.40781817	90.59218183								0	0	-1791.404133	0.9163049529	211.418372795921	
1788.844133	0	4	96	0.9288576251	0.9282872189	0	3.57173205	96.42826795	0	9.543803026	90.45619697								0	0	-1788.844133	0.9282872189	215.882992538531	
1786.284133	0	4	96	0.940515158	0.940026482	0	3.637678742	96.36232126	0	9.679128001	90.320872								0	0	-1786.284133	0.940026482	220.258243521628	
1783.724133	0	4	96	0.9519414034	0.9515371544	0	3.703902483	96.29609752	0	9.813801164	90.18619884								0	0	-1783.724133	0.9515371544	224.539342631975	
1781.164133	0	4	96	0.9631499521	0.9628327773	0	3.770407777	96.22959222	0	9.947830532	90.05216947								0	0	-1781.164133	0.9628327773	228.721719866207	
1778.604133	0	4	96	0.9741535891	0.9739260914	0	3.837199165	96.16280083	0	10.08122408	89.91877592								0	0	-1778.604133	0.9739260914	232.801029254405	
1776.044133	0	4	96	0.9849643575	0.9848290999	0	3.90428123	96.09571877	0	10.21398973	89.78601027								0	0	-1776.044133	0.9848290999	236.773154911358	
1773.484133	0	4	96	0.9955936164	0.9955531267	0	3.971658593	96.02834141	0	10.34613536	89.65386464								0	0	-1773.484133	0.9955531267	240.181025745097	
1772.844133	0	4	96	0.9982301065	0.9982137579	0	3.988549771	96.01145023	0	10.37907605	89.62092395								0	0	-1772.844133	0.9982137579	241.91400319926	
1772.524133	0	4	96	0.9995371263	0.9995328396	0	3.997002214	96.00299779	0	10.39553174	89.60446826								0	0	-1772.524133	0.9995328396	242.96345759886	
1772.444133	0	4	96	0.9998632493	0.999861982	0	3.999116073	96.00088393	0	10.3996442	89.6003558								0	0	-1772.444133	0.999861982	242.444526552774	
1772.424133	0	4	96	0.9999450367	0.9999445273	0	3.999644586	96.00035541	0	10.40067222	89.59932778								0	0	-1772.424133	0.9999445273	313.011638250968	
1772.404133	0	4	96	1	1	0	3.99999999	96.00000001													-1772.404133	1	360.537705934643	
1772.394133	0	4	96	1	1	0	3.99999999	96.00000001													-1772.394133	1	NaN	
1772.374133	0	4	96	1	1	0	4	96													-1772.374133	1	NaN	
1772.334133	0	4	96	1	1	0	4	96													-1772.334133	1	NaN	
1772.254133	0	4	96	1	1	0	4	96													-1772.254133	1	NaN	
1772.094133	0	4	96	1	1	0	4	96													-1772.094133	1	NaN	
1771.774133	0	4	96	1	1	0	4	96													-1771.774133	1	NaN	
1771.134133	0	4	96	1	1	0	4	96													-1771.134133	1	NaN	
1769.854133	0	4	96	1	1	0	3.999999998	96													-1769.854133	1	NaN	
1767.294133	0	4	96	1	1	0	3.999999994	96.00000001													-1767.294133	1	NaN	
1764.734133	0	4	96	1	1	0	3.999999991	96.00000001													-1764.734133	1	NaN	
1762.174133	0	4	96	1	1	0	3.999999991	96.00000001													-1762.174133	1	NaN	
1759.614133	0	4	96	1	1	0	3.999999991	96.00000001													-1759.614133	1	NaN	
1757.054133	0	4	96	1	1	0	3.999999991	96.00000001													-1757.054133	1	NaN	
1754.494133	0	4	96	1	1	0	3.999999991	96.00000001													-1754.494133	1	NaN	
1751.934133	0	4	96	1	1	0	3.999999991	96.00000001													-1751.934133	1	NaN	
1749.374133	0	4	96	1	1	0	3.999999991	96.00000001													-1749.374133	1	NaN	
1746.814133	0	4	96	1	1	0	3.999999991	96.00000001													-1746.814133	1	NaN	
1744.254133	0	4	96	1	1	0	3.999999991	96.00000001													-1744.254133	1	NaN	
1741.694133	0	4	96	1	1	0	3.999999991	96.00000001													-1741.694133	1	NaN	
1739.134133	0	4	96	1	1	0	3.999999991	96.00000001													-1739.134133	1	NaN	
1736.574133	0	4	96	1	1	0	3.999999991	96.00000001													-1736.574133	1	NaN	
1734.014133	0	4	96	1	1	0	3.999999991	96.00000001													-1734.014133	1	NaN	
1731.454133	0	4	96	1	1	0	3.999999991	96.00000001													-1731.454133	1	NaN	
1728.894133	0	4	96	1	1	0	3.999999991	96.00000001													-1728.894133	1	NaN	
1726.334133	0	4	96	1	1	0	3.999999991	96.00000001													-1726.334133	1	NaN	
1723.774133	0	4	96	1	1	0	3.999999991	96.00000001													-1723.774133	1	NaN	
1721.214133	0	4	96	1	1	0	3.999999991	96.00000001													-1721.214133	1	NaN	
1718.654133	0	4	96	1	1	0	3.999999991	96.00000001													-1718.654133	1	NaN	
1716.094133	0	4	96	1	1	0	3.999999991	96.00000001													-1716.094133	1	NaN	
1713.534133	0	4	96	1	1	0	3.999999991	96.00000001													-1713.534133	1	NaN	
1710.974133	0	4	96	1	1	0	3.999999991	96.00000001													-1710.974133	1	NaN	
1708.414133	0	4	96	1	1	0	3.999999991	96.00000001													-1708.414133	1	NaN	
1705.854133	0	4	96	1	1	0	3.999999991	96.00000001													-1705.854133	1	NaN	
1703.294133	0	4	96	1	1	0	3.999999991	96.00000001													-1703.294133	1	NaN	
1700.734133	0	4	96	1	1	0	3.999999991	96.00000001													-1700.734133	1	NaN	
1698.174133	0	4	96	1	1	0	3.999999991	96.00000001													-1698.174133	1	NaN	
1695.614133	0	4	96	1	1	0	3.999999991	96.00000001													-1695.614133	1	NaN	
1693.054133	0	4	96	1	1	0	3.999999991	96.00000001													-1693.054133	1	NaN	
1690.494133	0	4	96	1	1	0	3.999999991	96.00000001													-1690.494133	1	NaN	
1687.934133	0	4	96	1	1	0	3.999999991	96.00000001													-1687.934133	1	NaN	
1685.374133	0	4	96	1	1	0	3.999999991	96.00000001													-1685.374133	1	NaN	
1682.814133	0	4	96	1	1	0	3.999999991	96.00000001													-1682.814133	1	NaN	
1680.254133	0	4	96	1	1	0	3.999999991	96.00000001													-1680.254133	1	NaN	
1677.694133	0	4	96	1	1	0	3.999999991	96.00000001													-1677.694133	1	NaN	
1675.134133	0	4	96	1	1	0	3.999999991	96.00000001													-1675.134133	1	NaN	
1672.574133	0	4	96	1	1	0	3.999999991	96.00000001													-1672.574133	1	NaN	
1670.014133	0	4	96	1	1	0	3.999999991	96.00000001													-1670.014133	1	NaN	
1667.454133	0	4	96	1	1	0	3.999999991	96.00000001													-1667.454133	1	NaN	
1664.894133	0	4	96	1	1	0	3.999999991	96.00000001													-1664.894133	1	NaN	
1662.334133	0	4	96	1	1	0	3.999999991	96.00000001													-1662.334133	1	NaN	
1659.774133	0	4	96	1	1	0	3.999999991	96.00000001													-1659.774133	1	NaN	
1657.214133	0	4	96	1	1	0	3.999999991	96.00000001													-1657.214133	1	NaN	
1654.654133	0	4	96	1	1	0	3.99999999	96.00000001													-1654.654133	1	NaN	
1652.094133	0	4	96	1	1	0	3.99999999	96.00000001													-1652.094133	1	NaN	
1649.534133	0	4	96	1	1	0	3.99999999	96.00000001													-1649.534133	1	NaN	
1646.974133	0	4	96	1	1	0	3.99999999	96.00000001													-1646.974133	1	NaN	
1644.414133	0	4	96	1	1	0	3.99999999	96.00000001													-1644.414133	1	NaN	
1641.854133	0	4	96	1	1	0	3.99999999	96.00000001													-1641.854133	1	NaN	
1639.294133	0	4	96	1	1	0	3.99999999	96.00000001													-1639.294133	1	NaN	
1636.734133	0	4	96	1	1	0	3.99999999	96.00000001													-1636.734133	1	NaN	
1634.174133	0	4	96	1	1	0	3.99999999	96.00000001													-1634.174133	1	NaN	
1631.614133	0	4	96	1	1	0	3.99999999	96.00000001													-1631.614133	1	NaN	
1629.054133	0	4	96	1	1	0	3.99999999	96.00000001													-1629.054133	1	NaN	
1626.494133	0	4	96	1	1	0	3.99999999	96.00000001													-1626.494133	1	NaN	
1623.934133	0	4	96	1	1	0	3.99999999	96.00000001													-1623.934133	1	NaN	
1621.374133	0	4	96	1	1	0	3.99999999	96.00000001													-1621.374133	1	NaN	
1618.814133	0	4	96	1	1	0	3.99999999	96.00000001													-1618.814133	1	NaN	
1616.254133	0	4	96	1	1	0	3.99999999	96.00000001													-1616.254133	1	NaN	
1613.694133	0	4	96	1	1	0	3.99999999	96.00000001													-1613.694133	1	NaN	
1611.134133	0	4	96	1	1	0	3.99999999	96.00000001													-1611.134133	1	NaN	
1608.574133	0	4	96	1	1	0	3.99999999	96.00000001													-1608.574133	1	NaN	
1606.014133	0	4	96	1	1	0	3.99999999	96.00000001													-1606.014133	1	NaN	
1603.454133	0	4	96	1	1	0	3.99999999	96.00000001													-1603.454133	1	NaN	
1600.894133	0	4	96	1	1	0	3.99999999	96.00000001													-1600.894133	1	NaN	
1598.334133	0	4	96	1	1	0	3.99999999	96.00000001													-1598.334133	1	NaN	
1595.774133	0	4	96	1	1	0	3.99999999	96.00000001													-1595.774133	1	NaN	
1593.214133	0	4	96	1	1	0	3.99999999	96.00000001													-1593.214133	1	NaN	
1590.654133	0	4	96	1	1	0	3.99999999	96.00000001													-1590.654133	1	NaN	
1588.094133	0	4	96	1	1	0	3.99999999	96.00000001													-1588.094133	1	NaN	
1585.534133	0	4	96	1	1	0	3.99999999	96.00000001													-1585.534133	1	NaN	
1582.974133	0	4	96	1	1	0	3.99999999	96.00000001													-1582.974133	1	NaN	
1580.414133	0	4	96	1	1	0	3.99999999	96.00000001													-1580.414133	1	NaN	
1577.854133	0	4	96	1	1	0	3.99999999	96.00000001													-1577.854133	1	NaN	
1575.294133	0	4	96	1	1	0	3.99999999	96.00000001													-1575.294133	1	NaN	
1572.734133	0	4	96	1	1	0	3.99999999	96.00000001													-1572.734133	1	NaN	
1570.174133	0	4	96	1	1	0	3.99999999	96.00000001													-1570.174133	1	NaN	
1567.614133	0	4	96	1	1	0	3.99999999	96.00000001													-1567.614133	1	NaN	
1565.054133	0	4	96	1	1	0	3.99999999	96.00000001													-1565.054133	1	NaN	
1562.494133	0	4	96	1	1	0	3.99999999	96.00000001													-1562.494133	1	NaN	
1559.934133	0	4	96	1	1	0	3.99999999	96.00000001													-1559.934133	1	NaN	
1557.374133	0	4	96	1	1	0	3.999999989	96.00000001													-1557.374133	1	NaN	
1554.814133	0	4	96	1	1	0	3.999999989	96.00000001													-1554.814133	1	NaN	
1552.254133	0	4	96	1	1	0	3.999999989	96.00000001													-1552.254133	1	NaN	
1549.694133	0	4	96	1	1	0	3.999999989	96.00000001													-1549.694133	1	NaN	
1547.134133	0	4	96	1	1	0	3.999999989	96.00000001													-1547.134133	1	NaN	
1544.574133	0	4	96	1	1	0	3.999999989	96.00000001													-1544.574133	1	NaN	
1542.014133	0	4	96	1	1	0	3.999999989	96.00000001													-1542.014133	1	NaN	
1539.454133	0	4	96	1	1	0	3.999999989	96.00000001													-1539.454133	1	NaN	
1536.894133	0	4	96	1	1	0	3.999999989	96.00000001													-1536.894133	1	NaN	
1534.334133	0	4	96	1	1	0	3.999999989	96.00000001													-1534.334133	1	NaN	
1531.774133	0	4	96	1	1	0	3.999999989	96.00000001													-1531.774133	1	NaN	
1529.214133	0	4	96	1	1	0	3.999999989	96.00000001													-1529.214133	1	NaN	
1526.654133	0	4	96	1	1	0	3.999999989	96.00000001													-1526.654133	1	NaN	
1524.094133	0	4	96	1	1	0	3.999999989	96.00000001													-1524.094133	1	NaN	
1521.534133	0	4	96	1	1	0	3.999999989	96.00000001													-1521.534133	1	NaN	
1518.974133	0	4	96	1	1	0	3.999999989	96.00000001													-1518.974133	1	NaN	
1516.414133	0	4	96	1	1	0	3.999999989	96.00000001													-1516.414133	1	NaN	
1513.854133	0	4	96	1	1	0	3.999999989	96.00000001													-1513.854133	1	NaN	
1511.294133	0	4	96	1	1	0	3.999999989	96.00000001													-1511.294133	1	NaN	
1508.734133	0	4	96	1	1	0	3.999999989	96.00000001													-1508.734133	1	NaN	
1506.174133	0	4	96	1	1	0	3.999999989	96.00000001													-1506.174133	1	NaN	
1503.614133	0	4	96	1	1	0	3.999999989	96.00000001													-1503.614133	1	NaN	
1501.054133	0	4	96	1	1	0	3.999999989	96.00000001													-1501.054133	1	NaN	
1498.494133	0	4	96	1	1	0	3.999999989	96.00000001													-1498.494133	1	NaN	
1495.934133	0	4	96	1	1	0	3.999999989	96.00000001													-1495.934133	1	NaN	
1493.374133	0	4	96	1	1	0	3.999999989	96.00000001													-1493.374133	1	NaN	
1490.814133	0	4	96	1	1	0	3.999999989	96.00000001													-1490.814133	1	NaN	
1488.254133	0	4	96	1	1	0	3.999999989	96.00000001													-1488.254133	1	NaN	
1485.694133	0	4	96	1	1	0	3.999999989	96.00000001													-1485.694133	1	NaN	
1483.134133	0	4	96	1	1	0	3.999999989	96.00000001													-1483.134133	1	NaN	
1480.574133	0	4	96	1	1	0	3.999999989	96.00000001													-1480.574133	1	NaN	
1478.014133	0	4	96	1	1	0	3.999999988	96.00000001													-1478.014133	1	NaN	
1475.454133	0	4	96	1	1	0	3.999999988	96.00000001													-1475.454133	1	NaN	
1472.894133	0	4	96	1	1	0	3.999999988	96.00000001													-1472.894133	1	NaN	
1470.334133	0	4	96	1	1	0	3.999999988	96.00000001													-1470.334133	1	NaN	
1467.774133	0	4	96	1	1	0	3.999999988	96.00000001													-1467.774133	1	NaN	
1465.214133	0	4	96	1	1	0	3.999999988	96.00000001													-1465.214133	1	NaN	
1462.654133	0	4	96	1	1	0	3.999999988	96.00000001													-1462.654133	1	NaN	
1460.094133	0	4	96	1	1	0	3.999999988	96.00000001													-1460.094133	1	NaN	
1457.534133	0	4	96	1	1	0	3.999999988	96.00000001													-1457.534133	1	NaN	
1454.974133	0	4	96	1	1	0	3.999999988	96.00000001													-1454.974133	1	NaN	
1452.414133	0	4	96	1	1	0	3.999999988	96.00000001													-1452.414133	1	NaN	
1449.854133	0	4	96	1	1	0	3.999999988	96.00000001													-1449.854133	1	NaN	
1447.294133	0	4	96	1	1	0	3.999999988	96.00000001													-1447.294133	1	NaN	
1444.734133	0	4	96	1	1	0	3.999999988	96.00000001													-1444.734133	1	NaN	
1442.174133	0	4	96	1	1	0	3.999999988	96.00000001													-1442.174133	1	NaN	
