T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1504.757271	8	15	77	0	0	3.538517009	8.492757017	87.96872597	8	15	77										-0.0001564709404	-0.0002282108639	0.0003846818043	-1504.757271	0	284.85684928281	
1504.737271	8	15	77	7.166446638E-05	7.018010988E-05	3.538602078	8.493338904	87.96805902	8.000312897	15.00045645	76.99923065										0	0	0	-1504.737271	7.018010988E-05	285.105210741876	
1504.717271	8	15	77	0.0001432664065	0.0001402991375	3.538687189	8.493920769	87.96739204	8.000625925	15.0009128	76.99846128										0	0	0	-1504.717271	0.0001402991375	285.1908945127	
1504.677271	8	15	77	0.0002865276904	0.0002805938546	3.538857345	8.495084626	87.96605803	8.001251948	15.00182549	76.99692256										0	0	0	-1504.677271	0.0002805938546	285.118620051504	
1504.597271	8	15	77	0.0005730347627	0.0005611699028	3.539197588	8.497412658	87.96338975	8.002504286	15.00365054	76.99384518										0	0	0	-1504.597271	0.0005611699028	285.161213336371	
1504.437271	8	15	77	0.0011458396	0.001122124176	3.539877777	8.502070016	87.95805221	8.005010097	15.00729935	76.98769056										0	0	0	-1504.437271	0.001122124176	285.233833971511	
1504.117271	8	15	77	0.002291352648	0.002243966718	3.54123706	8.51138979	87.94737315	8.010026468	15.01459166	76.97538187										0	0	0	-1504.117271	0.002243966718	285.280270828978	
1503.477271	8	15	77	0.004581412936	0.004486820521	3.543951193	8.530049656	87.92599915	8.02007818	15.02915509	76.95076673										0	0	0	-1503.477271	0.004486820521	285.419297294406	
1502.197271	8	15	77	0.009157767846	0.008969299007	3.549361866	8.567450583	87.88318755	8.040258508	15.05819661	76.90154489										0	0	0	-1502.197271	0.008969299007	285.848577788267	
1499.637271	8	15	77	0.01828064465	0.01790686864	3.560122525	8.642565615	87.79731186	8.080954219	15.11591779	76.80312799										0	0	0	-1499.637271	0.01790686864	286.728118101144	
1497.077271	8	15	77	0.02738217087	0.02682597446	3.570795756	8.718107968	87.71109628	8.122093273	15.17316348	76.70474325										0	0	0	-1497.077271	0.02682597446	287.35688321598	
1494.517271	8	15	77	0.03646016486	0.03572448146	3.581386851	8.794072384	87.62454077	8.163701084	15.22991755	76.60638137										0	0	0	-1494.517271	0.03572448146	287.995297988024	
1491.957271	8	15	77	0.04551635167	0.0446040827	3.59189915	8.870455878	87.53764497	8.205799058	15.28616723	76.50803371										0	0	0	-1491.957271	0.0446040827	288.581970253511	
1489.397271	8	15	77	0.05455242457	0.05346644111	3.60233615	8.947255023	87.45040883	8.248409283	15.34189917	76.40969154										0	0	0	-1489.397271	0.05346644111	289.117245583282	
1486.837271	8	15	77	0.06357004428	0.06231318873	3.612701507	9.024465935	87.36283256	8.291554541	15.39709942	76.31134604										0	0	0	-1486.837271	0.06231318873	289.601563146166	
1484.277271	8	15	77	0.07257083824	0.0711459259	3.622999037	9.102084249	87.27491671	8.335258343	15.45175339	76.21298827										0	0	0	-1484.277271	0.0711459259	290.035456001928	
1481.717271	8	15	77	0.08155639966	0.07996622039	3.633232728	9.180105094	87.18666218	8.379544943	15.50584588	76.11460918										0	0	0	-1481.717271	0.07996622039	290.419553596783	
1479.157271	8	15	77	0.09052828653	0.08877560633	3.643406734	9.258523074	87.09807019	8.424439368	15.559361	76.01619964										0	0	0	-1479.157271	0.08877560633	290.754585001846	
1476.597271	8	15	77	0.09948802045	0.09757558302	3.653525389	9.337332242	87.00914237	8.469967441	15.61228218	75.91775037										0	0	0	-1476.597271	0.09757558302	291.041379272667	
1474.037271	8	15	77	0.1084370853	0.1063676137	3.663593205	9.416526079	86.91988072	8.516155808	15.66459216	75.81925203										0	0	0	-1474.037271	0.1063676137	291.280870518658	
1471.477271	8	15	77	0.1173769259	0.1151531239	3.673614877	9.496097464	86.83028766	8.563031958	15.71627291	75.72069513										0	0	0	-1471.477271	0.1151531239	291.474095240846	
