T	w(CU)	w(FE)	w(TI)	fs	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)	-T//fw(@BCC_A2)	-T_1	fs_1	-T//fs	
K	%	%	%	mole/mole	%	%	%	%	%	%	SI	SI	SI		kg/kg					
1845.302777	7	1	92	0	2.75772165	0.3289057735	96.91337258	7	1	92	-0.0006623290063	-0.0001047760232	0.0007671050295	-1845.302777	0	64.0317184369628	-1845.302777	0	63.2953897106065	
1845.282777	7	1	92	0.0003158942195	2.758281678	0.3289816437	96.91273668	7.001324655	1.000209548	91.9984658	0	0	0	-1845.282777	0.000312262083	64.0658066167542	-1845.282777	0.0003158942195	63.329276178281	
1845.262777	7	1	92	0.0006316194995	2.758841688	0.3290575195	96.91210079	7.002649237	1.000419104	91.99693166	0	0	0	-1845.262777	0.0006243581057	64.0970771225229	-1845.262777	0.0006316194995	63.3603773910853	
1845.222777	7	1	92	0.001262646871	2.759961693	0.3292092748	96.91082903	7.005298275	1.000838199	91.99386353	0	0	0	-1845.222777	0.001248134635	64.1458314228006	-1845.222777	0.001262646871	63.408952310673	
1845.142777	7	1	92	0.002523493438	2.762201596	0.3295128182	96.90828559	7.010595735	1.001676377	91.98772789	0	0	0	-1845.142777	0.002494504631	64.2318714347236	-1845.142777	0.002523493438	63.4947685991444	
1844.982777	7	1	92	0.005039800453	2.766680979	0.3301200307	96.90319899	7.021188209	1.003352672	91.97545912	0	0	0	-1844.982777	0.004981965238	64.4138369656284	-1844.982777	0.005039800453	63.6761852871452	
1844.662777	7	1	92	0.01005097463	2.775638055	0.3313349586	96.89302699	7.04236338	1.006705014	91.95093161	0	0	0	-1844.662777	0.009935871695	64.8435617642404	-1844.662777	0.01005097463	64.1041086452148	
1844.022777	7	1	92	0.01995930231	2.793544244	0.3337674435	96.87268831	7.084671583	1.013410575	91.90191784	0	0	0	-1844.022777	0.01973167477	65.7378906357957	-1844.022777	0.01995930231	64.9946048297909	
1842.742777	7	1	92	0.03941663815	2.829328218	0.3386410583	96.83203072	7.169129033	1.026819473	91.80405149	0	0	0	-1842.742777	0.03897084388	67.392220000615	-1842.742777	0.03941663815	66.643616994852	
1840.182777	7	1	92	0.07689956922	2.90077929	0.348423973	96.75079674	7.337405241	1.053631397	91.60896336	0	0	0	-1840.182777	0.07604441105	70.8015677567341	-1840.182777	0.07689956922	70.0434125909769	
1837.622777	7	1	92	0.1126008572	2.972073225	0.3582539153	96.66967286	7.504836629	1.080433102	91.41473027	0	0	0	-1837.622777	0.1113699842	74.2595124471759	-1837.622777	0.1126008572	73.4941716616212	
1835.062777	7	1	92	0.1466437777	3.043208098	0.3681305405	96.58866136	7.671430276	1.107222711	91.22134701	0	0	0	-1835.062777	0.1450684738	77.7939200347186	-1835.062777	0.1466437777	77.0240928865923	
1832.502777	7	1	92	0.1791449659	3.114182297	0.3780533664	96.50776434	7.837193799	1.133997919	91.02880828	0	0	0	-1832.502777	0.1772543176	81.3991075429589	-1832.502777	0.1791449659	80.627728390732	
1829.942777	7	1	92	0.2102103352	3.184994324	0.3880218702	96.42698381	8.002134884	1.160756303	90.83710881	0	0	0	-1829.942777	0.2080314324	85.0741944819905	-1829.942777	0.2102103352	84.3043790018934	
1827.382777	7	1	92	0.239936275	3.255642815	0.3980354909	96.34632169	8.166261321	1.187495322	90.64624336	0	0	0	-1827.382777	0.2374943899	88.8183070268575	-1827.382777	0.239936275	88.0533517957047	
1824.822777	7	1	92	0.2684107	3.326126536	0.4080936277	96.26577984	8.329581014	1.214212323	90.45620666	0	0	0	-1824.822777	0.2657294454	92.630566693521	-1824.822777	0.2684107	91.8739499346611	
1822.262777	7	1	92	0.2957139631	3.396444385	0.4181956406	96.18535997	8.492101982	1.240904535	90.26699348	0	0	0	-1822.262777	0.2928154348	96.5100896986871	-1822.262777	0.2957139631	95.7654716434328	
1819.702777	7	1	92	0.3219196537	3.466595392	0.428340849	96.10506376	8.653832363	1.26756908	90.07859856	0	0	0	-1819.702777	0.3188245571	100.455988190315	-1819.702777	0.3219196537	99.7272103243377	
1817.142777	7	1	92	0.3470952959	3.536578717	0.438528532	96.02489275	8.814780421	1.294202963	89.89101662	0	0	0	-1817.142777	0.3438230599	104.467368874385	-1817.142777	0.3470952959	103.758455388186	
1814.582777	7	1	92	0.3713029623	3.60639365	0.4487579272	95.94484842	8.974954546	1.320803083	89.70424237	0	0	0	-1814.582777	0.3678718422	108.54333420193	-1814.582777	0.3713029623	107.858489881108	
1812.022777	7	1	92	0.3945998153	3.676039613	0.4590282311	95.86493216	9.134363257	1.347366225	89.51827052	0	0	0	-1812.022777	0.3910269843	112.665880977164	-1812.022777	0.3945998153	112.009604447683	
1809.462777	7	1	92	0.4170450293	3.745531766	0.4693628881	95.78510535	9.293064916	1.373881854	89.33305323	0	0	0	-1809.462777	0.413346636	116.869298050945	-1809.462777	0.4170450293	116.246061627897	
1806.902777	7	1	92	0.4386745035	3.814839351	0.4797126926	95.70544796	9.450971339	1.400359875	89.14866879	0	0	0	-1806.902777	0.4348658298	121.149241957662	-1806.902777	0.4386745035	120.563664143316	
1804.342777	7	1	92	0.4595397015	3.88397704	0.4901007493	95.62592221	9.608138837	1.42679058	88.96507058	0	0	0	-1804.342777	0.4556351455	125.474392622615	-1804.342777	0.4595397015	124.931509536738	
1801.782777	7	1	92	0.479682409	3.952944781	0.5005260985	95.54652912	9.76457652	1.453170323	88.78225316	0	0	0	-1801.782777	0.4756955764	129.859533967488	-1801.782777	0.479682409	129.364448577754	
1799.222777	7	1	92	0.4991414094	4.02174265	0.5109877374	95.46726961	9.920293637	1.479495348	88.60021101	0	0	0	-1799.222777	0.4950851705	134.303729035168	-1799.222777	0.4991414094	133.861722079863	
1796.662777	7	1	92	0.5179527486	4.09037085	0.5214846201	95.38814453	10.07529959	1.505761798	88.41893861	0	0	0	-1796.662777	0.5138392899	138.806039756581	-1796.662777	0.5179527486	138.422567508653	
1794.102777	7	1	92	0.5361499732	4.158829712	0.5320156574	95.30915463	10.22960394	1.531965709	88.23843035	0	0	0	-1794.102777	0.5319908446	143.365522202268	-1794.102777	0.5361499732	143.046215739309	
1791.542777	7	1	92	0.5537643442	4.227119692	0.5425797163	95.23030059	10.38321639	1.558103016	88.05868059	0	0	0	-1791.542777	0.5495705023	147.981226366689	-1791.542777	0.5537643442	147.731890179047	
1788.982777	7	1	92	0.5708250293	4.295241374	0.5531756198	95.15158301	10.5361468	1.584169553	87.87968365	0	0	0	-1788.982777	0.566606877	152.652195853367	-1788.982777	0.5708250293	152.478806643421	
1786.422777	7	1	92	0.5873592759	4.363195465	0.5638021465	95.07300239	10.68840519	1.610161054	87.70143376	0	0	0	-1786.422777	0.5831266989	157.377471088677	-1786.422777	0.5873592759	157.286174483162	
1783.862777	7	1	92	0.6033925671	4.430982796	0.5744580306	94.99455917	10.84000173	1.636073156	87.52392511	0	0	0	-1783.862777	0.599154967	162.156087333095	-1783.862777	0.6033925671	162.153198723916	
1781.302777	7	1	92	0.6189487624	4.498604322	0.5851419616	94.91625372	10.99094675	1.661901399	87.34715185	0	0	0	-1781.302777	0.6147150881	166.987074121686	-1781.302777	0.6189487624	167.079076246511	
1778.742777	7	1	92	0.6340502261	4.566061117	0.5958525839	94.8380863	11.14125074	1.687641226	87.17110804	0	0	0	-1778.742777	0.6298290018	171.869457065053	-1778.742777	0.6340502261	172.062997552528	
1776.182777	7	1	92	0.6487179425	4.63335438	0.606588497	94.76005712	11.29092433	1.713287991	86.99578768	0	0	0	-1776.182777	0.6445172943	176.802258569837	-1776.182777	0.6487179425	177.104148364866	
1773.622777	7	1	92	0.6629716214	4.700485424	0.6173482552	94.68216632	11.43997833	1.738836952	86.82118472	0	0	0	-1773.622777	0.6587993013	181.784497661934	-1773.622777	0.6629716214	182.201709341144	
1771.062777	7	1	92	0.6768297934	4.767455684	0.6281303674	94.60441395	11.58842369	1.764283282	86.64729302	0	0	0	-1771.062777	0.6726932021	186.815189463074	-1771.062777	0.6768297934	187.35485650329	
1768.502777	7	1	92	0.6903098973	4.83426671	0.6389332971	94.52679999	11.73627153	1.789622061	86.47410641	0	0	0	-1768.502777	0.686216105	191.893346917968	-1768.502777	0.6903098973	192.562757922701	
1765.942777	7	1	92	0.7034283598	4.900920168	0.6497554625	94.44932437	11.88353309	1.814848289	86.30161862	0	0	0	-1765.942777	0.6993841253	197.01798111297	-1765.942777	0.7034283598	197.824581861084	
1763.382777	7	1	92	0.7162006673	4.967417838	0.6605952363	94.37198693	12.03021981	1.839956877	86.12982331	0	0	0	-1763.382777	0.7122124565	202.188100815662	-1763.382777	0.7162006673	203.13949115926	
1760.822777	7	1	92	0.7286414333	5.033761613	0.6714509458	94.29478744	12.17634325	1.864942657	85.95871409	0	0	0	-1760.822777	0.7247154356	207.402714292303	-1760.822777	0.7286414333	208.506645112496	
1758.262777	7	1	92	0.7407644584	5.099953497	0.682320873	94.21772563	12.32191512	1.889800383	85.78828449	0	0	0	-1758.262777	0.7369066026	212.66083044638	-1758.262777	0.7407644584	213.925202680115	
