T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
889.6646727	93	0	7	0	0	93	0	7	99.21579681	0	0.7842031867	0.001483835029		-0.001483835029	-889.6646727	0	41.8893596674452	
889.6446727	93	0	7	0.0004784018062	0.0004772326385	92.99703238	0	7.00296762	99.21542559	0	0.784574413	0		0	-889.6446727	0.0004772326385	41.9272043582016	
889.6246727	93	0	7	0.000956372043	0.0009540349015	92.99406496	0	7.005935041	99.21505435	0	0.7849456498	0		0	-889.6246727	0.0009540349015	41.9650488812888	
889.5846727	93	0	7	0.001911020152	0.001906350639	92.98813072	0	7.011869284	99.21431184	0	0.7856881603	0		0	-889.5846727	0.001906350639	42.0408209665453	
889.5046727	93	0	7	0.003815163451	0.00380584345	92.97626462	0	7.023735379	99.21282664	0	0.7871733625	0		0	-889.5046727	0.00380584345	42.1926613157177	
889.3446727	93	0	7	0.007602969541	0.00758440523	92.952542	0	7.047458002	99.20985555	0	0.790144448	0		0	-889.3446727	0.00758440523	42.4975298491145	
889.0246727	93	0	7	0.01509769372	0.01506086461	92.90513499	0	7.094865007	99.20391065	0	0.7960893471	0		0	-889.0246727	0.01506086461	43.1119803930009	
888.3846727	93	0	7	0.02977167847	0.02969919281	92.81047352	0	7.189526479	99.1920099	0	0.8079900999	0		0	-888.3846727	0.02969919281	44.3597238930866	
887.1046727	93	0	7	0.05791893604	0.05777846147	92.62175876	0	7.378241239	99.16816428	0	0.8318357234	0		0	-887.1046727	0.05777846147	46.9302677689541	
884.5446727	93	0	7	0.1098521051	0.1095877364	92.2467431	0	7.7532569	99.12029415	0	0.8797058545	0		0	-884.5446727	0.1095877364	52.2331821403498	
881.9846727	93	0	7	0.1566959701	0.1563218249	91.87490937	0	8.125090629	99.07218096	0	0.9278190427	0		0	-881.9846727	0.1563218249	57.7267842541245	
879.4246727	93	0	7	0.1991769937	0.1987051948	91.50621246	0	8.493787539	99.02381934	0	0.9761806623	0		0	-879.4246727	0.1987051948	63.4751494469541	
876.8646727	93	0	7	0.2378900889	0.2373311257	91.14060605	0	8.859393948	98.97520399	0	1.024796009	0		0	-876.8646727	0.2373311257	69.4737059093962	
874.3046727	93	0	7	0.2733270864	0.2726900987	90.77804286	0	9.221957142	98.9263297	0	1.073670305	0		0	-874.3046727	0.2726900987	75.717585861973	
871.7446727	93	0	7	0.305898118	0.3051911211	90.41847484	0	9.581525159	98.8771913	0	1.1228087	0		0	-871.7446727	0.3051911211	82.2016328209777	
869.1846727	93	0	7	0.3359478911	0.335177955	90.06185341	0	9.938146595	98.82778372	0	1.172216284	0		0	-869.1846727	0.335177955	88.9204083401751	
866.6246727	93	0	7	0.3637682221	0.3629416175	89.70812956	0	10.29187044	98.77810191	0	1.221898087	0		0	-866.6246727	0.3629416175	95.868199737059	
864.0646727	93	0	7	0.3896077967	0.3887301137	89.3572541	0	10.6427459	98.72814092	0	1.271859082	0		0	-864.0646727	0.3887301137	103.03903070257	
861.5046727	93	0	7	0.4136798465	0.4127560916	89.00917771	0	10.99082229	98.6778958	0	1.322104195	0		0	-861.5046727	0.4127560916	110.426668771489	
858.9446727	93	0	7	0.4361682429	0.4352029204	88.66385109	0	11.33614891	98.62736169	0	1.372638309	0		0	-858.9446727	0.4352029204	118.024637350049	
856.3846727	93	0	7	0.4572323769	0.4562295556	88.32122509	0	11.67877491	98.57653374	0	1.423466261	0		0	-856.3846727	0.4562295556	125.826225430501	
853.8246727	93	0	7	0.4770110974	0.4759744674	87.9812508	0	12.0187492	98.52540714	0	1.474592857	0		0	-853.8246727	0.4759744674	133.824498301232	
851.2646727	93	0	7	0.495625913	0.4945588336	87.64387959	0	12.35612041	98.47397713	0	1.526022866	0		0	-851.2646727	0.4945588336	142.012311148101	
848.7046727	93	0	7	0.5131836146	0.5120891542	87.30906324	0	12.69093676	98.42223897	0	1.577761029	0		0	-848.7046727	0.5120891542	150.382318497578	
846.1446727	93	0	7	0.529778435	0.5286594062	86.97675396	0	13.02324604	98.37018794	0	1.629812065	0		0	-846.1446727	0.5286594062	158.926987593644	
843.5846727	93	0	7	0.5454938406	0.5443528295	86.64690447	0	13.35309553	98.31781933	0	1.682180666	0		0	-843.5846727	0.5443528295	167.638612317396	
841.0246727	93	0	7	0.5604040244	0.5592434161	86.31946804	0	13.68053196	98.26512849	0	1.734871509	0		0	-841.0246727	0.5592434161	176.509322748354	
838.4646727	93	0	7	0.574575158	0.5733971588	85.99439853	0	14.00560147	98.21211075	0	1.787889254	0		0	-838.4646727	0.5733971588	185.531100753938	
835.9046727	93	0	7	0.5880664459	0.5868731024	85.67165039	0	14.32834961	98.15876145	0	1.841238551	0		0	-835.9046727	0.5868731024	194.695791448783	
833.3446727	93	0	7	0.6009310186	0.5997242344	85.35117877	0	14.64882123	98.10507596	0	1.894924037	0		0	-833.3446727	0.5997242344	203.995117332379	
830.7846727	93	0	7	0.6132166912	0.6119982415	85.03293944	0	14.96706056	98.05104965	0	1.948950345	0		0	-830.7846727	0.6119982415	213.420692622437	
828.2246727	93	0	7	0.6249666119	0.6237381562	84.71688889	0	15.28311111	97.99667789	0	2.003322105	0		0	-828.2246727	0.6237381562	222.964031445909	
825.6646727	93	0	7	0.6362198173	0.6349829112	84.4029843	0	15.5970157	97.94195606	0	2.058043945	0		0	-825.6646727	0.6349829112	232.616567349261	
823.1046727	93	0	7	0.6470117113	0.6457678159	84.09118356	0	15.90881644	97.88687951	0	2.113120493	0		0	-823.1046727	0.6457678159	242.369663215597	
820.5446727	93	0	7	0.6573744776	0.6561249689	83.78144528	0	16.21855472	97.83144362	0	2.168556384	0		0	-820.5446727	0.6561249689	252.214625775704	
817.9846727	93	0	7	0.6673374385	0.6660836147	83.47372879	0	16.52627121	97.77564374	0	2.224356257	0		0	-817.9846727	0.6660836147	262.142715379653	
815.4246727	93	0	7	0.6769273657	0.6756704549	83.16799416	0	16.83200584	97.71947524	0	2.280524761	0		0	-815.4246727	0.6756704549	272.145164103699	
812.8646727	93	0	7	0.6861687525	0.6849099185	82.86420217	0	17.13579783	97.66293345	0	2.337066554	0		0	-812.8646727	0.6849099185	282.213188831167	
810.3046727	93	0	7	0.6950840516	0.6938243995	82.56231431	0	17.43768569	97.60601369	0	2.39398631	0		0	-810.3046727	0.6938243995	292.337992191168	
807.7446727	93	0	7	0.7036938835	0.7024344652	82.26229282	0	17.73770718	97.54871128	0	2.451288716	0		0	-807.7446727	0.7024344652	302.510790248566	
805.1846727	93	0	7	0.7120172204	0.7107590388	81.96410063	0	18.03589937	97.49102152	0	2.508978477	0		0	-805.1846727	0.7107590388	312.722823188917	
802.6246727	93	0	7	0.7200715482	0.7188155613	81.66770138	0	18.33229862	97.43293968	0	2.567060316	0		0	-802.6246727	0.7188155613	322.965354110624	
800.0646727	93	0	7	0.7278730098	0.7266201347	81.37305939	0	18.62694061	97.37446102	0	2.625538978	0		0	-800.0646727	0.7266201347	333.229692929763	
797.5046727	93	0	7	0.7354365325	0.7341876484	81.0801397	0	18.9198603	97.31558077	0	2.684419231	0		0	-797.5046727	0.7341876484	343.507205555963	
794.9446727	93	0	7	0.7427759406	0.7415318922	80.788908	0	19.211092	97.25629413	0	2.743705867	0		0	-794.9446727	0.7415318922	353.789322726649	
792.3846727	93	0	7	0.7499040564	0.7486656565	80.49933067	0	19.50066933	97.19659629	0	2.803403706	0		0	-792.3846727	0.7486656565	364.067558230073	
789.8246727	93	0	7	0.7568327899	0.7556008219	80.21137473	0	19.78862527	97.13648241	0	2.863517594	0		0	-789.8246727	0.7556008219	374.333504367701	
787.2646727	93	0	7	0.7635732193	0.7623484398	79.92500784	0	20.07499216	97.07594759	0	2.924052408	0		0	-787.2646727	0.7623484398	384.578857825486	
784.7046727	93	0	7	0.7701356631	0.7689188037	79.64019831	0	20.35980169	97.01498694	0	2.985013058	0		0	-784.7046727	0.7689188037	394.795424320068	
782.1446727	93	0	7	0.776529745	0.7753215143	79.35691507	0	20.64308493	96.95359552	0	3.046404484	0		0	-782.1446727	0.7753215143	404.975126115367	
779.5846727	93	0	7	0.7827644517	0.7815655372	79.07512765	0	20.92487235	96.89176834	0	3.108231664	0		0	-779.5846727	0.7815655372	415.110004494109	
777.0246727	93	0	7	0.7888481859	0.7876592559	78.79480618	0	21.20519382	96.82950039	0	3.17049961	0		0	-777.0246727	0.7876592559	425.1922525383	
774.4646727	93	0	7	0.7947888137	0.7936105181	78.51592136	0	21.48407864	96.76678663	0	3.233213373	0		0	-774.4646727	0.7936105181	435.214198958362	
771.9046727	93	0	7	0.8005937072	0.7994266797	78.23844447	0	21.76155553	96.70362196	0	3.296378043	0		0	-771.9046727	0.7994266797	445.168316748036	
769.3446727	93	0	7	0.8062697839	0.8051146427	77.96234737	0	22.03765263	96.64000125	0	3.35999875	0		0	-769.3446727	0.8051146427	455.047258995588	
766.7846727	93	0	7	0.8118235414	0.8106808907	77.68760243	0	22.31239757	96.57591933	0	3.424080669	0		0	-766.7846727	0.8106808907	464.843822935833	
764.2246727	93	0	7	0.8172610899	0.8161315212	77.41418256	0	22.58581744	96.51137099	0	3.488629014	0		0	-764.2246727	0.8161315212	474.550998450542	
761.6646727	93	0	7	0.8225881816	0.821472274	77.14206121	0	22.85793879	96.44635095	0	3.55364905	0		0	-761.6646727	0.821472274	484.161948700435	
759.1046727	93	0	7	0.8278102365	0.8267085586	76.87121231	0	23.12878769	96.38085392	0	3.619146084	0		0	-759.1046727	0.8267085586	493.670016342002	
756.5446727	93	0	7	0.8329323677	0.8318454778	76.6016103	0	23.3983897	96.31487453	0	3.685125472	0		0	-756.5446727	0.8318454778	503.068742652145	
753.9846727	93	0	7	0.837959403	0.8368878503	76.33323009	0	23.66676991	96.24840738	0	3.751592621	0		0	-753.9846727	0.8368878503	512.351864723125	
751.4246727	93	0	7	0.8428959055	0.8418402306	76.06604709	0	23.93395291	96.18144701	0	3.818552987	0		0	-751.4246727	0.8418402306	521.513318313625	
748.8646727	93	0	7	0.8477461919	0.846706928	75.80003713	0	24.19996287	96.11398792	0	3.886012078	0		0	-748.8646727	0.846706928	530.547243431514	
746.3046727	93	0	7	0.8525143502	0.8514920233	75.5351765	0	24.4648235	96.04602454	0	3.953975456	0		0	-746.3046727	0.8514920233	539.447989782238	
743.7446727	93	0	7	0.857204255	0.8561993848	75.27144193	0	24.72855807	95.97755126	0	4.022448738	0		0	-743.7446727	0.8561993848	548.210126581976	
741.1846727	93	0	7	0.8618195818	0.8608326823	75.00881057	0	24.99118943	95.9085624	0	4.091437596	0		0	-741.1846727	0.8608326823	556.828425167505	
738.6246727	93	0	7	0.8663638211	0.865395401	74.74725998	0	25.25274002	95.83905224	0	4.160947761	0		0	-738.6246727	0.865395401	565.297871515796	
736.0646727	93	0	7	0.8708402896	0.8698908532	74.48676813	0	25.51323187	95.76901498	0	4.23098502	0		0	-736.0646727	0.8698908532	573.613691188924	
733.5046727	93	0	7	0.8752521425	0.8743221898	74.22731336	0	25.77268664	95.69844478	0	4.301555222	0		0	-733.5046727	0.8743221898	581.771302515211	
730.9446727	93	0	7	0.8796023835	0.878692411	73.96887441	0	26.03112559	95.62733572	0	4.372664277	0		0	-730.9446727	0.878692411	589.766366778747	
728.3846727	93	0	7	0.8838938744	0.8830043754	73.71143038	0	26.28856962	95.55568184	0	4.444318157	0		0	-728.3846727	0.8830043754	597.59476033609	
