T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI					
886.3625675	88	8	4	0	0		88	8	4	98.71110691	0.8338224275	0.4550706639				0.002353547235	-0.001574623072	-0.0007789241635	-886.3625675	0			
886.3425675	88	8	4	0.0004589414731	0.0004392811912		87.99529299	8.003149191	4.001557816	98.71053996	0.8341854814	0.4552745579				0	0	0	-886.3425675	0.0004392811912			
886.3225675	88	8	4	0.0009174920385	0.0008781901352		87.99058634	8.00629816	4.0031155	98.70997299	0.8345485473	0.4554784626				0	0	0	-886.3225675	0.0008781901352			
886.2825675	88	8	4	0.001833422434	0.001754893174		87.98117409	8.012595431	4.006230475	98.70883898	0.8352747149	0.4558863035				0	0	0	-886.2825675	0.001754893174			
886.2025675	88	8	4	0.003660614227	0.003503853138		87.96235384	8.025187309	4.012458849	98.70657069	0.836727194	0.4567021122				0	0	0	-886.2025675	0.003503853138			
886.0425675	88	8	4	0.007296432631	0.006984094153		87.9247303	8.050360401	4.024909296	98.70203303	0.8396327291	0.4583342375				0	0	0	-886.0425675	0.006984094153			
885.7225675	88	8	4	0.0144946821	0.01387469242		87.84955113	8.100663915	4.049784955	98.69295336	0.8454461172	0.461600522				0	0	0	-885.7225675	0.01387469242			
885.0825675	88	8	4	0.02860448117	0.02738287809		87.69946437	8.201100352	4.099435282	98.67477646	0.857082279	0.468141256				0	0	0	-885.0825675	0.02738287809			
883.8025675	88	8	4	0.05572926755	0.05335672416		87.40037858	8.401290457	4.198330966	98.63835152	0.880392889	0.4812555864				0	0	0	-883.8025675	0.05335672416			
881.2425675	88	8	4	0.1059775282	0.1014943037		86.80656457	8.798939383	4.394496047	98.56520901	0.927173643	0.5076173509				0	0	0	-881.2425675	0.1014943037			
878.6825675	88	8	4	0.1515180512	0.1451493011		86.21856937	9.192948581	4.588482051	98.49166072	0.9741795478	0.5341597341				0	0	0	-878.6825675	0.1451493011			
876.1225675	88	8	4	0.1929860393	0.1849267887		85.636397	9.583324366	4.780278633	98.41768745	1.021426021	0.5608865243				0	0	0	-876.1225675	0.1849267887			
873.5625675	88	8	4	0.2309081192	0.2213284351		85.06004464	9.970077196	4.969878163	98.34326944	1.068929037	0.5878015267				0	0	0	-873.5625675	0.2213284351			
871.0025675	88	8	4	0.2657245878	0.2547736924		84.48950303	10.35322134	5.157275624	98.2683863	1.11670513	0.614908575				0	0	0	-871.0025675	0.2547736924			
868.4425675	88	8	4	0.2978064079	0.2856159832		83.92475683	10.73277466	5.342468515	98.19301704	1.164771414	0.642211545				0	0	0	-868.4425675	0.2856159832			
865.8825675	88	8	4	0.3274683356	0.3141552029		83.36578509	11.10875819	5.525456727	98.11714005	1.213145585	0.6697143638				0	0	0	-865.8825675	0.3141552029			
863.3225675	88	8	4	0.3549791772	0.3406474885		82.81256167	11.4811959	5.706242433	98.04073304	1.261845937	0.6974210227				0	0	0	-863.3225675	0.3406474885			
860.7625675	88	8	4	0.3805698798	0.3653129239		82.26505565	11.85011437	5.884829982	97.96377303	1.310891378	0.7253355886				0	0	0	-860.7625675	0.3653129239			
858.2025675	88	8	4	0.4044399705	0.3883416733		81.72323175	12.21554246	6.061225785	97.88623634	1.360301446	0.7534622177				0	0	0	-858.2025675	0.3883416733			
855.6425675	88	8	4	0.4267627264	0.4098989049		81.18705072	12.57751107	6.235438212	97.8080985	1.410096333	0.7818051677				0	0	0	-855.6425675	0.4098989049			
853.0825675	88	8	4	0.4476893564	0.4301287735		80.65646969	12.93605282	6.407477492	97.72933428	1.460296905	0.8103688121				0	0	0	-853.0825675	0.4301287735			
