T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI					
886.7117127	92	1	7	0	0		92	1	7	99.10753472	0.101265922	0.7911993616				0.001580972916	-0.0001999116996	-0.001381061217	-886.7117127	0			
886.6917127	92	1	7	0.0004481055932	0.0004446918208		91.99683811	1.000399818	7.002762074	99.1071386	0.1013092857	0.7915521109				0	0	0	-886.6917127	0.0004446918208			
886.6717127	92	1	7	0.0008958321109	0.0008890077992		91.99367643	1.000799615	7.005523956	99.10674248	0.1013526502	0.7919048745				0	0	0	-886.6717127	0.0008890077992			
886.6317127	92	1	7	0.001790149806	0.0017765141		91.98735371	1.001599147	7.01104714	99.10595017	0.1014393816	0.7926104449				0	0	0	-886.6317127	0.0017765141			
886.5517127	92	1	7	0.003574257459	0.003547037583		91.97471085	1.003197956	7.022091196	99.10436539	0.1016128542	0.7940217582				0	0	0	-886.5517127	0.003547037583			
886.3917127	92	1	7	0.007124469925	0.007070235271		91.94943538	1.006394566	7.044170057	99.10119509	0.1019598389	0.7968450754				0	0	0	-886.3917127	0.007070235271			
886.0717127	92	1	7	0.01415373764	0.01404608043		91.89892544	1.012783756	7.088290801	99.09485156	0.1026539675	0.8024944767				0	0	0	-886.0717127	0.01404608043			
885.4317127	92	1	7	0.02793432095	0.02772218994		91.79806925	1.025546087	7.176384659	99.08215275	0.1040428762	0.8138043776				0	0	0	-885.4317127	0.02772218994			
884.1517127	92	1	7	0.05443438727	0.05402236368		91.59700947	1.051007031	7.351983501	99.05670772	0.1068234124	0.8364688713				0	0	0	-884.1517127	0.05402236368			
881.5917127	92	1	7	0.103558418	0.102779705		91.19748131	1.101678094	7.700840593	99.00562483	0.1123962662	0.8819789012				0	0	0	-881.5917127	0.102779705			
879.0317127	92	1	7	0.1481250014	0.1470185483		90.80137138	1.152022458	8.046606163	98.95427885	0.1179865505	0.9277345985				0	0	0	-879.0317127	0.1470185483			
876.4717127	92	1	7	0.1887516461	0.1873511684		90.40863377	1.202049452	8.389316773	98.9026626	0.1235963318	0.973741064				0	0	0	-876.4717127	0.1873511684			
873.9117127	92	1	7	0.2259495669	0.2242844507		90.01922114	1.251768439	8.729010416	98.85076898	0.1292276755	1.020003345				0	0	0	-873.9117127	0.2242844507			
871.3517127	92	1	7	0.2601455948	0.2582416142		89.63308494	1.301188778	9.065726278	98.79859091	0.1348826471	1.066526442				0	0	0	-871.3517127	0.2582416142			
868.7917127	92	1	7	0.2916988833	0.289578776		89.25017567	1.350319804	9.399504529	98.74612137	0.1405633132	1.113315318				0	0	0	-868.7917127	0.289578776			
866.2317127	92	1	7	0.3209137982	0.3185977314		88.87044306	1.399170797	9.73038614	98.69335336	0.1462717425	1.160374899				0	0	0	-866.2317127	0.3185977314			
