T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
875.874406	91	0	9	0	0	91	0	9	98.95632928	0	1.043670716	0.001417567619		-0.001417567619	-875.874406	0	56.1257037794908	
875.854406	91	0	9	0.0003573394122	0.0003562214419	90.99716491	0	9.002835089	98.95594767	0	1.044052328	0		0	-875.854406	0.0003562214419	56.1639994641241	
875.834406	91	0	9	0.0007144352298	0.000712200158	90.99433001	0	9.005669994	98.95556605	0	1.04443395	0		0	-875.834406	0.000712200158	56.2022950025354	
875.794406	91	0	9	0.001427897082	0.00142343041	90.98866075	0	9.011339249	98.95480277	0	1.045197234	0		0	-875.794406	0.00142343041	56.2789485268249	
875.714406	91	0	9	0.002851908785	0.002842989304	90.97732446	0	9.022675545	98.95327599	0	1.046724007	0		0	-875.714406	0.002842989304	56.432476930303	
875.554406	91	0	9	0.005688340758	0.005670557011	90.95466072	0	9.045339284	98.95022168	0	1.04977832	0		0	-875.554406	0.005670557011	56.7404208394699	
875.234406	91	0	9	0.01131528698	0.01127993854	90.90936861	0	9.090631389	98.94410999	0	1.055890012	0		0	-875.234406	0.01127993854	57.3598269972862	
874.594406	91	0	9	0.02238903266	0.02231919772	90.81892549	0	9.181074509	98.9318743	0	1.068125698	0		0	-874.594406	0.02231919772	58.6127068477093	
873.314406	91	0	9	0.04384290853	0.04370657702	90.63860114	0	9.361398859	98.90735344	0	1.092646563	0		0	-873.314406	0.04370657702	61.1744511866792	
870.754406	91	0	9	0.08417559521	0.08391547234	90.28017872	0	9.719821282	98.85811151	0	1.141888486	0		0	-870.754406	0.08391547234	66.4169983721138	
868.194406	91	0	9	0.1214136316	0.121040791	89.92468396	0	10.07531604	98.80859845	0	1.19140155	0		0	-868.194406	0.121040791	71.7990644401336	
