T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI					
873.6661277	89	3	8	0	0		89	3	8	98.75001808	0.3113686748	0.9386132435				0.001659256078	-0.0004575520191	-0.001201704059	-873.6661277	0			
873.6461277	89	3	8	0.0003465905849	0.0003402532839		88.99668154	3.000915091	8.002403364	98.74957897	0.3114739702	0.9389470634				0	0	0	-873.6461277	0.0003402532839			
873.6261277	89	3	8	0.0006929522959	0.0006802823814		88.99336332	3.00183013	8.004806553	98.74913983	0.3115792684	0.9392808992				0	0	0	-873.6261277	0.0006802823814			
873.5861277	89	3	8	0.001384989973	0.001359668876		88.98672755	3.003660052	8.009612402	98.74826151	0.3117898732	0.9399486182				0	0	0	-873.5861277	0.001359668876			
873.5061277	89	3	8	0.002766328812	0.002715761395		88.97345874	3.007319271	8.01922199	98.74650464	0.3122111163	0.9412842459				0	0	0	-873.5061277	0.002715761395			
873.3461277	89	3	8	0.00551811174	0.005417274823		88.94693206	3.014635209	8.038432729	98.74299	0.3130537368	0.943956261				0	0	0	-873.3461277	0.005417274823			
873.0261277	89	3	8	0.01097850511	0.01077801349		88.89392242	3.029257107	8.076820476	98.73595715	0.3147395189	0.9493033338				0	0	0	-873.0261277	0.01077801349			
872.3861277	89	3	8	0.02172980188	0.02133347297		88.78807756	3.058461137	8.153461306	98.72187704	0.3181132783	0.9600096785				0	0	0	-872.3861277	0.02133347297			
871.1061277	89	3	8	0.04257896969	0.04180435599		88.57708307	3.116711128	8.306205802	98.69365872	0.3248698271	0.9814714548				0	0	0	-871.1061277	0.04180435599			
868.5461277	89	3	8	0.08184546743	0.0803641475		88.15785349	3.2325872	8.609559313	98.63698553	0.3384210022	1.024593472				0	0	0	-868.5461277	0.0803641475			
865.9861277	89	3	8	0.1181797221	0.1160518798		87.74226132	3.347647413	8.910091267	98.57998908	0.3520267224	1.067984196				0	0	0	-865.9861277	0.1160518798			
863.4261277	89	3	8	0.1519062777	0.1491855095		87.33025543	3.46191109	9.207833478	98.52265993	0.3656915508	1.111648522				0	0	0	-863.4261277	0.1491855095			
860.8661277	89	3	8	0.1833038159	0.1800380674		86.92178371	3.575397617	9.502818677	98.46498856	0.3794200939	1.155591342				0	0	0	-860.8661277	0.1800380674			
858.3061277	89	3	8	0.2126129715	0.2088453135		86.51679326	3.688126383	9.795080355	98.40696545	0.3932170028	1.19981755				0	0	0	-858.3061277	0.2088453135			
855.7461277	89	3	8	0.2400426034	0.2358118807		86.11523065	3.800116727	10.08465262	98.34858097	0.4070869763	1.24433205				0	0	0	-855.7461277	0.2358118807			
853.1861277	89	3	8	0.2657748655	0.261116242		85.71704204	3.911387893	10.37157007	98.28982548	0.4210347634	1.289139761				0	0	0	-853.1861277	0.261116242			
850.6261277	89	3	8	0.2899693371	0.2849147571		85.32217333	4.02195898	10.65586769	98.23068921	0.4350651665	1.33424562				0	0	0	-850.6261277	0.2849147571			
848.0661277	89	3	8	0.3127664114	0.3073449908		84.93057038	4.131848905	10.93758072	98.17116236	0.4491830445	1.379654591				0	0	0	-848.0661277	0.3073449908			
845.5061277	89	3	8	0.3342900908	0.3285284525		84.54217904	4.241076367	11.2167446	98.11123502	0.4633933161	1.425371667				0	0	0	-845.5061277	0.3285284525			
842.9461277	89	3	8	0.3546503088	0.3485728697		84.15694534	4.349659805	11.49339485	98.05089716	0.4777009638	1.471401878				0	0	0	-842.9461277	0.3485728697			
840.3861277	89	3	8	0.3739448684	0.3675740876		83.77481559	4.457617373	11.76756704	97.99013867	0.4921110374	1.517750296				0	0	0	-840.3861277	0.3675740876			
837.8261277	89	3	8	0.3922610688	0.3856176622		83.39573642	4.564966909	12.03929667	97.92894931	0.506628658	1.564422036				0	0	0	-837.8261277	0.3856176622			
835.2661277	89	3	8	0.4096770781	0.4027802054		83.01965494	4.671725903	12.30861916	97.86731871	0.5212590224	1.611422271				0	0	0	-835.2661277	0.4027802054			
832.7061277	89	3	8	0.4262630962	0.419130524		82.64651874	4.777911475	12.57556979	97.80523637	0.536007407	1.658756225				0	0	0	-832.7061277	0.419130524			
830.1461277	89	3	8	0.4420823452	0.4347305898		82.27627601	4.883540349	12.84018364	97.74269164	0.5508791725	1.706429191				0	0	0	-830.1461277	0.4347305898			
