T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
921.5809612	98	0	2	0	0	98	0	2	99.79207887	0	0.2079211305	0.001651133082		-0.001651133082	-921.5809612	0	10.8533953516693	
921.5609612	98	0	2	0.001840940319	0.001839643659	97.99669779	0	2.003302213	99.79172655	0	0.2082734536	0		0	-921.5609612	0.001839643659	10.8899459766912	
921.5409612	98	0	2	0.003675721898	0.003673133424	97.99339579	0	2.006604215	99.79137422	0	0.208625784	0		0	-921.5409612	0.003673133424	10.9264966083933	
921.5009612	98	0	2	0.007326932026	0.007321774368	97.98679242	0	2.013207581	99.79066953	0	0.2093304709	0		0	-921.5009612	0.007321774368	10.9999019776757	
921.4209612	98	0	2	0.01455679418	0.01454655526	97.97358823	0	2.02641177	99.78926004	0	0.2107399605	0		0	-921.4209612	0.01454655526	11.1478077967785	
921.2609612	98	0	2	0.02873293435	0.02871275607	97.94719005	0	2.052809953	99.78644061	0	0.2135593866	0		0	-921.2609612	0.02871275607	11.4479909350235	
920.9409612	98	0	2	0.05600162806	0.05596242387	97.89443441	0	2.105565589	99.78079996	0	0.2192000381	0		0	-920.9409612	0.05596242387	12.0658246671764	
920.3009612	98	0	2	0.1065733409	0.1064992064	97.7890863	0	2.210913704	99.76951142	0	0.230488582	0		0	-920.3009612	0.1064992064	13.3712768731524	
919.0209612	98	0	2	0.1943139313	0.1941804884	97.57904363	0	2.420956374	99.74690497	0	0.2530950342	0		0	-919.0209612	0.1941804884	16.2602769292919	
916.4609612	98	0	2	0.3303090208	0.3300880673	97.1615787	0	2.8384213	99.70157146	0	0.2984285444	0		0	-916.4609612	0.3300880673	22.6493092849188	
913.9009612	98	0	2	0.4308818524	0.4306013252	96.74761481	0	3.252385191	99.65607124	0	0.3439287649	0		0	-913.9009612	0.4306013252	29.7633847617544	
911.3409612	98	0	2	0.5083335454	0.5080117146	96.33715404	0	3.66284596	99.61039738	0	0.3896026227	0		0	-911.3409612	0.5080117146	37.8379255433583	
908.7809612	98	0	2	0.5698629453	0.5695124263	95.93019171	0	4.069808295	99.56454312	0	0.4354568756	0		0	-908.7809612	0.5695124263	46.8571647414828	
906.2209612	98	0	2	0.6199633895	0.6195932693	95.5267169	0	4.473283099	99.51850187	0	0.4814981304	0		0	-906.2209612	0.6195932693	56.8027448097443	
903.6609612	98	0	2	0.6615844473	0.661201498	95.12671323	0	4.87328677	99.47226716	0	0.5277328375	0		0	-903.6609612	0.661201498	67.6536868156435	
901.1009612	98	0	2	0.6967424042	0.696351817	94.73015931	0	5.269840695	99.42583269	0	0.5741673085	0		0	-901.1009612	0.696351817	79.3864045972133	
898.5409612	98	0	2	0.7268622732	0.7264681227	94.33702938	0	5.662970624	99.37919229	0	0.6208077133	0		0	-898.5409612	0.7264681227	91.9747374711248	
895.9809612	98	0	2	0.7529796895	0.75258524	93.94729375	0	6.052706254	99.3323399	0	0.6676600977	0		0	-895.9809612	0.75258524	105.390022605635	
893.4209612	98	0	2	0.7758653638	0.7754732773	93.5609193	0	6.439080698	99.28526962	0	0.7147303848	0		0	-893.4209612	0.7754732773	119.601195547969	
890.8609612	98	0	2	0.7961046751	0.7957171574	93.17786992	0	6.822130076	99.23797562	0	0.7620243827	0		0	-890.8609612	0.7957171574	134.574910525613	
888.3009612	98	0	2	0.8141501976	0.813769102	92.79810689	0	7.201893107	99.19045221	0	0.8095477918	0		0	-888.3009612	0.813769102	150.275686068799	
885.7409612	98	0	2	0.8303573221	0.8299842262	92.42158925	0	7.578410748	99.14269379	0	0.8573062113	0		0	-885.7409612	0.8299842262	166.666070964877	
883.1809612	98	0	2	0.8450089981	0.8446452605	92.04827414	0	7.951725862	99.09469485	0	0.9053051453	0		0	-883.1809612	0.8446452605	183.706825480517	
880.6209612	98	0	2	0.8583332844	0.8579800879	91.67811709	0	8.32188291	99.04644999	0	0.9535500089	0		0	-880.6209612	0.8579800879	201.357119812542	
878.0609612	98	0	2	0.8705160341	0.8701744187	91.31107232	0	8.68892768	98.99795387	0	1.002046135	0		0	-878.0609612	0.8701744187	219.574742280819	
875.5009612	98	0	2	0.8817102184	0.8813811071	90.94709297	0	9.052907031	98.94920122	0	1.050798778	0		0	-875.5009612	0.8813811071	238.316312143318	
872.9409612	98	0	2	0.8920428839	0.8917271034	90.58613132	0	9.413868676	98.90018688	0	1.099813123	0		0	-872.9409612	0.8917271034	257.537505512639	
870.3809612	98	0	2	0.9016204166	0.901318713	90.22813903	0	9.771860972	98.85090571	0	1.149094286	0		0	-870.3809612	0.901318713	277.193280036756	
