T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
928.1008328	100	0	0	1	1	100	0	0							-928.1008328	1	NaN	
928.0208328	100	0	0	1	1	100	0	0							-928.0208328	1	NaN	
927.9408328	100	0	0	1	1	100	0	0							-927.9408328	1	NaN	
927.8608328	100	0	0	1	1	100	0	0							-927.8608328	1	NaN	
927.7808328	100	0	0	1	1	100	0	0							-927.7808328	1	NaN	
927.7008328	100	0	0	1	1	100	0	0							-927.7008328	1	NaN	
927.6208328	100	0	0	1	1	100	0	0							-927.6208328	1	NaN	
927.5408328	100	0	0	1	1	100	0	0							-927.5408328	1	NaN	
927.4608328	100	0	0	1	1	100	0	0							-927.4608328	1	NaN	
927.3808328	100	0	0	1	1	100	0	0							-927.3808328	1	NaN	
927.3008328	100	0	0	1	1	100	0	0							-927.3008328	1	NaN	
927.2208328	100	0	0	1	1	100	0	0							-927.2208328	1	NaN	
927.1408328	100	0	0	1	1	100	0	0							-927.1408328	1	NaN	
927.0608328	100	0	0	1	1	100	0	0							-927.0608328	1	NaN	
926.9808328	100	0	0	1	1	100	0	0							-926.9808328	1	NaN	
926.9008328	100	0	0	1	1	100	0	0							-926.9008328	1	NaN	
926.8208328	100	0	0	1	1	100	0	0							-926.8208328	1	NaN	
926.7408328	100	0	0	1	1	100	0	0							-926.7408328	1	NaN	
926.6608328	100	0	0	1	1	100	0	0							-926.6608328	1	NaN	
926.5808328	100	0	0	1	1	100	0	0							-926.5808328	1	NaN	
926.5008328	100	0	0	1	1	100	0	0							-926.5008328	1	NaN	
926.4208328	100	0	0	1	1	100	0	0							-926.4208328	1	NaN	
926.3408328	100	0	0	1	1	100	0	0							-926.3408328	1	NaN	
926.2608328	100	0	0	1	1	100	0	0							-926.2608328	1	NaN	
926.1808328	100	0	0	1	1	100	0	0							-926.1808328	1	NaN	
926.1008328	100	0	0	1	1	100	0	0							-926.1008328	1	NaN	
926.0208328	100	0	0	1	1	100	0	0							-926.0208328	1	NaN	
925.9408328	100	0	0	1	1	100	0	0							-925.9408328	1	NaN	
925.8608328	100	0	0	1	1	100	0	0							-925.8608328	1	NaN	
925.7808328	100	0	0	1	1	100	0	0							-925.7808328	1	NaN	
925.7008328	100	0	0	1	1	100	0	0							-925.7008328	1	NaN	
925.6208328	100	0	0	1	1	100	0	0							-925.6208328	1	NaN	
925.5408328	100	0	0	1	1	100	0	0							-925.5408328	1	NaN	
925.4608328	100	0	0	1	1	100	0	0							-925.4608328	1	NaN	
925.3808328	100	0	0	1	1	100	0	0							-925.3808328	1	NaN	
925.3008328	100	0	0	1	1	100	0	0							-925.3008328	1	NaN	
925.2208328	100	0	0	1	1	100	0	0							-925.2208328	1	NaN	
925.1408328	100	0	0	1	1	100	0	0							-925.1408328	1	NaN	
925.0608328	100	0	0	1	1	100	0	0							-925.0608328	1	NaN	
924.9808328	100	0	0	1	1	100	0	0							-924.9808328	1	NaN	
924.9008328	100	0	0	1	1	100	0	0							-924.9008328	1	NaN	
924.8208328	100	0	0	1	1	100	0	0							-924.8208328	1	NaN	
924.7408328	100	0	0	1	1	100	0	0							-924.7408328	1	NaN	
924.6608328	100	0	0	1	1	100	0	0							-924.6608328	1	NaN	
924.5808328	100	0	0	1	1	100	0	0							-924.5808328	1	NaN	
924.5008328	100	0	0	1	1	100	0	0							-924.5008328	1	NaN	
924.4208328	100	0	0	1	1	100	0	0							-924.4208328	1	NaN	
924.3408328	100	0	0	1	1	100	0	0							-924.3408328	1	NaN	
924.2608328	100	0	0	1	1	100	0	0							-924.2608328	1	NaN	
924.1808328	100	0	0	1	1	100	0	0							-924.1808328	1	NaN	
924.1008328	100	0	0	1	1	100	0	0							-924.1008328	1	NaN	
924.0208328	100	0	0	1	1	100	0	0							-924.0208328	1	NaN	
923.9408328	100	0	0	1	1	100	0	0							-923.9408328	1	NaN	
923.8608328	100	0	0	1	1	100	0	0							-923.8608328	1	NaN	
923.7808328	100	0	0	1	1	100	0	0							-923.7808328	1	NaN	
923.7008328	100	0	0	1	1	100	0	0							-923.7008328	1	NaN	
923.6208328	100	0	0	1	1	100	0	0							-923.6208328	1	NaN	
923.5408328	100	0	0	1	1	100	0	0							-923.5408328	1	NaN	
923.4608328	100	0	0	1	1	100	0	0							-923.4608328	1	NaN	
923.3808328	100	0	0	1	1	100	0	0							-923.3808328	1	NaN	
923.3008328	100	0	0	1	1	100	0	0							-923.3008328	1	NaN	
923.2208328	100	0	0	1	1	100	0	0							-923.2208328	1	NaN	
923.1408328	100	0	0	1	1	100	0	0							-923.1408328	1	NaN	
923.0608328	100	0	0	1	1	100	0	0							-923.0608328	1	NaN	
922.9808328	100	0	0	1	1	100	0	0							-922.9808328	1	NaN	
922.9008328	100	0	0	1	1	100	0	0							-922.9008328	1	NaN	
922.8208328	100	0	0	1	1	100	0	0							-922.8208328	1	NaN	
922.7408328	100	0	0	1	1	100	0	0							-922.7408328	1	NaN	
922.6608328	100	0	0	1	1	100	0	0							-922.6608328	1	NaN	
922.5808328	100	0	0	1	1	100	0	0							-922.5808328	1	NaN	
922.5008328	100	0	0	1	1	100	0	0							-922.5008328	1	NaN	
922.4208328	100	0	0	1	1	100	0	0							-922.4208328	1	NaN	
922.3408328	100	0	0	1	1	100	0	0							-922.3408328	1	NaN	
922.2608328	100	0	0	1	1	100	0	0							-922.2608328	1	NaN	
922.1808328	100	0	0	1	1	100	0	0							-922.1808328	1	NaN	
922.1008328	100	0	0	1	1	100	0	0							-922.1008328	1	NaN	
922.0208328	100	0	0	1	1	100	0	0							-922.0208328	1	NaN	
921.9408328	100	0	0	1	1	100	0	0							-921.9408328	1	NaN	
921.8608328	100	0	0	1	1	100	0	0							-921.8608328	1	NaN	
921.7808328	100	0	0	1	1	100	0	0							-921.7808328	1	NaN	
921.7008328	100	0	0	1	1	100	0	0							-921.7008328	1	NaN	
921.6208328	100	0	0	1	1	100	0	0							-921.6208328	1	NaN	
921.5408328	100	0	0	1	1	100	0	0							-921.5408328	1	NaN	
921.4608328	100	0	0	1	1	100	0	0							-921.4608328	1	NaN	
921.3808328	100	0	0	1	1	100	0	0							-921.3808328	1	NaN	
921.3008328	100	0	0	1	1	100	0	0							-921.3008328	1	NaN	
921.2208328	100	0	0	1	1	100	0	0							-921.2208328	1	NaN	
921.1408328	100	0	0	1	1	100	0	0							-921.1408328	1	NaN	
921.0608328	100	0	0	1	1	100	0	0							-921.0608328	1	NaN	
920.9808328	100	0	0	1	1	100	0	0							-920.9808328	1	NaN	
920.9008328	100	0	0	1	1	100	0	0							-920.9008328	1	NaN	
920.8208328	100	0	0	1	1	100	0	0							-920.8208328	1	NaN	
920.7408328	100	0	0	1	1	100	0	0							-920.7408328	1	NaN	
920.6608328	100	0	0	1	1	100	0	0							-920.6608328	1	NaN	
920.5808328	100	0	0	1	1	100	0	0							-920.5808328	1	NaN	
920.5008328	100	0	0	1	1	100	0	0							-920.5008328	1	NaN	
920.4208328	100	0	0	1	1	100	0	0							-920.4208328	1	NaN	
920.3408328	100	0	0	1	1	100	0	0							-920.3408328	1	NaN	
920.2608328	100	0	0	1	1	100	0	0							-920.2608328	1	NaN	
920.1808328	100	0	0	1	1	100	0	0							-920.1808328	1	NaN	
920.1008328	100	0	0	1	1	100	0	0							-920.1008328	1	NaN	
920.0208328	100	0	0	1	1	100	0	0							-920.0208328	1	NaN	
919.9408328	100	0	0	1	1	100	0	0							-919.9408328	1	NaN	
919.8608328	100	0	0	1	1	100	0	0							-919.8608328	1	NaN	
919.7808328	100	0	0	1	1	100	0	0							-919.7808328	1	NaN	
919.7008328	100	0	0	1	1	100	0	0							-919.7008328	1	NaN	
919.6208328	100	0	0	1	1	100	0	0							-919.6208328	1	NaN	
919.5408328	100	0	0	1	1	100	0	0							-919.5408328	1	NaN	
919.4608328	100	0	0	1	1	100	0	0							-919.4608328	1	NaN	
919.3808328	100	0	0	1	1	100	0	0							-919.3808328	1	NaN	
919.3008328	100	0	0	1	1	100	0	0							-919.3008328	1	NaN	
919.2208328	100	0	0	1	1	100	0	0							-919.2208328	1	NaN	
919.1408328	100	0	0	1	1	100	0	0							-919.1408328	1	NaN	
