T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
845.6539207	88	8	4	0.5348875372	0.5284344601	96.76268876	0.3162351457	2.921076096	78.18051705	16.61044655	5.2090364							0	0	0	-845.6539207	0.5284344601	227.172478062172	
843.0939207	88	8	4	0.5463165429	0.5394084512	96.73110069	0.3241942451	2.944705061	77.77477823	16.98934509	5.235876683							0	0	0	-843.0939207	0.5394084512	239.88112462929	
840.5339207	88	8	4	0.557167552	0.5498091012	96.70009612	0.3322304397	2.967673436	77.37470386	17.36453786	5.260758283							0	0	0	-840.5339207	0.5498091012	252.887824964143	
837.9739207	88	8	4	0.5674856863	0.559682036	96.66964591	0.3403447542	2.99000934	76.98009259	17.73612374	5.283783671							0	0	0	-837.9739207	0.559682036	266.189831288548	
835.4139207	88	8	4	0.5773113792	0.5690680959	96.63972261	0.3485380789	3.011739314	76.59075586	18.10419565	5.305048489							0	0	0	-835.4139207	0.5690680959	279.784340210903	
832.8539207	88	8	4	0.5866809801	0.578003956	96.61030037	0.3568111878	3.032888441	76.20651669	18.4688412	5.324642114							0	0	0	-832.8539207	0.578003956	293.668485511468	
830.2939207	88	8	4	0.5956272666	0.5865226504	96.5813548	0.365164753	3.053480447	75.82720862	18.83014322	5.342648159							0	0	0	-830.2939207	0.5865226504	307.839330791272	
827.7339207	88	8	4	0.6041798809	0.5946540195	96.55286284	0.3735993588	3.073537802	75.45267475	19.18818032	5.359144935							0	0	0	-827.7339207	0.5946540195	322.29385812384	
825.1739207	88	8	4	0.6123657027	0.6024250917	96.52480269	0.3821155128	3.093081798	75.08276693	19.54302722	5.374205857							0	0	0	-825.1739207	0.6024250917	337.028977561488	
822.6139207	88	8	4	0.6202091695	0.609860411	96.49715371	0.3907136558	3.112132632	74.71734498	19.8947552	5.387899819							0	0	0	-822.6139207	0.609860411	352.04150881386	
820.0539207	88	8	4	0.627732553	0.6169823201	96.46989636	0.3993941709	3.130709473	74.35627605	20.24343242	5.400291531							0	0	0	-820.0539207	0.6169823201	367.328182679401	
817.4939207	88	8	4	0.6349561978	0.6238112045	96.44301208	0.4081573906	3.148830527	73.99943401	20.58912417	5.411441824							0	0	0	-817.4939207	0.6238112045	382.885655838119	
814.9339207	88	8	4	0.6418987291	0.6303657046	96.4164833	0.4170036039	3.1665131	73.64669892	20.93189315	5.421407936							0	0	0	-814.9339207	0.6303657046	398.710493075818	
812.3739207	88	8	4	0.6485772338	0.636662901	96.39029329	0.4259330617	3.183773647	73.29795656	21.27179968	5.430243761							0	0	0	-812.3739207	0.636662901	414.694879436363	
811.0939207	88	8	4	0.6518227428	0.6397202819	96.37731968	0.430428785	3.192251538	73.12505099	21.44069392	5.43425509							0	0	0	-811.0939207	0.6397202819	422.790649586203	
810.4539207	88	8	4	0.6534226822	0.6412267793	96.3708628	0.4326845915	3.19645261	73.03895713	21.5248819	5.436160971							0	0	0	-810.4539207	0.6412267793	426.577656104768	
810.1339207	88	8	4	0.6542178507	0.6419754086	96.36764057	0.4338139245	3.198545509	72.99600451	21.56690384	5.437091655							0	0	0	-810.1339207	0.6419754086	461.970060777899	
810.1291059	88	8	4	0.654228988	0.6419858201	96.36759327	0.4338314795	3.198575251	72.99535346	21.56754334	5.437103203	62.54235303	28.42537001	9.032276954				0	0	0	-810.1291059	0.6419858201	455.903038752858	
810.1039207	88	8	4	0.6560825121	0.6426505647	96.36907139	0.4347663824	3.196162226	72.98400806	21.58237206	5.433619879	62.54235303	28.42537001	9.032276954				0	0	0	-810.1039207	0.6426505647	38.0581935379618	
810.0839207	88	8	4	0.6575437237	0.6431742205	96.37024073	0.4355084603	3.194250806	72.97501495	21.5941241	5.430860951	62.54235303	28.42537001	9.032276954				0	0	0	-810.0839207	0.6431742205	38.3292183424741	
810.0439207	88	8	4	0.6604383405	0.6442105238	96.37256767	0.4369912491	3.190441076	72.95707952	21.61755723	5.425363252	62.54235303	28.42537001	9.032276954				0	0	0	-810.0439207	0.6442105238	38.8762447620632	
809.9639207	88	8	4	0.6661185133	0.646239966	96.37717519	0.4399520228	3.182872788	72.92140022	21.66415373	5.414446053	62.54235303	28.42537001	9.032276954				0	0	0	-809.9639207	0.646239966	40.0110081754422	
809.8039207	88	8	4	0.677059814	0.6501287409	96.38620942	0.4458550727	3.167935503	72.85078843	21.75629544	5.392916128	62.54235303	28.42537001	9.032276954				0	0	0	-809.8039207	0.6501287409	42.3526304782041	
809.4839207	88	8	4	0.6974251606	0.6573063159	96.4035902	0.4575938371	3.138815967	72.71239165	21.93659973	5.351008611	62.54235303	28.42537001	9.032276954				0	0	0	-809.4839207	0.6573063159	47.2788844614638	
808.8439207	88	8	4	0.7330301058	0.6696355374	96.43584689	0.4808453407	3.083307771	72.4458211	22.28282478	5.271354126	62.54235303	28.42537001	9.032276954				0	0	0	-808.8439207	0.6696355374	58.3844041728404	
807.5639207	88	8	4	0.7891601192	0.6883939217	96.49187762	0.5267139708	2.981408407	71.94679308	22.9273208	5.125886119	62.54235303	28.42537001	9.032276954				0	0	0	-807.5639207	0.6883939217	86.0447045105851	
805.0039207	88	8	4	0.8651358546	0.7119984054	96.57809113	0.6173131199	2.804595752	71.04962714	24.07474052	4.875632341	62.54235303	28.42537001	9.032276954				0	0	0	-805.0039207	0.7119984054	156.631524350011	
802.4439207	88	8	4	0.9148141196	0.7258443575	96.63898449	0.7079574982	2.653058012	70.24686825	25.09004695	4.663084794	62.54235303	28.42537001	9.032276954				0	0	0	-802.4439207	0.7258443575	250.56846278263	
799.8839207	88	8	4	0.9501458006	0.7346074238	96.68083379	0.7997181872	2.519448023	69.51104256	26.01202033	4.476937114	62.54235303	28.42537001	9.032276954				0	0	0	-799.8839207	0.7346074238	381.415698297294	
797.3239207	88	8	4	0.9767166392	0.7404175407	96.70731901	0.8932444138	2.399436574	68.82599981	26.86344019	4.310559994	62.54235303	28.42537001	9.032276954				0	0	0	-797.3239207	0.7404175407	562.223404176977	
794.7639207	88	8	4	0.997492155	0.7443849029	96.72080099	0.9889835618	2.290215449	68.1813011	27.65902202	4.159676879	62.54235303	28.42537001	9.032276954				0	0	0	-794.7639207	0.7443849029	783.040917090342	
794.4439207	88	8	4	0.9997796738	0.7447864164	96.72165778	1.001124609	2.277217613	68.10316464	27.75508693	4.141748433	62.54235303	28.42537001	9.032276954				0	0	0	-794.4439207	0.7447864164	815.245614319056	
794.4239207	88	8	4	0.9999204981	0.7448109154	96.72170549	1.001884758	2.276409749	68.098298	27.76106771	4.140634284	62.54235303	28.42537001	9.032276954				0	0	0	-794.4239207	0.7448109154	1617.34817804278	
794.4039207	88	8	4	1	0.7448211598	96.72189621	1.002182912	2.275920881				62.54235303	28.42537001	9.032276954							-794.4039207	0.7448211598	-5371.81383674536	
794.3939207	88	8	4	1	0.7448170471	96.72208491	1.002031501	2.275883591				62.54235303	28.42537001	9.032276954							-794.3939207	0.7448170471	-2431.83781388846	
794.3739207	88	8	4	1	0.7448088252	96.72246222	1.001728776	2.275809007				62.54235303	28.42537001	9.032276954							-794.3739207	0.7448088252	-2432.77937190764	
794.3339207	88	8	4	1	0.7447923865	96.72321663	1.001123493	2.275659881				62.54235303	28.42537001	9.032276954							-794.3339207	0.7447923865	-2433.78128721115	
794.2539207	88	8	4	1	0.7447595293	96.72472461	0.9999135959	2.275361794				62.54235303	28.42537001	9.032276954							-794.2539207	0.7447595293	-2435.78700788016	
794.0939207	88	8	4	1	0.7446938964	96.72773724	0.9974964803	2.274766279				62.54235303	28.42537001	9.032276954							-794.0939207	0.7446938964	-2439.824509828	
793.7739207	88	8	4	1	0.744562956	96.73374915	0.9926729635	2.273577886				62.54235303	28.42537001	9.032276954							-793.7739207	0.744562956	-2447.93873528321	
793.1339207	88	8	4	1	0.7443023756	96.74571954	0.9830688062	2.271211651				62.54235303	28.42537001	9.032276954							-793.1339207	0.7443023756	-2464.35305140915	
791.8539207	88	8	4	1	0.7437864093	96.76944652	0.9640319743	2.266521501				62.54235303	28.42537001	9.032276954							-791.8539207	0.7437864093	-2497.93827098275	
789.2939207	88	8	4	1	0.742775176	96.81604417	0.9266454039	2.257310426				62.54235303	28.42537001	9.032276954							-789.2939207	0.742775176	-2567.36999526584	
786.7339207	88	8	4	1	0.7417913952	96.86149873	0.8901759648	2.24832531				62.54235303	28.42537001	9.032276954							-786.7339207	0.7417913952	-2639.81282970984	
784.1739207	88	8	4	1	0.7408348785	96.90580932	0.8546243541	2.239566323				62.54235303	28.42537001	9.032276954							-784.1739207	0.7408348785	-2715.90012814045	
781.6139207	88	8	4	1	0.7399054242	96.948976	0.8199905387	2.231033457				62.54235303	28.42537001	9.032276954							-781.6139207	0.7399054242	-2795.86636277027	
779.0539207	88	8	4	1	0.7390028169	96.99099976	0.7862737275	2.222726516				62.54235303	28.42537001	9.032276954							-779.0539207	0.7390028169	-2879.96218127152	
776.4939207	88	8	4	1	0.7381268266	97.03188254	0.7534723471	2.214645114				62.54235303	28.42537001	9.032276954							-776.4939207	0.7381268266	-2968.45635007419	
773.9339207	88	8	4	1	0.7372772088	97.07162732	0.7215840195	2.206788664				62.54235303	28.42537001	9.032276954							-773.9339207	0.7372772088	-3061.63676153867	
771.3739207	88	8	4	1	0.7364537036	97.11023808	0.6906055431	2.199156378				62.54235303	28.42537001	9.032276954							-771.3739207	0.7364537036	-3159.81101711371	
768.8139207	88	8	4	1	0.7356560354	97.14771986	0.6605328764	2.19174726				62.54235303	28.42537001	9.032276954							-768.8139207	0.7356560354	-3263.30967514766	
766.2539207	88	8	4	1	0.7348839131	97.18407877	0.6313611256	2.184560103				62.54235303	28.42537001	9.032276954							-766.2539207	0.7348839131	-3372.48680221377	
763.6939207	88	8	4	1	0.7341370294	97.21932197	0.6030845357	2.177593491				62.54235303	28.42537001	9.032276954							-763.6939207	0.7341370294	-3487.72181669249	
761.1339207	88	8	4	1	0.7334150611	97.25345772	0.5756964858	2.170845792				62.54235303	28.42537001	9.032276954							-761.1339207	0.7334150611	-3609.42194418217	
758.5739207	88	8	4	1	0.7327176689	97.28649535	0.5491894884	2.164315162				62.54235303	28.42537001	9.032276954							-758.5739207	0.7327176689	-3738.02383218548	
756.0139207	88	8	4	1	0.7320444976	97.31844527	0.523555193	2.157999542				62.54235303	28.42537001	9.032276954							-756.0139207	0.7320444976	-3873.99629769079	
753.4539207	88	8	4	1	0.7313951763	97.34931894	0.498784394	2.151896665				62.54235303	28.42537001	9.032276954							-753.4539207	0.7313951763	-4017.84263310704	
750.8939207	88	8	4	1	0.7307693187	97.3791289	0.4748670435	2.146004055				62.54235303	28.42537001	9.032276954							-750.8939207	0.7307693187	-4170.10333541524	
748.3339207	88	8	4	1	0.7301665235	97.4078887	0.4517922678	2.140319034				62.54235303	28.42537001	9.032276954							-748.3339207	0.7301665235	-4331.35947446931	
745.7739207	88	8	4	1	0.729586375	97.43561289	0.4295483889	2.134838724				62.54235303	28.42537001	9.032276954							-745.7739207	0.729586375	-4502.23433893516	
743.2139207	88	8	4	1	0.7290284433	97.46231699	0.40812295	2.129560057				62.54235303	28.42537001	9.032276954							-743.2139207	0.7290284433	-4683.39960115189	
740.6539207	88	8	4	1	0.7284922857	97.48801748	0.3875027454	2.124479777				62.54235303	28.42537001	9.032276954							-740.6539207	0.7284922857	-4875.57760660862	
738.0939207	88	8	4	1	0.7279774468	97.51273169	0.3676738539	2.119594457				62.54235303	28.42537001	9.032276954							-738.0939207	0.7279774468	-5079.54402634841	
735.5339207	88	8	4	1	0.7274834596	97.53647782	0.3486216764	2.114900499				62.54235303	28.42537001	9.032276954							-735.5339207	0.7274834596	-5296.13470827181	
732.9739207	88	8	4	1	0.7270098464	97.55927487	0.3303309766	2.110394149				62.54235303	28.42537001	9.032276954							-732.9739207	0.7270098464	-5526.24973536167	
730.4139207	88	8	4	1	0.7265561198	97.58114257	0.312785925	2.106071507				62.54235303	28.42537001	9.032276954							-730.4139207	0.7265561198	-5770.85999261532	
727.8539207	88	8	4	1	0.7261217839	97.60210132	0.2959701455	2.101928539				62.54235303	28.42537001	9.032276954							-727.8539207	0.7261217839	-6031.01102497167	
725.2939207	88	8	4	1	0.7257063351	97.62217215	0.279866764	2.097961087				62.54235303	28.42537001	9.032276954							-725.2939207	0.7257063351	-6307.82882429528	
