T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
857.4729081	80	15	5	0	0	96.94395016	0.2901198704	2.76592997	80	15	5										0.00157768276	-0.001369675676	-0.0002080070838	-857.4729081	0	107.310232982575	
857.4529081	80	15	5	0.0001898174209	0.0001862712893	96.94362232	0.2901607289	2.766216952	79.99684527	15.0027386	5.000416138										0	0	0	-857.4529081	0.0001862712893	107.430321777686	
857.4329081	80	15	5	0.0003794257291	0.0003723345914	96.94329466	0.2902016524	2.766503685	79.99368993	15.00547828	5.000831788										0	0	0	-857.4329081	0.0003723345914	107.510955153888	
857.3929081	80	15	5	0.0007584324197	0.0007442468708	96.94263927	0.290283408	2.767077319	79.98738195	15.01095497	5.001663074										0	0	0	-857.3929081	0.0007442468708	107.596965317686	
857.3129081	80	15	5	0.001515536072	0.001487145472	96.94132895	0.2904468857	2.768224167	79.97477166	15.02190446	5.00332388										0	0	0	-857.3129081	0.001487145472	107.784066100162	
857.1529081	80	15	5	0.003025772912	0.00296891408	96.93870997	0.2907736617	2.770516364	79.94957428	15.04378701	5.006638705										0	0	0	-857.1529081	0.00296891408	108.175100375822	
856.8329081	80	15	5	0.006030481256	0.005916455941	96.93347874	0.2914265041	2.775094759	79.89927177	15.08748692	5.013241307										0	0	0	-856.8329081	0.005916455941	109.022051016168	
856.1929081	80	15	5	0.01196769451	0.01173861975	96.92305241	0.2927328397	2.784214751	79.7989865	15.17469427	5.026319224										0	0	0	-856.1929081	0.01173861975	110.754746430159	
854.9129081	80	15	5	0.02359116819	0.02312870272	96.90231434	0.2953379939	2.802347669	79.59981123	15.3481564	5.052032363										0	0	0	-854.9129081	0.02312870272	114.111706544848	
