T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
813.5433003	81	14	5	0.3197447715	0.3104127775	96.25332358	0.3576957536	3.388980667	74.13381048	20.14100112	5.7251884										0	0	0	-813.5433003	0.3104127775	245.368608408137	
812.2633003	81	14	5	0.3251873303	0.3155833287	96.23672384	0.360187913	3.403088248	73.9743715	20.28929535	5.736333149										0	0	0	-812.2633003	0.3155833287	249.701351928956	
812.1033003	81	14	5	0.3258614247	0.3162234133	96.23465555	0.3604994696	3.404844979	73.95450071	20.30779452	5.737704765										0	0	0	-812.1033003	0.3162234133	250.677976830883	
812.0633003	81	14	5	0.3260293807	0.3163828679	96.23413913	0.3605775173	3.405283355	73.9495333	20.31242057	5.738046128										0	0	0	-812.0633003	0.3163828679	250.697769511234	
812.0433003	81	14	5	0.3261134342	0.3164626703	96.23388082	0.3606164899	3.405502695	73.94705048	20.31473256	5.73821696										0	0	0	-812.0433003	0.3164626703	250.650280325006	
812.0274619	81	14	5	0.3261799837	0.3165258533	96.23367626	0.3606473506	3.405676386	73.94508446	20.31656334	5.738352204	62.54235303	28.42537001	9.032276954							0	0	0	-812.0274619	0.3165258533	235.646874596418	
812.0133003	81	14	5	0.3285291351	0.3174523205	96.23488353	0.3612208871	3.403895579	73.93711893	20.32713877	5.735742303	62.54235303	28.42537001	9.032276954							0	0	0	-812.0133003	0.3174523205	15.3501600553254	
811.9933003	81	14	5	0.3318147645	0.318747621	96.23658152	0.3620303688	3.401388107	73.92588889	20.3420438	5.732067313	62.54235303	28.42537001	9.032276954							0	0	0	-811.9933003	0.318747621	15.5220042521343	
811.9533003	81	14	5	0.3382885568	0.3212982139	96.23995397	0.3636455298	3.3964005	73.90353851	20.37170143	5.724760061	62.54235303	28.42537001	9.032276954							0	0	0	-811.9533003	0.3212982139	15.8529976160887	
811.8733003	81	14	5	0.3508512501	0.3262416129	96.24660621	0.3668626099	3.386531179	73.85923469	20.43045648	5.710308835	62.54235303	28.42537001	9.032276954							0	0	0	-811.8733003	0.3262416129	16.5472608866172	
811.7133003	81	14	5	0.3745291698	0.3355271449	96.25955554	0.3732464536	3.36719801	73.77214884	20.54581972	5.682031442	62.54235303	28.42537001	9.032276954							0	0	0	-811.7133003	0.3355271449	17.990891529893	
811.3933003	81	14	5	0.4169314151	0.3520693574	96.28414629	0.3858343292	3.330019381	73.60355448	20.76867773	5.627767783	62.54235303	28.42537001	9.032276954							0	0	0	-811.3933003	0.3520693574	21.0700514281496	
810.7533003	81	14	5	0.4864183369	0.3788843365	96.32881983	0.4104231528	3.260757018	73.28546458	21.18746151	5.527073908	62.54235303	28.42537001	9.032276954							0	0	0	-810.7533003	0.3788843365	28.0863598691485	
809.4733003	81	14	5	0.5860747626	0.41652216	96.40415193	0.457981962	3.137866109	72.70786069	21.94249626	5.349643045	62.54235303	28.42537001	9.032276954							0	0	0	-809.4733003	0.41652216	45.5326461617431	
806.9133003	81	14	5	0.7062925672	0.4600213696	96.51670524	0.5498229435	2.933471813	71.70756993	23.23465196	5.057778112	62.54235303	28.42537001	9.032276954							0	0	0	-806.9133003	0.4600213696	88.218640567874	
804.3533003	81	14	5	0.7781192481	0.4844669847	96.59565336	0.6402926572	2.764053988	70.83803244	24.34336215	4.818605406	62.54235303	28.42537001	9.032276954							0	0	0	-804.3533003	0.4844669847	141.245689918507	
801.7933003	81	14	5	0.8267388829	0.5000295556	96.65124872	0.7311422897	2.617608991	70.05428716	25.33212187	4.613590968	62.54235303	28.42537001	9.032276954							0	0	0	-801.7933003	0.5000295556	209.075573951166	
799.2333003	81	14	5	0.8622227362	0.5107108355	96.68891067	0.8233006526	2.487788678	69.33261008	26.23441238	4.432977534	62.54235303	28.42537001	9.032276954							0	0	0	-799.2333003	0.5107108355	293.399290876479	
796.6733003	81	14	5	0.8894328516	0.5184178248	96.71190402	0.9173519312	2.370744046	68.6586546	27.07046628	4.270879123	62.54235303	28.42537001	9.032276954							0	0	0	-796.6733003	0.5184178248	395.777538230375	
794.1133003	81	14	5	0.9110673628	0.5241910272	96.72235929	1.013711047	2.263929667	68.02296513	27.85360979	4.123425082	62.54235303	28.42537001	9.032276954							0	0	0	-794.1133003	0.5241910272	517.446495667631	
791.5533003	81	14	5	0.928748936	0.5286465282	96.72174056	1.112704208	2.16555523	67.4189148	28.59317546	3.987909743	62.54235303	28.42537001	9.032276954							0	0	0	-791.5533003	0.5286465282	659.005521980308	
788.9933003	81	14	5	0.9435186976	0.5321734599	96.71108733	1.214609726	2.074302941	66.84164462	29.29600043	3.862354949	62.54235303	28.42537001	9.032276954							0	0	0	-788.9933003	0.5321734599	815.469512475722	
787.7133003	81	14	5	0.9500407195	0.5336730325	96.70224127	1.266734443	2.03102429	66.56186427	29.63530518	3.802830542	62.54235303	28.42537001	9.032276954							0	0	0	-787.7133003	0.5336730325	899.328596693661	
787.0733003	81	14	5	0.9531148519	0.5343682762	96.6969721	1.293103742	2.009924162	66.42401111	29.80217811	3.773810786	62.54235303	28.42537001	9.032276954							0	0	0	-787.0733003	0.5343682762	944.717133024381	
786.9133003	81	14	5	0.9538675679	0.5345365962	96.69556849	1.299728003	2.004703511	66.38975613	29.84361322	3.76663065	62.54235303	28.42537001	9.032276954							0	0	0	-786.9133003	0.5345365962	955.572472276328	
786.8333003	81	14	5	0.9542405	0.5346200988	96.69485364	1.303045258	2.002101097	66.37265781	29.86429079	3.763051396	62.54235303	28.42537001	9.032276954							0	0	0	-786.8333003	0.5346200988	960.865291826116	
