T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
844.8855639	85	14	1	0.5568626781	0.5258015885	97.28462261	2.138871685	0.5765057081	71.37846695	27.15195257	1.469580479							0	0	0	-844.8855639	0.5258015885	243.100345749848	
842.3255639	85	14	1	0.5675575644	0.5360525974	97.22018694	2.20086012	0.5789529381	70.88052349	27.63299103	1.486485474							0	0	0	-842.3255639	0.5360525974	256.818768576316	
839.7655639	85	14	1	0.5776772707	0.5457666842	97.15520893	2.263334983	0.5814560912	70.39531092	28.10180306	1.502886019							0	0	0	-839.7655639	0.5457666842	270.679158269727	
837.2055639	85	14	1	0.5872741529	0.5549930788	97.08965322	2.326335056	0.5840117287	69.92225843	28.55893876	1.518802811							0	0	0	-837.2055639	0.5549930788	284.650459691566	
834.6455639	85	14	1	0.5963947067	0.563775531	97.0234839	2.38989935	0.586616747	69.4608233	29.00492064	1.534256059							0	0	0	-834.6455639	0.563775531	298.701340915179	
832.0855639	85	14	1	0.6050803548	0.5721530465	96.95666443	2.454067212	0.5892683535	69.0104904	29.44024417	1.549265433							0	0	0	-832.0855639	0.5721530465	312.800237177679	
829.5255639	85	14	1	0.6133681142	0.5801605115	96.88915753	2.518878426	0.5919640428	68.57077154	29.86537843	1.563850031							0	0	0	-829.5255639	0.5801605115	326.915423633535	
826.9655639	85	14	1	0.6212911638	0.5878292233	96.8209251	2.584373329	0.5947015759	68.14120464	30.280767	1.578028363							0	0	0	-826.9655639	0.5878292233	341.014875297691	
824.4055639	85	14	1	0.6288793373	0.5951873524	96.75192812	2.650592919	0.5974789587	67.72135226	30.68682937	1.591818365							0	0	0	-824.4055639	0.5951873524	355.066530308603	
821.8455639	85	14	1	0.6361595286	0.6022603213	96.68212659	2.717578983	0.6002944254	67.31080124	31.08396137	1.605237381							0	0	0	-821.8455639	0.6022603213	369.038259604634	
819.2855639	85	14	1	0.6431560576	0.6090711482	96.61147937	2.785374211	0.603146421	66.90916107	31.47253674	1.618302195							0	0	0	-819.2855639	0.6090711482	382.897702859093	
816.7255639	85	14	1	0.6498909776	0.615640735	96.53994408	2.854022332	0.6060335867	66.51606283	31.85290812	1.631029056							0	0	0	-816.7255639	0.615640735	396.612463363272	
814.1655639	85	14	1	0.656384343	0.6219881179	96.46747701	2.923568246	0.6089547468	66.13115812	32.22540818	1.643433701							0	0	0	-814.1655639	0.6219881179	410.150061245454	
811.6055639	85	14	1	0.6626544415	0.6281306864	96.39403294	2.994058161	0.6119088971	65.75411792	32.5903507	1.655531386							0	0	0	-811.6055639	0.6281306864	423.477959330007	
809.0455639	85	14	1	0.6687179965	0.6340843729	96.31956506	3.065539741	0.6148951947	65.38463152	32.94803156	1.66733692							0	0	0	-809.0455639	0.6340843729	436.563599161249	
806.4855639	85	14	1	0.6745903443	0.6398638193	96.24402479	3.13806226	0.6179129495	65.0224055	33.29872979	1.678864705							0	0	0	-806.4855639	0.6398638193	449.374390916779	
803.9255639	85	14	1	0.6802855888	0.6454825234	96.16736162	3.211676761	0.6209616168	64.66716276	33.64270847	1.690128768							0	0	0	-803.9255639	0.6454825234	461.877756921134	
801.3655639	85	14	1	0.6858167379	0.6509529672	96.08952298	3.286436226	0.6240407914	64.31864156	33.98021563	1.701142803							0	0	0	-801.3655639	0.6509529672	474.041160128951	
798.8055639	85	14	1	0.6911958244	0.6562867309	96.01045404	3.362395758	0.6271502027	63.97659471	34.31148508	1.711920211							0	0	0	-798.8055639	0.6562867309	485.832124170679	
796.2455639	85	14	1	0.6964340118	0.6614945938	95.93009751	3.439612774	0.6302897114	63.6407887	34.63673716	1.722474139							0	0	0	-796.2455639	0.6614945938	497.21828595275	
793.6855639	85	14	1	0.7015416899	0.6665866241	95.84839349	3.518147203	0.6334593068	63.31100294	34.95617953	1.732817524							0	0	0	-793.6855639	0.6665866241	508.167425290539	
791.1255639	85	14	1	0.7065285586	0.6715722596	95.76527918	3.598061711	0.6366591059	62.98702911	35.27000776	1.742963135							0	0	0	-791.1255639	0.6715722596	518.647514089879	
788.5655639	85	14	1	0.711403704	0.6764603799	95.68068872	3.67942193	0.6398893533	62.6686704	35.57840598	1.752923615							0	0	0	-788.5655639	0.6764603799	528.626767930395	
786.0055639	85	14	1	0.7161756667	0.681259372	95.59455286	3.762296714	0.6431504221	62.35574101	35.88154746	1.762711531							0	0	0	-786.0055639	0.681259372	537.276832645189	
785.9255639	85	14	1	0.7163234457	0.6814082381	95.59183587	3.764911139	0.6432529941	62.34604798	35.89093696	1.763015063							0	0	0	-785.9255639	0.6814082381	538.288367079071	
785.8855639	85	14	1	0.716397156	0.6814824863	95.59047654	3.766219261	0.6433041988	62.34120314	35.89563026	1.763166597							0	0	0	-785.8855639	0.6814824863	548.334997370002	
785.8849981	85	14	1	0.7163981812	0.6814835179	95.5904573	3.766237786	0.6433049181	62.3411346	35.89569667	1.763168731	43.66113616	54.84131265	1.497551188				0	0	0	-785.8849981	0.6814835179	548.108962518274	
785.8555639	85	14	1	0.7202792319	0.6830009471	95.59461636	3.760142398	0.6452412442	62.34356831	35.88961801	1.76681368	43.66113616	54.84131265	1.497551188				0	0	0	-785.8555639	0.6830009471	19.5235424935853	
785.8355639	85	14	1	0.7228886491	0.6840209221	95.59742523	3.756020218	0.6465545481	62.34521462	35.88550222	1.769283159	43.66113616	54.84131265	1.497551188				0	0	0	-785.8355639	0.6840209221	19.6947675655332	
785.7955639	85	14	1	0.7280418232	0.6860344715	95.60300185	3.747822779	0.6491753734	62.34848948	35.87730575	1.774204773	43.66113616	54.84131265	1.497551188				0	0	0	-785.7955639	0.6860344715	20.0635815940571	
785.7155639	85	14	1	0.7380662603	0.6899467186	95.61399409	3.73161146	0.6543944536	62.3549697	35.86105019	1.78398011	43.66113616	54.84131265	1.497551188				0	0	0	-785.7155639	0.6899467186	20.8163241571657	
785.5555639	85	14	1	0.7571479985	0.6973832875	95.63536205	3.699891002	0.6647469509	62.36766619	35.82906291	1.803270901	43.66113616	54.84131265	1.497551188				0	0	0	-785.5555639	0.6973832875	22.298649917364	
785.2355639	85	14	1	0.7918715429	0.7108741562	95.67582506	3.639034646	0.68514029	62.39209334	35.76701294	1.840893715	43.66113616	54.84131265	1.497551188				0	0	0	-785.2355639	0.7108741562	25.4040554651327	
784.5955639	85	14	1	0.8505525986	0.7335418085	95.74892125	3.526195466	0.7248832794	62.43767463	35.64949113	1.912834236	43.66113616	54.84131265	1.497551188				0	0	0	-784.5955639	0.7335418085	31.9959590150668	
783.3155639	85	14	1	0.9394886855	0.7675484905	95.87087817	3.327791374	0.801330452	62.51902808	35.43448433	2.046487597	43.66113616	54.84131265	1.497551188				0	0	0	-783.3155639	0.7675484905	45.0726768558933	
782.6755639	85	14	1	0.9746936373	0.7808852259	95.92249049	3.239036055	0.8384734598	62.55605877	35.33457052	2.109370715	43.66113616	54.84131265	1.497551188				0	0	0	-782.6755639	0.7808852259	51.5282280812376	
782.3555639	85	14	1	0.9906554616	0.7869085043	95.94637743	3.196781142	0.8568414268	62.57385264	35.2861405	2.140006854	43.66113616	54.84131265	1.497551188				0	0	0	-782.3555639	0.7869085043	54.8900212134363	
782.1955639	85	14	1	0.9982774948	0.7897794762	95.95788176	3.176137153	0.8659810911	62.58258749	35.26227119	2.15514132	43.66113616	54.84131265	1.497551188				0	0	0	-782.1955639	0.7897794762	56.5936460907167	
782.1755639	85	14	1	0.9992145704	0.7901322116	95.95929997	3.173578437	0.8671215931	62.58367211	35.25930304	2.157024852	43.66113616	54.84131265	1.497551188				0	0	0	-782.1755639	0.7901322116	62.8791831454538	
782.1555639	85	14	1	1	0.7904262017	95.96059655	3.171324299	0.8680791477				43.66113616	54.84131265	1.497551188							-782.1555639	0.7904262017	-1998.17664182555	
782.1455639	85	14	1	1	0.7904211058	95.96093374	3.170991158	0.8680750972				43.66113616	54.84131265	1.497551188							-782.1455639	0.7904211058	-1962.45819400825	
782.1255639	85	14	1	1	0.7904109155	95.96160801	3.170325005	0.8680669815				43.66113616	54.84131265	1.497551188							-782.1255639	0.7904109155	-1962.87237102108	
782.0855639	85	14	1	1	0.7903905418	95.96295615	3.168993091	0.8680507554				43.66113616	54.84131265	1.497551188							-782.0855639	0.7903905418	-1963.74957345593	
782.0055639	85	14	1	1	0.7903498214	95.96565084	3.166330837	0.8680183223				43.66113616	54.84131265	1.497551188							-782.0055639	0.7903498214	-1965.49568017962	
781.8455639	85	14	1	1	0.7902684896	95.97103385	3.161012616	0.8679535326				43.66113616	54.84131265	1.497551188							-781.8455639	0.7902684896	-1969.00638420152	
781.5255639	85	14	1	1	0.7901062597	95.98177446	3.150401278	0.8678242585				43.66113616	54.84131265	1.497551188							-781.5255639	0.7901062597	-1976.03991508648	
780.8855639	85	14	1	1	0.7897835267	96.00315447	3.1292786	0.8675669259				43.66113616	54.84131265	1.497551188							-780.8855639	0.7897835267	-1990.19172499493	
779.6055639	85	14	1	1	0.7891448989	96.04551309	3.087429802	0.8670571068				43.66113616	54.84131265	1.497551188							-779.6055639	0.7891448989	-2018.82609297743	
777.0455639	85	14	1	1	0.7878944554	96.12865075	3.005292777	0.8660564684				43.66113616	54.84131265	1.497551188							-777.0455639	0.7878944554	-2076.94991077235	
774.4855639	85	14	1	1	0.7866787662	96.20973111	2.925188297	0.8650805917				43.66113616	54.84131265	1.497551188							-774.4855639	0.7866787662	-2136.15554970959	
771.9255639	85	14	1	1	0.7854966843	96.28881068	2.84706052	0.8641287965				43.66113616	54.84131265	1.497551188							-771.9255639	0.7854966843	-2196.7224263346	
769.3655639	85	14	1	1	0.7843471146	96.36594385	2.770855717	0.863200428				43.66113616	54.84131265	1.497551188							-769.3655639	0.7843471146	-2258.68981017063	
766.8055639	85	14	1	1	0.7832290104	96.44118298	2.696522166	0.8622948561				43.66113616	54.84131265	1.497551188							-766.8055639	0.7832290104	-2322.098430624	
764.2455639	85	14	1	1	0.782141371	96.51457848	2.624010046	0.8614114738				43.66113616	54.84131265	1.497551188							-764.2455639	0.782141371	-2386.99064663992	
761.6855639	85	14	1	1	0.7810832388	96.58617896	2.553271348	0.8605496964				43.66113616	54.84131265	1.497551188							-761.6855639	0.7810832388	-2453.41016105849	
759.1255639	85	14	1	1	0.7800536969	96.65603126	2.484259781	0.8597089598				43.66113616	54.84131265	1.497551188							-759.1255639	0.7800536969	-2521.402694975	
756.5655639	85	14	1	1	0.7790518671	96.72418059	2.416930687	0.85888872				43.66113616	54.84131265	1.497551188							-756.5655639	0.7790518671	-2591.01568879126	
754.0055639	85	14	1	1	0.7780769075	96.79067058	2.351240969	0.858088452				43.66113616	54.84131265	1.497551188							-754.0055639	0.7780769075	-2662.29845884637	
751.4455639	85	14	1	1	0.7771280108	96.85554334	2.287149007	0.8573076487				43.66113616	54.84131265	1.497551188							-751.4455639	0.7771280108	-2735.30193688086	
748.8855639	85	14	1	1	0.776204402	96.91883959	2.224614594	0.8565458203				43.66113616	54.84131265	1.497551188							-748.8855639	0.776204402	-2810.07919888431	
746.3255639	85	14	1	1	0.7753053372	96.98059864	2.163598867	0.8558024934				43.66113616	54.84131265	1.497551188							-746.3255639	0.7753053372	-2886.68589159175	
743.7655639	85	14	1	1	0.7744301018	97.04085854	2.104064247	0.8550772101				43.66113616	54.84131265	1.497551188							-743.7655639	0.7744301018	-2965.17912170407	
741.2055639	85	14	1	1	0.7735780087	97.09965609	2.045974378	0.8543695276				43.66113616	54.84131265	1.497551188							-741.2055639	0.7735780087	-3045.61851379921	
738.6455639	85	14	1	1	0.7727483973	97.15702691	1.989294072	0.8536790172				43.66113616	54.84131265	1.497551188							-738.6455639	0.7727483973	-3128.06628025211	
736.0855639	85	14	1	1	0.7719406319	97.21300548	1.933989257	0.8530052637				43.66113616	54.84131265	1.497551188							-736.0855639	0.7719406319	-3212.58654043846	
733.5255639	85	14	1	1	0.7711541004	97.26762521	1.880026925	0.8523478651				43.66113616	54.84131265	1.497551188							-733.5255639	0.7711541004	-3299.24666181202	
730.9655639	85	14	1	1	0.7703882135	97.32091848	1.827375089	0.8517064317				43.66113616	54.84131265	1.497551188							-730.9655639	0.7703882135	-3388.11665163536	
728.4055639	85	14	1	1	0.7696424032	97.37291668	1.776002736	0.8510805856				43.66113616	54.84131265	1.497551188							-728.4055639	0.7696424032	-3478.85870323002	
727.1255639	85	14	1	1	0.7692768536	97.39843968	1.750786939	0.8507733797				43.66113616	54.84131265	1.497551188							-727.1255639	0.7692768536	-3525.01950912113	
726.9655639	85	14	1	1	0.7692315012	97.40160801	1.747656732	0.8507352589				43.66113616	54.84131265	1.497551188							-726.9655639	0.7692315012	-3530.79409101648	
726.9255639	85	14	1	1	0.7692201746	97.40239933	1.746874935	0.8507257349				43.66113616	54.84131265	1.497551188							-726.9255639	0.7692201746	-3532.21690186289	
726.9055639	85	14	1	1	0.769214513	97.40279488	1.746484149	0.8507209742				43.66113616	54.84131265	1.497551188							-726.9055639	0.769214513	-3533.2508462716	
726.90198	85	14	1	1	0.7692134987	97.40286575	1.746414131	0.8507201212				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-726.90198	0.7692134987	-3526.61533919441	
726.8755639	85	14	1	1	0.7692058991	97.40340453	1.745988385	0.8506070884				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-726.8755639	0.7692058991	-3476.38582807333	
726.8555639	85	14	1	1	0.7692001465	97.40381238	1.745666106	0.8505215133				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-726.8555639	0.7692001465	-3476.91047391037	
726.8155639	85	14	1	1	0.7691886435	97.40462794	1.74502169	0.8503503701				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-726.8155639	0.7691886435	-3477.84279531368	
726.7355639	85	14	1	1	0.7691656472	97.40625845	1.743733434	0.8500081137				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-726.7355639	0.7691656472	-3479.8001433622	
726.5755639	85	14	1	1	0.7691196934	97.40951705	1.741159232	0.8493237214				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-726.5755639	0.7691196934	-3483.72057953788	
726.2555639	85	14	1	1	0.7690279408	97.41602452	1.736020055	0.8479554205				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-726.2555639	0.7690279408	-3491.57810669187	
725.6155639	85	14	1	1	0.7688450538	97.42900072	1.725778514	0.8452207635				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-725.6155639	0.7688450538	-3507.36141602019	
724.3355639	85	14	1	1	0.7684817395	97.45479876	1.705441926	0.839759312				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-724.3355639	0.7684817395	-3539.20799018676	
721.7755639	85	14	1	1	0.7677648439	97.50578269	1.665348794	0.8288685196				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-721.7755639	0.7677648439	-3603.63988853461	
719.2155639	85	14	1	1	0.7670607241	97.55596032	1.626017908	0.818021771				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-719.2155639	0.7670607241	-3669.01165757763	
716.6555639	85	14	1	1	0.7663691473	97.60534328	1.587436204	0.8072205152				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-716.6555639	0.7663691473	-3735.54662823731	
714.0955639	85	14	1	1	0.7656898868	97.6539429	1.549590932	0.7964661668				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-714.0955639	0.7656898868	-3803.27617767651	
711.5355639	85	14	1	1	0.7650227222	97.70177024	1.512469649	0.7857601066				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-711.5355639	0.7650227222	-3872.23407710484	
708.9755639	85	14	1	1	0.7643674392	97.74883611	1.476060203	0.775103683				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-708.9755639	0.7643674392	-3942.45554330367	
706.4155639	85	14	1	1	0.7637238294	97.79515106	1.440350727	0.7644982124				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-706.4155639	0.7637238294	-4013.97693914181	
703.8555639	85	14	1	1	0.76309169	97.8407254	1.40532962	0.75394498				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-703.8555639	0.76309169	-4086.83542214194	
701.2955639	85	14	1	1	0.7624708235	97.88556922	1.370985542	0.7434452403				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-701.2955639	0.7624708235	-4161.06848852286	
698.7355639	85	14	1	1	0.7618610373	97.92969238	1.337307404	0.7330002179				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-698.7355639	0.7618610373	-4236.71671592453	
696.1755639	85	14	1	1	0.7612621442	97.97310454	1.304284354	0.7226111077				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-696.1755639	0.7612621442	-4313.82158956944	
693.6155639	85	14	1	1	0.7606739614	98.01581515	1.27190577	0.7122790758				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-693.6155639	0.7606739614	-4392.42463062289	
691.0555639	85	14	1	1	0.7600963107	98.05783349	1.240161252	0.7020052599				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-691.0555639	0.7600963107	-4472.57002922524	
688.4955639	85	14	1	1	0.7595290183	98.09916862	1.209040613	0.6917907697				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-688.4955639	0.7595290183	-4554.30247113292	
685.9355639	85	14	1	1	0.7589719144	98.13982944	1.178533869	0.6816366875				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-685.9355639	0.7589719144	-4637.66961526812	
683.3755639	85	14	1	1	0.7584248336	98.1798247	1.148631234	0.6715440686				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-683.3755639	0.7584248336	-4722.7198522652	
680.8155639	85	14	1	1	0.757887614	98.21916295	1.119323112	0.6615139416				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-680.8155639	0.757887614	-4809.50208937228	
678.2555639	85	14	1	1	0.7573600975	98.2578526	1.090600088	0.6515473089				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-678.2555639	0.7573600975	-4898.06901851711	
675.6955639	85	14	1	1	0.7568421297	98.29590193	1.062452925	0.6416451472				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-675.6955639	0.7568421297	-4988.47363210496	
673.1355639	85	14	1	1	0.7563335594	98.33331904	1.034872553	0.6318084077				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-673.1355639	0.7563335594	-5080.77170364008	
670.5755639	85	14	1	1	0.755834239	98.37011192	1.007850067	0.6220380164				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-670.5755639	0.755834239	-5175.02109487746	
