T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1682.513055	7	9	84	0	0	3.135876546	3.729873852	93.1342496	7	9	84										-0.0002005509002	-0.0002735221152	0.0004740730154	-1682.513055	0	192.460255551075	
1682.493055	7	9	84	0.0001056853137	0.0001038602448	3.136078299	3.730206021	93.13371568	7.000401115	9.000547031	83.99905185										0	0	0	-1682.493055	0.0001038602448	192.672670690243	
1682.473055	7	9	84	0.0002112540334	0.0002076061132	3.136280033	3.730538204	93.13318176	7.000802191	9.001094056	83.99810375										0	0	0	-1682.473055	0.0002076061132	192.757374989494	
1682.433055	7	9	84	0.0004224611568	0.0004151669439	3.136683499	3.731202591	93.13211391	7.001604353	9.002188022	83.99620762										0	0	0	-1682.433055	0.0004151669439	192.750935974744	
1682.353055	7	9	84	0.0008446341215	0.0008300539386	3.137490368	3.732531469	93.12997816	7.003208596	9.00437568	83.99241572										0	0	0	-1682.353055	0.0008300539386	192.857974056476	
1682.193055	7	9	84	0.001688518799	0.001659384438	3.139103848	3.735189648	93.1257065	7.006416725	9.008749926	83.98483335										0	0	0	-1682.193055	0.001659384438	193.010831685529	
1681.873055	7	9	84	0.003374045184	0.003315880333	3.14232978	3.740507692	93.11716253	7.012831589	9.017494109	83.9696743										0	0	0	-1681.873055	0.003315880333	193.347202254611	
1681.233055	7	9	84	0.006736164267	0.006620248868	3.148777545	3.751150532	93.10007192	7.025655799	9.034965234	83.93937897										0	0	0	-1681.233055	0.006620248868	194.12914113517	
1679.953055	7	9	84	0.01341382978	0.0131838353	3.16165574	3.772463898	93.06588036	7.051280287	9.069839898	83.87887981										0	0	0	-1679.953055	0.0131838353	195.745355281372	
1677.393055	7	9	84	0.02661940646	0.02616628406	3.187346445	3.815199569	92.99745399	7.102444399	9.139313456	83.75824215										0	0	0	-1677.393055	0.02616628406	198.701761453015	
1674.833055	7	9	84	0.03962361357	0.03895403726	3.2129501	3.85808127	92.92896863	7.153501187	9.208418378	83.63808043										0	0	0	-1674.833055	0.03895403726	201.702496797335	
1672.273055	7	9	84	0.05243254335	0.05155301127	3.238468155	3.901109342	92.8604225	7.204459593	9.277152318	83.51838809										0	0	0	-1672.273055	0.05155301127	204.698623017473	
