T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1775.818631	0	7	93	0.513029265	0.5107552308	0	3.910204342	96.08979566	0	10.22565477	89.77434523								0	0	-1775.818631	0.5107552308	163.107433429916	
1773.258631	0	7	93	0.5285723197	0.5262802792	0	3.97760794	96.02239206	0	10.35774616	89.64225384								0	0	-1773.258631	0.5262802792	166.70419086518	
1770.698631	0	7	93	0.5437807936	0.5414754017	0	4.045311916	95.95468808	0	10.48922605	89.51077395								0	0	-1770.698631	0.5414754017	170.264652436419	
1768.138631	0	7	93	0.5586718545	0.5563576223	0	4.113320981	95.88667902	0	10.62010224	89.37989776								0	0	-1768.138631	0.5563576223	173.785296112679	
1765.578631	0	7	93	0.5732617167	0.5709430217	0	4.181639893	95.81836011	0	10.75038247	89.24961753								0	0	-1765.578631	0.5709430217	177.262643891241	
1763.018631	0	7	93	0.5875657112	0.5852468064	0	4.250273454	95.74972655	0	10.88007445	89.11992555								0	0	-1763.018631	0.5852468064	180.693263024402	
1760.458631	0	7	93	0.6015983497	0.5992833725	0	4.319226511	95.68077349	0	11.00918585	88.99081415								0	0	-1760.458631	0.5992833725	184.073771058241	
1757.898631	0	7	93	0.6153733831	0.6130663638	0	4.388503961	95.61149604	0	11.1377243	88.8622757								0	0	-1757.898631	0.6130663638	187.400847861846	
1755.338631	0	7	93	0.6289038554	0.6266087246	0	4.458110747	95.54188925	0	11.2656974	88.7343026								0	0	-1755.338631	0.6266087246	190.671235439149	
1752.778631	0	7	93	0.6422021534	0.6399227496	0	4.528051862	95.47194814	0	11.39311273	88.60688727								0	0	-1752.778631	0.6399227496	193.881746122439	
1750.218631	0	7	93	0.6552800523	0.6530201282	0	4.598332351	95.40166765	0	11.51997779	88.48002221								0	0	-1750.218631	0.6530201282	197.029270105122	
1747.658631	0	7	93	0.6681487572	0.6659119866	0	4.668957309	95.33104269	0	11.64630011	88.35369989								0	0	-1747.658631	0.6659119866	200.110775851717	
1745.098631	0	7	93	0.6808189425	0.6786089261	0	4.739931882	95.26006812	0	11.77208715	88.22791285								0	0	-1745.098631	0.6786089261	203.123319269564	
1742.538631	0	7	93	0.6933007872	0.6911210585	0	4.811261274	95.18873873	0	11.89734636	88.10265364								0	0	-1742.538631	0.6911210585	206.064049140188	
1739.978631	0	7	93	0.7056040083	0.7034580388	0	4.88295074	95.11704926	0	12.02208514	87.97791486								0	0	-1739.978631	0.7034580388	208.930210574847	
1737.418631	0	7	93	0.7177378915	0.7156290957	0	4.955005592	95.04499441	0	12.1463109	87.8536891								0	0	-1737.418631	0.7156290957	211.719145858812	
1734.858631	0	7	93	0.7297113193	0.7276430601	0	5.0274312	94.9725688	0	12.27003101	87.72996899								0	0	-1734.858631	0.7276430601	214.42830831561	
1732.298631	0	7	93	0.7415327976	0.7395083903	0	5.10023299	94.89976701	0	12.3932528	87.6067472								0	0	-1732.298631	0.7395083903	217.055258446848	
1729.738631	0	7	93	0.7532104803	0.7512331975	0	5.173416448	94.82658355	0	12.51598361	87.48401639								0	0	-1729.738631	0.7512331975	219.59766819862	
1727.178631	0	7	93	0.7647521918	0.7628252675	0	5.246987122	94.75301288	0	12.63823075	87.36176925								0	0	-1727.178631	0.7628252675	222.053331864991	
1724.618631	0	7	93	0.7761654488	0.7742920821	0	5.32095062	94.67904938	0	12.7600015	87.2399985								0	0	-1724.618631	0.7742920821	224.420159889957	
1722.058631	0	7	93	0.7874574795	0.7856408389	0	5.395312611	94.60468739	0	12.88130314	87.11869686								0	0	-1722.058631	0.7856408389	226.696188298354	
1719.498631	0	7	93	0.7986352426	0.7968784693	0	5.470078832	94.52992117	0	13.00214293	86.99785707								0	0	-1719.498631	0.7968784693	228.879580422618	
1716.938631	0	7	93	0.809705444	0.8080116559	0	5.545255081	94.45474492	0	13.12252812	86.87747188								0	0	-1716.938631	0.8080116559	230.968626543412	
1714.378631	0	7	93	0.8206745538	0.8190468485	0	5.620847224	94.37915278	0	13.24246596	86.75753404								0	0	-1714.378631	0.8190468485	232.96174775316	
1711.818631	0	7	93	0.8315488207	0.8299902792	0	5.696861195	94.30313881	0	13.36196365	86.63803635								0	0	-1711.818631	0.8299902792	234.857499526311	
1709.258631	0	7	93	0.8423342868	0.8408479763	0	5.773302996	94.226697	0	13.48102844	86.51897156								0	0	-1709.258631	0.8408479763	236.654570028687	
1706.698631	0	7	93	0.8530368004	0.8516257779	0	5.850178698	94.1498213	0	13.59966753	86.40033247								0	0	-1706.698631	0.8516257779	238.35178418364	
1704.138631	0	7	93	0.8636620292	0.8623293439	0	5.927494446	94.07250555	0	13.71788814	86.28211186								0	0	-1704.138631	0.8623293439	239.948100681434	
1701.578631	0	7	93	0.8742154715	0.8729641684	0	6.005256454	93.99474355	0	13.83569747	86.16430253								0	0	-1701.578631	0.8729641684	241.442613818946	
1699.018631	0	7	93	0.8847024679	0.8835355902	0	6.083471013	93.91652899	0	13.95310274	86.04689726								0	0	-1699.018631	0.8835355902	242.834559149672	
1696.458631	0	7	93	0.8951282113	0.8940488034	0	6.162144486	93.83785551	0	14.07011115	85.92988885								0	0	-1696.458631	0.8940488034	244.123302117654	
1693.898631	0	7	93	0.9054977573	0.9045088677	0	6.241283316	93.75871668	0	14.18672992	85.81327008								0	0	-1693.898631	0.9045088677	245.308347958531	
1691.338631	0	7	93	0.9158160335	0.914920717	0	6.320894021	93.67910598	0	14.30296627	85.69703373								0	0	-1691.338631	0.914920717	246.389335830081	
1688.778631	0	7	93	0.9260878482	0.9252891691	0	6.400983199	93.5990168	0	14.41882741	85.58117259								0	0	-1688.778631	0.9252891691	247.366035147367	
1686.218631	0	7	93	0.9363178991	0.9356189336	0	6.48155753	93.51844247	0	14.5343206	85.4656794								0	0	-1686.218631	0.9356189336	248.238350226298	
1683.658631	0	7	93	0.9465107815	0.9459146202	0	6.562623774	93.43737623	0	14.64945306	85.35054694								0	0	-1683.658631	0.9459146202	249.006315200791	
1681.098631	0	7	93	0.9566709954	0.9561807461	0	6.644188775	93.35581123	0	14.76423206	85.23576794								0	0	-1681.098631	0.9561807461	249.670092700096	
1678.538631	0	7	93	0.9668029535	0.9664217435	0	6.726259463	93.27374054	0	14.87866486	85.12133514								0	0	-1678.538631	0.9664217435	250.229967007616	
1675.978631	0	7	93	0.9769109879	0.9766419667	0	6.808842853	93.19115715	0	14.99275876	85.00724124								0	0	-1675.978631	0.9766419667	250.686349759167	
1673.418631	0	7	93	0.9869993565	0.9868456983	0	6.89194605	93.10805395	0	15.10652106	84.89347894								0	0	-1673.418631	0.9868456983	251.039772571944	
1670.858631	0	7	93	0.9970722501	0.9970371561	0	6.975576246	93.02442375	0	15.21995908	84.78004092								0	0	-1670.858631	0.9970371561	250.986812685852	
1670.218631	0	7	93	0.999592511	0.9995876095	0	6.996567067	93.00343293	0	15.24826884	84.75173116								0	0	-1670.218631	0.9995876095	253.86141812919	
1670.138631	0	7	93	0.9999034563	0.9999022946	0	6.999193218	93.00080678	0	15.25180611	84.74819389								0	0	-1670.138631	0.9999022946	251.970279569281	
1670.118631	0	7	93	0.9999820647	0.9999818488	0	6.999849848	93.00015015	0	15.25269039	84.74730961								0	0	-1670.118631	0.9999818488	943.862502731671	
1670.098631	0	7	93	1	1	0	6.999999875	93.00000013													-1670.098631	1	1101.85552470027	
1670.088631	0	7	93	1	1	0	6.999999993	93.00000001													-1670.088631	1	NaN	
1670.068631	0	7	93	1	1	0	7	93													-1670.068631	1	NaN	
1670.028631	0	7	93	1	1	0	7	93													-1670.028631	1	NaN	
1669.948631	0	7	93	1	1	0	7	93													-1669.948631	1	NaN	
1669.788631	0	7	93	1	1	0	7	93													-1669.788631	1	NaN	
1669.468631	0	7	93	1	1	0	7	93													-1669.468631	1	NaN	
1668.828631	0	7	93	1	1	0	6.999999999	93													-1668.828631	1	NaN	
1667.548631	0	7	93	1	1	0	6.999999995	93													-1667.548631	1	NaN	
1664.988631	0	7	93	1	1	0	6.999999981	93.00000002													-1664.988631	1	NaN	
1662.428631	0	7	93	1	1	0	6.999999975	93.00000002													-1662.428631	1	NaN	
