T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1423.207951	12	13	75	0.1515828791	0.1481360506	5.407270221	8.867684896	85.72504488	13.14645222	13.71859476	73.13495302										0	0	0	-1423.207951	0.1481360506	333.696771094445	
1420.647951	12	13	75	0.1594091104	0.1558043047	5.416377869	8.939514145	85.64410799	13.21507021	13.74940124	73.03552856										0	0	0	-1420.647951	0.1558043047	333.972986746036	
1418.087951	12	13	75	0.167227252	0.1634666364	5.425337661	9.011673747	85.56298859	13.28475248	13.77935732	72.9358902										0	0	0	-1418.087951	0.1634666364	334.213616702814	
1415.527951	12	13	75	0.1750381284	0.1711238515	5.434153548	9.084154656	85.4816918	13.35553824	13.80843761	72.83602415										0	0	0	-1415.527951	0.1711238515	334.420263913043	
1412.967951	12	13	75	0.1828425231	0.1787767159	5.442829646	9.156947185	85.40022317	13.42746777	13.83661592	72.73591631										0	0	0	-1412.967951	0.1787767159	334.594585421087	
1410.407951	12	13	75	0.1906411769	0.1864259538	5.451370238	9.230040981	85.31858878	13.50058246	13.86386521	72.63555233										0	0	0	-1410.407951	0.1864259538	334.738341614847	
1407.847951	12	13	75	0.1984347859	0.194072246	5.459779775	9.303425016	85.23679521	13.57492483	13.89015759	72.53491758										0	0	0	-1407.847951	0.194072246	334.853399867098	
1405.287951	12	13	75	0.2062239998	0.2017162278	5.468062869	9.377087561	85.15484957	13.65053853	13.91546434	72.43399712										0	0	0	-1405.287951	0.2017162278	334.941740323623	
1402.727951	12	13	75	0.2140094196	0.2093584869	5.476224298	9.451016174	85.07275953	13.7274684	13.93975584	72.33277577										0	0	0	-1402.727951	0.2093584869	335.005446357395	
1400.167951	12	13	75	0.2217915955	0.2169995616	5.484268999	9.525197685	84.99053332	13.80576042	13.96300159	72.231238										0	0	0	-1400.167951	0.2169995616	335.046716956247	
1397.607951	12	13	75	0.2295710248	0.224639938	5.492202066	9.599618177	84.90817976	13.88546178	13.98517022	72.129368										0	0	0	-1397.607951	0.224639938	335.067861621533	
1395.047951	12	13	75	0.2373481499	0.2322800483	5.50002875	9.674262978	84.82570827	13.96662087	14.00622946	72.02714967										0	0	0	-1395.047951	0.2322800483	335.071293192781	
1392.487951	12	13	75	0.2451233554	0.2399202682	5.507754448	9.749116645	84.74312891	14.04928731	14.02614613	71.92456656										0	0	0	-1392.487951	0.2399202682	335.059536151753	
1389.927951	12	13	75	0.2528969665	0.2475609147	5.5153847	9.824162954	84.66045235	14.13351192	14.04488616	71.82160191										0	0	0	-1389.927951	0.2475609147	335.035224171081	
1387.367951	12	13	75	0.260669246	0.2552022435	5.522925184	9.899384893	84.57768992	14.21934678	14.06241457	71.71823865										0	0	0	-1387.367951	0.2552022435	335.001097915392	
1384.807951	12	13	75	0.2684403921	0.2628444468	5.530381709	9.974764653	84.49485364	14.30684517	14.07869548	71.61445934										0	0	0	-1384.807951	0.2628444468	334.96000753283	
1382.247951	12	13	75	0.2762105363	0.2704876505	5.537760201	10.05028362	84.41195617	14.39606165	14.09369211	71.51024624										0	0	0	-1382.247951	0.2704876505	334.914904570336	
1379.687951	12	13	75	0.2839797404	0.2781319123	5.5450667	10.12592239	84.32901091	14.48705198	14.10736678	71.40558124										0	0	0	-1379.687951	0.2781319123	334.868847458742	
1377.127951	12	13	75	0.2917479945	0.2857772186	5.552307346	10.20166074	84.24603191	14.57987319	14.11968095	71.30044586										0	0	0	-1377.127951	0.2857772186	334.825003135216	
1374.567951	12	13	75	0.2995152145	0.2934234825	5.559488367	10.27747765	84.16303398	14.6745835	14.1305952	71.1948213										0	0	0	-1374.567951	0.2934234825	334.786636074579	
1372.007951	12	13	75	0.3072812396	0.3010705412	5.56661607	10.3533513	84.08003264	14.77124239	14.14006924	71.08868837										0	0	0	-1372.007951	0.3010705412	334.757111122697	
