T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1791.680227	8	0	92	0.6281780147	0.623681804	5.133438275	0	94.86656173	12.75085156	0	87.24914844							0		0	-1791.680227	0.623681804	151.235641743473	
1789.120227	8	0	92	0.6448238574	0.6403467445	5.219898874	0	94.78010113	12.94987241	0	87.05012759							0		0	-1789.120227	0.6403467445	156.106393407313	
1786.560227	8	0	92	0.6609436174	0.6564961434	5.306239258	0	94.69376074	13.1482744	0	86.8517256							0		0	-1786.560227	0.6564961434	161.042908901651	
1784.000227	8	0	92	0.6765624712	0.6721546611	5.39245708	0	94.60754292	13.34605825	0	86.65394175							0		0	-1784.000227	0.6721546611	166.044747172244	
1781.440227	8	0	92	0.691703994	0.6873453886	5.478550056	0	94.52144994	13.54322465	0	86.45677535							0		0	-1781.440227	0.6873453886	171.11147087404	
1778.880227	8	0	92	0.7063902859	0.7020899715	5.564515962	0	94.43548404	13.73977424	0	86.26022576							0		0	-1778.880227	0.7020899715	176.242643720571	
1776.320227	8	0	92	0.7206420871	0.7164087223	5.650352639	0	94.34964736	13.93570762	0	86.06429238							0		0	-1776.320227	0.7164087223	181.437830230225	
1773.760227	8	0	92	0.7344788809	0.7303207224	5.736057987	0	94.26394201	14.13102534	0	85.86897466							0		0	-1773.760227	0.7303207224	186.696596021725	
1771.200227	8	0	92	0.7479189895	0.7438439147	5.821629968	0	94.17837003	14.32572793	0	85.67427207							0		0	-1771.200227	0.7438439147	192.018504129289	
1768.640227	8	0	92	0.7609796591	0.7569951885	5.907066605	0	94.09293339	14.5198159	0	85.4801841							0		0	-1768.640227	0.7569951885	197.403117390801	
1766.080227	8	0	92	0.7736771394	0.769790456	5.992365981	0	94.00763402	14.71328969	0	85.28671031							0		0	-1766.080227	0.769790456	202.849997199715	
1763.520227	8	0	92	0.7860267548	0.7822447231	6.077526235	0	93.92247376	14.90614976	0	85.09385024							0		0	-1763.520227	0.7822447231	208.358698631677	
1760.960227	8	0	92	0.7980429704	0.7943721538	6.162545571	0	93.83745443	15.09839651	0	84.90160349							0		0	-1760.960227	0.7943721538	213.92877748548	
1758.400227	8	0	92	0.8097394519	0.8061861286	6.247422246	0	93.75257775	15.29003033	0	84.70996967							0		0	-1758.400227	0.8061861286	219.559781156885	
1755.840227	8	0	92	0.8211291212	0.8176992995	6.332154578	0	93.66784542	15.48105158	0	84.51894842							0		0	-1755.840227	0.8176992995	225.251251230566	
1753.280227	8	0	92	0.8322242064	0.8289236388	6.416740941	0	93.58325906	15.67146061	0	84.32853939							0		0	-1753.280227	0.8289236388	231.002726886823	
1750.720227	8	0	92	0.843036289	0.8398704851	6.501179767	0	93.49882023	15.86125774	0	84.13874226							0		0	-1750.720227	0.8398704851	236.813736765953	
1748.160227	8	0	92	0.8535763462	0.8505505853	6.585469543	0	93.41453046	16.05044329	0	83.94955671							0		0	-1748.160227	0.8505505853	242.683801143853	
1745.600227	8	0	92	0.863854791	0.8609741333	6.669608814	0	93.33039119	16.23901754	0	83.76098246							0		0	-1745.600227	0.8609741333	248.612432236859	
1743.040227	8	0	92	0.8738815077	0.8711508056	6.753596177	0	93.24640382	16.42698079	0	83.57301921							0		0	-1743.040227	0.8711508056	254.599134299112	
1740.480227	8	0	92	0.8836658866	0.8810897942	6.837430286	0	93.16256971	16.61433329	0	83.38566671							0		0	-1740.480227	0.8810897942	260.643400089256	
1737.920227	8	0	92	0.893216854	0.8907998372	6.921109848	0	93.07889015	16.80107532	0	83.19892468							0		0	-1737.920227	0.8907998372	266.744707560533	
1735.360227	8	0	92	0.9025429019	0.9002892471	7.004633625	0	92.99536637	16.98720712	0	83.01279288							0		0	-1735.360227	0.9002892471	272.902527979618	
1732.800227	8	0	92	0.911652114	0.9095659364	7.088000431	0	92.91199957	17.17272894	0	82.82727106							0		0	-1732.800227	0.9095659364	279.116316313256	
1730.240227	8	0	92	0.9205521906	0.9186374425	7.171209131	0	92.82879087	17.35764103	0	82.64235897							0		0	-1730.240227	0.9186374425	285.385515555957	
1727.680227	8	0	92	0.9292504714	0.9275109494	7.254258644	0	92.74574136	17.54194361	0	82.45805639							0		0	-1727.680227	0.9275109494	291.70955519214	
1725.120227	8	0	92	0.9377539572	0.9361933092	7.337147939	0	92.66285206	17.72563693	0	82.27436307							0		0	-1725.120227	0.9361933092	298.087846154033	
1722.560227	8	0	92	0.9460693289	0.9446910611	7.419876036	0	92.58012396	17.90872121	0	82.09127879							0		0	-1722.560227	0.9446910611	304.519786808244	
1720.000227	8	0	92	0.9542029668	0.9530104496	7.502442005	0	92.497558	18.0911967	0	81.9088033							0		0	-1720.000227	0.9530104496	311.004758212465	
1717.440227	8	0	92	0.962160967	0.9611574412	7.584844965	0	92.41515503	18.27306362	0	81.72693638							0		0	-1717.440227	0.9611574412	317.542121104589	
1714.880227	8	0	92	0.9699491577	0.9691377403	7.667084085	0	92.33291591	18.45432222	0	81.54567778							0		0	-1714.880227	0.9691377403	324.13122382756	
1712.320227	8	0	92	0.9775731142	0.9769568033	7.749158582	0	92.25084142	18.63497274	0	81.36502726							0		0	-1712.320227	0.9769568033	330.771394360989	
1709.760227	8	0	92	0.9850381726	0.9846198528	7.831067718	0	92.16893228	18.81501541	0	81.18498459							0		0	-1709.760227	0.9846198528	337.461935029881	
1707.200227	8	0	92	0.9923494429	0.9921318901	7.912810807	0	92.08718919	18.99445051	0	81.00554949							0		0	-1707.200227	0.9921318901	344.202140114006	
1704.640227	8	0	92	0.999511821	0.9994977068	7.994387204	0	92.0056128	19.17327828	0	80.82672172							0		0	-1704.640227	0.9994977068	350.712018059305	
1704.480227	8	0	92	0.9999549705	0.9999536672	7.999480214	0	92.00051979	19.18443494	0	80.81556506							0		0	-1704.480227	0.9999536672	424.210877494934	
1704.460227	8	0	92	1	1	7.999999991	0	92.00000001													-1704.460227	1	431.659645002781	
1704.450227	8	0	92	1	1	7.99999998	0	92.00000002													-1704.450227	1	NaN	
1704.430227	8	0	92	1	1	8	0	92													-1704.430227	1	NaN	
1704.390227	8	0	92	1	1	8	0	92													-1704.390227	1	NaN	
1704.310227	8	0	92	1	1	8	0	92													-1704.310227	1	NaN	
1704.150227	8	0	92	1	1	8	0	92													-1704.150227	1	NaN	
1703.830227	8	0	92	1	1	8	0	92													-1703.830227	1	NaN	
1703.190227	8	0	92	1	1	8	0	92													-1703.190227	1	NaN	
1701.910227	8	0	92	1	1	7.999999999	0	92													-1701.910227	1	NaN	
1699.350227	8	0	92	1	1	7.999999996	0	92													-1699.350227	1	NaN	
1696.790227	8	0	92	1	1	7.999999994	0	92.00000001													-1696.790227	1	NaN	
1694.230227	8	0	92	1	1	7.999999994	0	92.00000001													-1694.230227	1	NaN	
1691.670227	8	0	92	1	1	7.999999994	0	92.00000001													-1691.670227	1	NaN	
1689.110227	8	0	92	1	1	7.999999994	0	92.00000001													-1689.110227	1	NaN	
1686.550227	8	0	92	1	1	7.999999994	0	92.00000001													-1686.550227	1	NaN	
1683.990227	8	0	92	1	1	7.999999994	0	92.00000001													-1683.990227	1	NaN	
1681.430227	8	0	92	1	1	7.999999994	0	92.00000001													-1681.430227	1	NaN	
1678.870227	8	0	92	1	1	7.999999994	0	92.00000001													-1678.870227	1	NaN	
1676.310227	8	0	92	1	1	7.999999994	0	92.00000001													-1676.310227	1	NaN	
1673.750227	8	0	92	1	1	7.999999994	0	92.00000001													-1673.750227	1	NaN	
1671.190227	8	0	92	1	1	7.999999994	0	92.00000001													-1671.190227	1	NaN	
1668.630227	8	0	92	1	1	7.999999994	0	92.00000001													-1668.630227	1	NaN	
1666.070227	8	0	92	1	1	7.999999994	0	92.00000001													-1666.070227	1	NaN	
1663.510227	8	0	92	1	1	7.999999994	0	92.00000001													-1663.510227	1	NaN	
1660.950227	8	0	92	1	1	7.999999994	0	92.00000001													-1660.950227	1	NaN	
1658.390227	8	0	92	1	1	7.999999994	0	92.00000001													-1658.390227	1	NaN	
1655.830227	8	0	92	1	1	7.999999994	0	92.00000001													-1655.830227	1	NaN	
1653.270227	8	0	92	1	1	7.999999994	0	92.00000001													-1653.270227	1	NaN	
1650.710227	8	0	92	1	1	7.999999994	0	92.00000001													-1650.710227	1	NaN	
1648.150227	8	0	92	1	1	7.999999994	0	92.00000001													-1648.150227	1	NaN	
1645.590227	8	0	92	1	1	7.999999994	0	92.00000001													-1645.590227	1	NaN	
1643.030227	8	0	92	1	1	7.999999994	0	92.00000001													-1643.030227	1	NaN	
1640.470227	8	0	92	1	1	7.999999994	0	92.00000001													-1640.470227	1	NaN	
