T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1775.478447	14	0	86	0	0	5.678548902	0	94.3214511	14	0	86							-0.0007633235087		0.0007633235087	-1775.478447	0	108.95306497751	
1775.458447	14	0	86	0.000187406141	0.000183507248	5.67921866	0	94.32078134	14.00152665	0	85.99847335							0		0	-1775.458447	0.000183507248	109.021976531279	
1775.438447	14	0	86	0.0003746932722	0.0003668985764	5.679888395	0	94.3201116	14.00305333	0	85.99694667							0		0	-1775.438447	0.0003668985764	109.066341061635	
1775.398447	14	0	86	0.0007491633752	0.0007335810827	5.681227864	0	94.31877214	14.00610667	0	85.99389333							0		0	-1775.398447	0.0007335810827	109.105399867717	
1775.318447	14	0	86	0.001497700879	0.001466559138	5.68390664	0	94.31609336	14.01221274	0	85.98778726							0		0	-1775.318447	0.001466559138	109.188703882216	
1775.158447	14	0	86	0.002992901235	0.00293070903	5.689263874	0	94.31073613	14.02442308	0	85.97557692							0		0	-1775.158447	0.00293070903	109.368488862765	
1774.838447	14	0	86	0.005975818558	0.005851798577	5.699976799	0	94.3000232	14.04883652	0	85.95116348							0		0	-1774.838447	0.005851798577	109.728648929734	
1774.198447	14	0	86	0.01191192699	0.01166533765	5.721396467	0	94.27860353	14.09763478	0	85.90236522							0		0	-1774.198447	0.01166533765	110.570622859924	
1772.918447	14	0	86	0.02362939442	0.02314271428	5.764210611	0	94.23578939	14.1951154	0	85.8048846							0		0	-1772.918447	0.02314271428	112.32117382261	
1770.358447	14	0	86	0.04657137107	0.04562192622	5.849738313	0	94.15026169	14.38961583	0	85.61038417							0		0	-1770.358447	0.04562192622	115.555645412926	
1767.798447	14	0	86	0.0688578158	0.06746843103	5.935130029	0	94.06486997	14.5835018	0	85.4164982							0		0	-1767.798447	0.06746843103	118.878194728301	
1765.238447	14	0	86	0.09051576853	0.08870829982	6.02038386	0	93.97961614	14.77677375	0	85.22322625							0		0	-1765.238447	0.08870829982	122.246442061721	
1762.678447	14	0	86	0.1115717838	0.1093671516	6.105497974	0	93.89450203	14.9694321	0	85.0305679							0		0	-1762.678447	0.1093671516	125.657559313004	
1760.118447	14	0	86	0.1320509285	0.1294691693	6.190470589	0	93.80952941	15.16147726	0	84.83852274							0		0	-1760.118447	0.1294691693	129.111412622516	
1757.558447	14	0	86	0.1519768831	0.1490371981	6.275299984	0	93.72470002	15.35290962	0	84.64709038							0		0	-1757.558447	0.1490371981	132.607874165874	
1754.998447	14	0	86	0.1713720372	0.1680928371	6.359984495	0	93.64001551	15.54372952	0	84.45627048							0		0	-1754.998447	0.1680928371	136.146816622516	
1752.438447	14	0	86	0.1902575772	0.1866565239	6.444522515	0	93.55547748	15.73393731	0	84.26606269							0		0	-1752.438447	0.1866565239	139.728110755457	
1749.878447	14	0	86	0.2086535664	0.2047476126	6.528912495	0	93.47108751	15.92353331	0	84.07646669							0		0	-1749.878447	0.2047476126	143.351627015123	
1747.318447	14	0	86	0.2265790197	0.2223844449	6.61315294	0	93.38684706	16.11251781	0	83.88748219							0		0	-1747.318447	0.2223844449	147.01723389535	
1744.758447	14	0	86	0.2440519712	0.2395844166	6.697242412	0	93.30275759	16.30089112	0	83.69910888							0		0	-1744.758447	0.2395844166	150.724798356349	
1742.198447	14	0	86	0.2610895377	0.2563640379	6.781179528	0	93.21882047	16.48865352	0	83.51134648							0		0	-1742.198447	0.2563640379	154.474185306576	
1739.638447	14	0	86	0.277707977	0.2727389901	6.864962959	0	93.13503704	16.67580525	0	83.32419475							0		0	-1739.638447	0.2727389901	158.265257877637	
1737.078447	14	0	86	0.2939227412	0.288724177	6.94859143	0	93.05140857	16.8623466	0	83.1376534							0		0	-1737.078447	0.288724177	162.097875064974	
1734.518447	14	0	86	0.3097485273	0.3043337738	7.03206372	0	92.96793628	17.0482778	0	82.9517222							0		0	-1734.518447	0.3043337738	165.971893408617	
1731.958447	14	0	86	0.3251993226	0.3195812708	7.115378659	0	92.88462134	17.2335991	0	82.7664009							0		0	-1731.958447	0.3195812708	169.887166675302	
1729.398447	14	0	86	0.340288448	0.3344795154	7.198535132	0	92.80146487	17.41831074	0	82.58168926							0		0	-1729.398447	0.3344795154	173.843542809545	
1726.838447	14	0	86	0.3550285976	0.3490407502	7.281532074	0	92.71846793	17.60241296	0	82.39758704							0		0	-1726.838447	0.3490407502	177.840867814761	
1724.278447	14	0	86	0.3694318755	0.3632766485	7.364368469	0	92.63563153	17.78590599	0	82.21409401							0		0	-1724.278447	0.3632766485	181.878982523005	
1721.718447	14	0	86	0.3835098305	0.3771983477	7.447043355	0	92.55295664	17.96879007	0	82.03120993							0		0	-1721.718447	0.3771983477	185.957721651364	
1719.158447	14	0	86	0.3972734875	0.3908164801	7.529555818	0	92.47044418	18.15106542	0	81.84893458							0		0	-1719.158447	0.3908164801	190.076915855279	
1716.598447	14	0	86	0.4107333777	0.4041412015	7.611904994	0	92.38809501	18.33273229	0	81.66726771							0		0	-1716.598447	0.4041412015	194.236388848407	
1714.038447	14	0	86	0.4238995664	0.4171822183	7.694090067	0	92.30590993	18.51379091	0	81.48620909							0		0	-1714.038447	0.4171822183	198.435960742082	
1711.478447	14	0	86	0.4367816785	0.4299488119	7.776110268	0	92.22388973	18.69424153	0	81.30575847							0		0	-1711.478447	0.4299488119	202.675444679045	
1708.918447	14	0	86	0.4493889229	0.4424498627	7.857964879	0	92.14203512	18.87408439	0	81.12591561							0		0	-1708.918447	0.4424498627	206.954643862058	
1706.358447	14	0	86	0.4617301152	0.4546938717	7.939653224	0	92.06034678	19.05331975	0	80.94668025							0		0	-1706.358447	0.4546938717	211.27335855381	
1703.798447	14	0	86	0.4738136988	0.4666889806	8.021174678	0	91.97882532	19.23194788	0	80.76805212							0		0	-1703.798447	0.4666889806	215.631380706149	
1701.238447	14	0	86	0.4856477644	0.4784429913	8.102528658	0	91.89747134	19.40996904	0	80.59003096							0		0	-1701.238447	0.4784429913	220.028493758021	
1698.678447	14	0	86	0.4972400689	0.4899633835	8.183714629	0	91.81628537	19.58738351	0	80.41261649							0		0	-1698.678447	0.4899633835	224.464473274123	
1696.118447	14	0	86	0.5085980526	0.5012573317	8.264732097	0	91.7352679	19.76419159	0	80.23580841							0		0	-1696.118447	0.5012573317	228.939087473916	
1693.558447	14	0	86	0.5197288552	0.5123317206	8.345580616	0	91.65441938	19.94039358	0	80.05960642							0		0	-1693.558447	0.5123317206	233.452094342094	
1690.998447	14	0	86	0.5306393319	0.5231931603	8.42625978	0	91.57374022	20.11598979	0	79.88401021							0		0	-1690.998447	0.5231931603	238.003243216099	
1688.438447	14	0	86	0.5413360666	0.5338479997	8.506769226	0	91.49323077	20.29098054	0	79.70901946							0		0	-1688.438447	0.5338479997	242.592275745065	
1685.878447	14	0	86	0.5518253865	0.5443023398	8.587108636	0	91.41289136	20.46536618	0	79.53463382							0		0	-1685.878447	0.5443023398	247.218923961762	
1683.318447	14	0	86	0.562113374	0.5545620457	8.667277729	0	91.33272227	20.63914707	0	79.36085293							0		0	-1683.318447	0.5545620457	251.882908180956	
1680.758447	14	0	86	0.572205879	0.5646327585	8.747276269	0	91.25272373	20.81232357	0	79.18767643							0		0	-1680.758447	0.5646327585	256.58393832514	
1678.198447	14	0	86	0.5821085302	0.5745199058	8.827104057	0	91.17289594	20.98489607	0	79.01510393							0		0	-1678.198447	0.5745199058	261.321714247676	
1675.638447	14	0	86	0.5918267454	0.5842287122	8.906760937	0	91.09323906	21.15686497	0	78.84313503							0		0	-1675.638447	0.5842287122	266.095927417066	
1673.078447	14	0	86	0.6013657417	0.5937642085	8.986246788	0	91.01375321	21.32823069	0	78.67176931							0		0	-1673.078447	0.5937642085	270.906256873331	
1670.518447	14	0	86	0.6107305447	0.6031312413	9.065561532	0	90.93443847	21.49899368	0	78.50100632							0		0	-1670.518447	0.6031312413	275.752368798437	
