T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1788.474179	13	0	87	0	0	5.241699383	0	94.75830062	13	0	87							-0.0007755577981		0.0007755577981	-1788.474179	0	99.983398406569	
1788.454179	13	0	87	0.0002039253793	0.0001999742668	5.24237416	0	94.75762584	13.00155112	0	86.99844888							0		0	-1788.454179	0.0001999742668	100.042338104663	
1788.434179	13	0	87	0.0004077300003	0.0003998307886	5.243048915	0	94.75695109	13.00310226	0	86.99689774							0		0	-1788.434179	0.0003998307886	100.082734319568	
1788.394179	13	0	87	0.0008152035279	0.0007994127676	5.244398425	0	94.75560158	13.00620455	0	86.99379545							0		0	-1788.394179	0.0007994127676	100.123964247577	
1788.314179	13	0	87	0.001629670222	0.001598113751	5.247097294	0	94.75290271	13.01240849	0	86.98759151							0		0	-1788.314179	0.001598113751	100.207294790192	
1788.154179	13	0	87	0.003256396911	0.003193384048	5.252494745	0	94.74750526	13.02481457	0	86.97518543							0		0	-1788.154179	0.003193384048	100.385946117872	
1787.834179	13	0	87	0.006501051104	0.006375424739	5.263288235	0	94.73671176	13.04961951	0	86.95038049							0		0	-1787.834179	0.006375424739	100.744012622317	
1787.194179	13	0	87	0.01295536962	0.01270570693	5.284869557	0	94.71513044	13.09920045	0	86.90079955							0		0	-1787.194179	0.01270570693	101.584103028378	
1785.914179	13	0	87	0.02568130788	0.0251891125	5.32800905	0	94.67199095	13.19824593	0	86.80175407							0		0	-1785.914179	0.0251891125	103.331682601052	
1783.354179	13	0	87	0.05055452579	0.04959629942	5.41419559	0	94.58580441	13.39587389	0	86.60412611							0		0	-1783.354179	0.04959629942	106.558287675679	
1780.794179	13	0	87	0.07466025107	0.0732608711	5.500256711	0	94.49974329	13.59288459	0	86.40711541							0		0	-1780.794179	0.0732608711	109.875936828304	
1778.234179	13	0	87	0.09803269549	0.09621590249	5.586190205	0	94.41380979	13.78927861	0	86.21072139							0		0	-1778.234179	0.09621590249	113.242728175677	
1775.674179	13	0	87	0.120705317	0.1184937585	5.671993935	0	94.32800606	13.98505657	0	86.01494343							0		0	-1775.674179	0.1184937585	116.655555905274	
1773.114179	13	0	87	0.14270955	0.140124846	5.757665817	0	94.24233418	14.180219	0	85.819781							0		0	-1773.114179	0.140124846	120.114255891016	
1770.554179	13	0	87	0.164074955	0.1611377581	5.843203826	0	94.15679617	14.37476644	0	85.62523356							0		0	-1770.554179	0.1611377581	123.618671843621	
1767.994179	13	0	87	0.1848293564	0.1815594083	5.928606002	0	94.071394	14.56869937	0	85.43130063							0		0	-1767.994179	0.1815594083	127.168648438382	
1765.434179	13	0	87	0.2049989699	0.2014151529	6.013870442	0	93.98612956	14.76201825	0	85.23798175							0		0	-1765.434179	0.2014151529	130.764031139319	
