T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
862.8750572	94	1	5	0.6314266773	0.001207328671	95.56546248	0.01878847636	4.415749042	89.26648931	2.855828462	7.877682231										0	0	0	-862.8750572	0.001207328671	-20.8652174139377	
862.8550572	94	1	5	0.6315301828	0.0003017724525	95.56483062	0.01878946787	4.416379907	89.26458928	2.85668392	7.8787268										0	0	0	-862.8550572	0.0003017724525	-59.9114059690782	
862.8450572	94	1	5	0.6315818976	0.0001507590972	95.56451474	0.01878996512	4.416695291	89.26363917	2.857111874	7.879248952										0	0	0	-862.8450572	0.0001507590972	-73.8031873957042	
862.8250572	94	1	5	0.6325277184	0.001854155575	95.56455639	0.01884236042	4.416601253	89.25688582	2.864299757	7.878814426	81.86526613	0	18.13473387							0	0	0	-862.8250572	0.001854155575	39.6769713548795	
862.8050572	94	1	5	0.6337029905	0.002282416864	95.56478639	0.01890923809	4.416304375	89.24876814	2.873266319	7.877965536	81.86526506	0	18.13473494							0	0	0	-862.8050572	0.002282416864	42.0794013266234	
862.7650572	94	1	5	0.6360338884	0.004540467875	95.56524663	0.01904316618	4.4157102	89.23253246	2.89120069	7.876266849	81.86526304	0	18.13473696							0	0	0	-862.7650572	0.004540467875	17.8649132794368	
862.6850572	94	1	5	0.640597895	0.008946095725	95.5661664	0.0193111861	4.414522413	89.20012032	2.92700589	7.872873788	81.86525881	0	18.13474119							0	0	0	-862.6850572	0.008946095725	18.405545803686	
862.5250572	94	1	5	0.6493777689	0.01742041782	95.56800424	0.0198484991	4.412147264	89.13545943	2.998443874	7.866096698	81.86525014	0	18.13474986							0	0	0	-862.5250572	0.01742041782	19.421265430654	
862.2050572	94	1	5	0.6656627194	0.03309049565	95.57167313	0.0209282149	4.407398655	89.0067855	3.140635934	7.852578567	81.86523188	0	18.13476812							0	0	0	-862.2050572	0.03309049565	21.6168107087771	
861.5650572	94	1	5	0.693926225	0.06011842324	95.57898375	0.02310804935	4.397908197	88.75198528	3.422329846	7.825684875	81.86519178	0	18.13480822							0	0	0	-861.5650572	0.06011842324	26.5607709723126	
860.2850572	94	1	5	0.737749077	0.1014520511	95.5934961	0.02754980115	4.378954101	88.25220782	3.975336302	7.772455875	81.86509684	0	18.13490316							0	0	0	-860.2850572	0.1014520511	-152.980718816434	
859.0050572	94	1	5	0.7701545579	0.08705616486	95.60786247	0.032101797	4.360035738	87.76488855	4.515161137	7.719950314	81.8649825	0	18.1350175							0	0	0	-859.0050572	0.08705616486	-104.292773029239	
857.7250572	94	1	5	0.7951000312	0.07602862232	95.62208192	0.03676516336	4.341152921	87.28930614	5.042550956	7.668142903	81.8648489	0	18.1351511							0	0	0	-857.7250572	0.07602862232	-133.381126506495	
856.4450572	94	1	5	0.8149040353	0.06732373091	95.63615353	0.04154096816	4.322305497	86.82481173	5.558177796	7.617010474	81.86469618	0	18.13530382							0	0	0	-856.4450572	0.06732373091	-166.292682086961	
855.1650572	94	1	5	0.831014264	0.06028522445	95.65007635	0.04643034776	4.303493305	86.37080771	6.062661497	7.566530796	81.86452446	0	18.13547554							0	0	0	-855.1650572	0.06028522445	-203.074436705144	
853.8850572	94	1	5	0.8443812768	0.05448203176	95.66384934	0.05143447327	4.284716182	85.92674531	6.556571904	7.516682789	81.86433388	0	18.13566612							0	0	0	-853.8850572	0.05448203176	-243.786393582276	
852.6050572	94	1	5	0.8556550355	0.04961956322	95.67747148	0.05655455026	4.265973967	85.49211932	7.040434238	7.467446445	81.86412457	0	18.13587543							0	0	0	-852.6050572	0.04961956322	-288.490744819809	
851.3250572	94	1	5	0.865295032	0.04548968495	95.69094168	0.06179181827	4.247266498	85.0664635	7.514733733	7.418802765	81.86389666	0	18.13610334							0	0	0	-851.3250572	0.04548968495	-365.372366380103	
848.7650572	94	1	5	0.880928118	0.07848873491	95.71742179	0.07262306167	4.209955147	84.24036827	8.436409684	7.323222044	81.86338556	0	18.13661444							0	0	0	-848.7650572	0.07848873491	-396.800780641127	
846.2050572	94	1	5	0.8930687622	0.06820803562	95.74328043	0.08393874143	4.172780828	83.44537345	9.324819883	7.229806667	81.86280156	0	18.13719844							0	0	0	-846.2050572	0.06820803562	-286.448174768775	
843.6450572	94	1	5	0.9027804911	0.06010558537	95.76850774	0.09575003172	4.135742229	82.67879979	10.1827656	7.138434609	81.86214567	0	18.13785433							0	0	0	-843.6450572	0.06010558537	-357.885198245886	
841.0850572	94	1	5	0.9107341953	0.05357009391	95.79309343	0.1080685233	4.098838049	81.93831842	11.01268615	7.048995433	81.86141884	0	18.13858116							0	0	0	-841.0850572	0.05357009391	-438.228397896702	
838.5250572	94	1	5	0.9173739815	0.04819728419	95.81702664	0.1209063677	4.062066988	81.22188344	11.81672838	6.961388182	81.86062201	0	18.13937799							0	0	0	-838.5250572	0.04819728419	-527.692059814068	
835.9650572	94	1	5	0.9230055725	0.04370976752	95.84029601	0.134276243	4.025427746	80.52768915	12.59679035	6.875520495	81.8597561	0	18.1402439							0	0	0	-835.9650572	0.04370976752	-626.499153506224	
833.4050572	94	1	5	0.9278463549	0.03991113116	95.86288961	0.1481913631	3.988919025	79.85413328	13.35455908	6.791307647	81.85882201	0	18.14117799							0	0	0	-833.4050572	0.03991113116	-734.871253697871	
830.8450572	94	1	5	0.9320551654	0.03665850484	95.88479498	0.1626654887	3.952539533	79.19978696	14.09154134	6.708671701	81.85782062	0	18.14217938							0	0	0	-830.8450572	0.03665850484	-853.025287334731	
828.2850572	94	1	5	0.9357507825	0.03384555561	95.90599908	0.1777129419	3.916287982	78.56337025	14.80908896	6.627540788	81.85675279	0	18.14324721							0	0	0	-828.2850572	0.03384555561	-981.174015464985	
825.7250572	94	1	5	0.9390238226	0.03139156441	95.92648829	0.1933486227	3.880163087	77.94373172	15.50841981	6.547848471	81.85561936	0	18.14438064							0	0	0	-825.7250572	0.03139156441	-1119.52647041708	
823.1650572	94	1	5	0.9419446337	0.02923419168	95.94624841	0.2095880284	3.844163566	77.33983157	16.19063523	6.469533195	81.85442114	0	18.14557886							0	0	0	-823.1650572	0.02923419168	-1268.28834859438	
820.6050572	94	1	5	0.9445686719	0.02732455751	95.96526458	0.2264472753	3.808288142	76.75072741	16.85673479	6.392537802	81.85315894	0	18.14684106							0	0	0	-820.6050572	0.02732455751	-1427.66238269167	
818.0450572	94	1	5	0.9469402527	0.02562381732	95.98352134	0.2439431236	3.772535538	76.17556223	17.50762866	6.316809107	81.85183354	0	18.14816646							0	0	0	-818.0450572	0.02562381732	-1597.84871928118	
815.4850572	94	1	5	0.949095221	0.02410072909	96.00100251	0.2620930037	3.736904482	75.61355428	18.1441482	6.242297526	81.8504457	0	18.1495543							0	0	0	-815.4850572	0.02410072909	-1508.99192453716	
814.2050572	94	1	5	0.950100817	0.0116332625	96.00944696	0.2714188529	3.719134186	75.33725849	18.45725795	6.205483563	81.8497286	0	18.1502714							0	0	0	-814.2050572	0.0116332625	-54.8148917636538	
814.0450572	94	1	5	0.950223424	0.001442295688	96.01048855	0.2725965038	3.716914948	75.30293587	18.49616202	6.200902105	81.84963785	0	18.15036215							0	0	0	-814.0450572	0.001442295688	-104.41662837323	
813.9650572	94	1	5	0.9502844695	0.0007196699376	96.01100814	0.2731863349	3.715805529	75.28579221	18.51559473	6.19861306	81.84959242	0	18.15040758							0	0	0	-813.9650572	0.0007196699376	-60.0304721106976	
813.9550572	94	1	5	0.9502921047	9.01978682E-05	96.01107293	0.2732601208	3.715666952	75.28365011	18.51802288	6.198327012	81.84958675	0	18.15041325							0	0	0	-813.9550572	9.01978682E-05	-19.4278438224581	
813.9350572	94	1	5	0.9508135524	0.004373285941	96.01393918	0.2742095348	3.711851288	75.26731363	18.5401123	6.192574073				62.54235303	28.42537001	9.032276954				0	0	0	-813.9350572	0.004373285941	35.9165885736223	
813.9150572	94	1	5	0.9513904049	0.004878322912	96.01721802	0.2752837627	3.707498218	75.24916055	18.56480162	6.186037823				62.54235303	28.42537001	9.032276954				0	0	0	-813.9150572	0.004878322912	36.5259725733813	
813.8750572	94	1	5	0.9524938643	0.009435666475	96.02366792	0.2774127768	3.698919304	75.21333098	18.61350597	6.173163049				62.54235303	28.42537001	9.032276954				0	0	0	-813.8750572	0.009435666475	9.09728842306324	
813.7950572	94	1	5	0.9545196325	0.01770171307	96.03616368	0.2815981904	3.682238127	75.14346123	18.70838423	6.148154543				62.54235303	28.42537001	9.032276954				0	0	0	-813.7950572	0.01770171307	10.3949586779925	
813.6350572	94	1	5	0.9579798722	0.03150445241	96.05971469	0.2897115756	3.650573739	75.01010158	18.88912178	6.100776645				62.54235303	28.42537001	9.032276954				0	0	0	-813.6350572	0.03150445241	13.3441965729844	
813.3150572	94	1	5	0.9632433581	0.05163109032	96.10214209	0.3051208515	3.592737056	74.76399492	19.22145534	6.014549734				62.54235303	28.42537001	9.032276954				0	0	0	-813.3150572	0.05163109032	20.7194288697609	
812.6750572	94	1	5	0.9700545335	0.07577956063	96.17364141	0.3336902727	3.492668317	74.33034939	19.80335564	5.866294975				62.54235303	28.42537001	9.032276954				0	0	0	-812.6750572	0.07577956063	-219.624785137678	
812.0350572	94	1	5	0.9743189592	0.05770557418	96.23302691	0.3603392236	3.406633871	73.94936845	20.31087568	5.739755873				62.54235303	28.42537001	9.032276954				0	0	0	-812.0350572	0.05770557418	-48.9273649648844	
811.3950572	94	1	5	0.9772906847	0.04653301623	96.28401567	0.3857657577	3.33021857	73.604462	20.76747985	5.62805815				62.54235303	28.42537001	9.032276954				0	0	0	-811.3950572	0.04653301623	-73.4381829699172	
810.7550572	94	1	5	0.9795048219	0.03895029574	96.32870441	0.4103564903	3.260939098	73.28630791	21.18635412	5.527337973				62.54235303	28.42537001	9.032276954				0	0	0	-810.7550572	0.03895029574	-103.213613254495	
810.1150572	94	1	5	0.9812319066	0.03347113866	96.36841856	0.4343530944	3.197228341	72.98902111	21.57582012	5.435158775				62.54235303	28.42537001	9.032276954				0	0	0	-810.1150572	0.03347113866	-138.289445742724	
809.4750572	94	1	5	0.9826248693	0.02932950331	96.40405911	0.4579177952	3.138023091	72.70860959	21.94152169	5.349868724				62.54235303	28.42537001	9.032276954				0	0	0	-809.4750572	0.02932950331	-178.705360566657	
808.8350572	94	1	5	0.9837773314	0.02609082278	96.43627192	0.4811655425	3.082562534	72.44221733	22.28749594	5.270286734				62.54235303	28.42537001	9.032276954				0	0	0	-808.8350572	0.02609082278	-224.501343239443	
808.1950572	94	1	5	0.984750138	0.02349018838	96.46553891	0.5041812049	3.030279885	72.18771722	22.61674912	5.195533657				62.54235303	28.42537001	9.032276954				0	0	0	-808.1950572	0.02349018838	-275.714143838464	
