T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
870.5150902	97	3	0.9067229246	0.04797027557	95.55597232	4.444027681	91.97086938	8.029130617			0	0	-870.5150902	0.04797027557	-1160.36606746148	
869.2350902	97	3	0.908724459	0.02339869084	95.5095244	4.490475601	91.88608735	8.113912647			0	0	-869.2350902	0.02339869084	-32.3345817568713	
868.9150902	97	3	0.9092092133	0.005801015487	95.49794551	4.502054486	91.86501321	8.134986787			0	0	-868.9150902	0.005801015487	-18.344625251225	
868.8350902	97	3	0.9093296249	0.001449474072	95.49505291	4.504947087	91.85975209	8.140247908			0	0	-868.8350902	0.001449474072	-18.3865646185644	
868.8150902	97	3	0.9093596267	0.0003617569254	95.49432961	4.505670393	91.85843729	8.141562709			0	0	-868.8150902	0.0003617569254	-18.41450430089	
868.7950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-868.7950902	0.733230215	0.0272900269886441	
868.7750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-868.7750902	0.733230215	NaN	
868.7350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-868.7350902	0.733230215	NaN	
868.6550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-868.6550902	0.733230215	NaN	
868.4950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-868.4950902	0.733230215	NaN	
868.1750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-868.1750902	0.733230215	NaN	
867.5350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-867.5350902	0.733230215	NaN	
866.2550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-866.2550902	0.733230215	NaN	
863.6950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-863.6950902	0.733230215	NaN	
858.5750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-858.5750902	0.733230215	NaN	
853.4550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-853.4550902	0.733230215	NaN	
848.3350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-848.3350902	0.733230215	NaN	
843.2150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-843.2150902	0.733230215	NaN	
838.0950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-838.0950902	0.733230215	NaN	
832.9750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-832.9750902	0.733230215	NaN	
827.8550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-827.8550902	0.733230215	NaN	
822.7350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-822.7350902	0.733230215	NaN	
817.6150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-817.6150902	0.733230215	NaN	
812.4950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-812.4950902	0.733230215	NaN	
807.3750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-807.3750902	0.733230215	NaN	
802.2550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-802.2550902	0.733230215	NaN	
797.1350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-797.1350902	0.733230215	NaN	
792.0150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-792.0150902	0.733230215	NaN	
786.8950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-786.8950902	0.733230215	NaN	
781.7750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-781.7750902	0.733230215	NaN	
