T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
822.2837131	83	12	5	0.3422222076	0.01550785605	96.19930845	0.2823603955	3.518331156	76.0197568	18.00726627	5.972976937										0	0	0	-822.2837131	0.01550785605	-5917.67855835158	
819.7237131	83	12	5	0.3524446166	0.01508644798	96.15880555	0.2849721403	3.556222312	75.71128064	18.27872389	6.009995466										0	0	0	-819.7237131	0.01508644798	-6245.84495327709	
817.1637131	83	12	5	0.3622557746	0.01468694309	96.11849684	0.2874900463	3.59401311	75.40709761	18.5468948	6.046007593										0	0	0	-817.1637131	0.01468694309	-6583.8739669681	
814.6037131	83	12	5	0.3716824202	0.01430773318	96.07837372	0.2899144363	3.631711848	75.10704938	18.81189869	6.081051934										0	0	0	-814.6037131	0.01430773318	-6523.39816279005	
813.9637131	83	12	5	0.373976909	0.003532229311	96.06835307	0.2905001583	3.641146777	75.03275022	18.87754891	6.089700869										0	0	0	-813.9637131	0.003532229311	-163.407817677288	
813.6437131	83	12	5	0.3751159719	0.001759562933	96.06334378	0.2907900075	3.645866212	74.99570318	18.91028767	6.09400915										0	0	0	-813.6437131	0.001759562933	-93.2824910765867	
813.6237131	83	12	5	0.3751873416	0.0001104847447	96.06302964	0.2908077094	3.646162655	74.99339497	18.91232487	6.094280162										0	0	0	-813.6237131	0.0001104847447	-174.36287071082	
813.6137131	83	12	5	0.3752228027	5.487773419E-05	96.06287306	0.2908167482	3.646310191	74.99223843	18.91334701	6.094414555										0	0	0	-813.6137131	5.487773419E-05	-182.839052908175	
813.5937131	83	12	5	0.380578355	0.003543653837	96.0655207	0.2917582653	3.642721031	74.97688434	18.93406934	6.089046329	62.54235303	28.42537001	9.032276954							0	0	0	-813.5937131	0.003543653837	170.074385412782	
813.5737131	83	12	5	0.3860651509	0.003657650146	96.06829318	0.2927427734	3.638964043	74.96096211	18.95560196	6.083435933	62.54235303	28.42537001	9.032276954							0	0	0	-813.5737131	0.003657650146	170.230214751874	
813.5337131	83	12	5	0.3966688873	0.007127389993	96.07376476	0.294697995	3.631537248	74.92945801	18.99819056	6.072351427	62.54235303	28.42537001	9.032276954							0	0	0	-813.5337131	0.007127389993	11.8379458119763	
813.4537131	83	12	5	0.4165335464	0.01357214476	96.08443625	0.2985612926	3.617002457	74.86764655	19.08167608	6.050677374	62.54235303	28.42537001	9.032276954							0	0	0	-813.4537131	0.01357214476	13.0987154469284	
813.2937131	83	12	5	0.451667359	0.02476901185	96.10478511	0.3061165028	3.589098384	74.74840197	19.24245971	6.009138316	62.54235303	28.42537001	9.032276954							0	0	0	-813.2937131	0.02476901185	15.8969744489923	
812.9737131	83	12	5	0.5080998552	0.04216579171	96.14211198	0.3206589575	3.537229063	74.52469379	19.5431378	5.932168411	62.54235303	28.42537001	9.032276954							0	0	0	-812.9737131	0.04216579171	22.5965890450979	
812.3337131	83	12	5	0.5866168398	0.06494272441	96.20653254	0.3480879601	3.445379496	74.12189191	20.08146924	5.796638845	62.54235303	28.42537001	9.032276954							0	0	0	-812.3337131	0.06494272441	-160.623436927674	
811.6937131	83	12	5	0.6390315717	0.05116214511	96.26110944	0.3740235208	3.364867039	73.76162251	20.55975257	5.678624921	62.54235303	28.42537001	9.032276954							0	0	0	-811.6937131	0.05116214511	-61.35602956226	
811.0537131	83	12	5	0.6770139353	0.04216048136	96.30853746	0.3989674898	3.292495051	73.43187609	20.99497258	5.573151331	62.54235303	28.42537001	9.032276954							0	0	0	-811.0537131	0.04216048136	-88.6638819771033	
810.4137131	83	12	5	0.706070106	0.03582548151	96.35044034	0.423217329	3.226342332	73.1254399	21.39733012	5.477229989	62.54235303	28.42537001	9.032276954							0	0	0	-810.4137131	0.03582548151	-121.259357867327	
809.7737131	83	12	5	0.7291700825	0.03112860219	96.38788869	0.4469669161	3.165144397	72.83756578	21.77353857	5.388895647	62.54235303	28.42537001	9.032276954							0	0	0	-809.7737131	0.03112860219	-159.178111607827	
809.1337131	83	12	5	0.7480710231	0.02750945001	96.42163266	0.4703504706	3.108016868	72.56493354	22.12829157	5.306774885	62.54235303	28.42537001	9.032276954							0	0	0	-809.1337131	0.02750945001	-202.458737076254	
808.4937131	83	12	5	0.7638856704	0.02463685699	96.45222234	0.4934653308	3.054312331	72.30511317	22.46502373	5.229863098	62.54235303	28.42537001	9.032276954							0	0	0	-808.4937131	0.02463685699	-251.139382160719	
807.8537131	83	12	5	0.7773563988	0.02230255717	96.48007546	0.5163846819	3.003539863	72.05626252	22.78633832	5.157399157	62.54235303	28.42537001	9.032276954							0	0	0	-807.8537131	0.02230255717	-305.255363555479	
807.2137131	83	12	5	0.7889993822	0.02036903351	96.5055182	0.5391651678	2.95531663	71.81694552	23.09426445	5.088790037	62.54235303	28.42537001	9.032276954							0	0	0	-807.2137131	0.02036903351	-392.534487260365	
805.9337131	83	12	5	0.8082530298	0.03538254506	96.55016631	0.5844806373	2.865353056	71.36254475	23.67612127	4.961333984	62.54235303	28.42537001	9.032276954							0	0	0	-805.9337131	0.03538254506	101.518416587345	
803.3737131	83	12	5	0.8361754778	0.05604461431	96.61932429	0.6749500062	2.705725707	70.52957854	24.73364918	4.736772287	62.54235303	28.42537001	9.032276954							0	0	0	-803.3737131	0.05604461431	-634.220748910216	
800.8137131	83	12	5	0.8555727783	0.0451829321	96.66756771	0.7662149405	2.566217351	69.77173203	25.6862911	4.541976867	62.54235303	28.42537001	9.032276954							0	0	0	-800.8137131	0.0451829321	-304.05675431938	
798.2537131	83	12	5	0.8699995423	0.03787039096	96.69930715	0.8590406489	2.441652197	69.0696784	26.56131451	4.369007087	62.54235303	28.42537001	9.032276954							0	0	0	-798.2537131	0.03787039096	-430.124976775319	
795.6937131	83	12	5	0.8812416542	0.03262011434	96.71729449	0.9539321426	2.32877337	68.41129658	27.37581029	4.212893121	62.54235303	28.42537001	9.032276954							0	0	0	-795.6937131	0.03262011434	-579.361084168744	
793.1337131	83	12	5	0.8903042407	0.0286717687	96.7233663	1.051263957	2.225369738	67.78838317	28.14133648	4.070280346	62.54235303	28.42537001	9.032276954							0	0	0	-793.1337131	0.0286717687	-751.950099397539	
790.5737131	83	12	5	0.8978006505	0.02559709363	96.71880311	1.151340326	2.129856563	67.1950805	28.86613973	3.938779765	62.54235303	28.42537001	9.032276954							0	0	0	-790.5737131	0.02559709363	-948.074436194305	
788.0137131	83	12	5	0.9041285459	0.02313667387	96.70452151	1.254428178	2.04105031	66.6270315	29.55634887	3.816619634	62.54235303	28.42537001	9.032276954							0	0	0	-788.0137131	0.02313667387	-917.17910057925	
787.3737131	83	12	5	0.9055584854	0.00556031535	96.69951493	1.280699992	2.019785083	66.48855562	29.72407141	3.787372969	62.54235303	28.42537001	9.032276954							0	0	0	-787.3737131	0.00556031535	-103.001499251125	
787.0537131	83	12	5	0.9062535744	0.002745078566	96.69680231	1.293913639	2.00928405	66.41981531	29.8072542	3.772930488	62.54235303	28.42537001	9.032276954							0	0	0	-787.0537131	0.002745078566	-115.001626925442	
786.8937131	83	12	5	0.906596066	0.001361682116	96.69539427	1.300539885	2.004065849	66.38556798	29.84867838	3.76575364	62.54235303	28.42537001	9.032276954							0	0	0	-786.8937131	0.001361682116	-116.586078621927	
786.8137131	83	12	5	0.9067660765	0.0006781838857	96.69467731	1.303857966	2.001464727	66.36847448	29.86934936	3.762176154	62.54235303	28.42537001	9.032276954							0	0	0	-786.8137131	0.0006781838857	-72.4819873400892	
786.7937131	83	12	5	0.9068084562	0.0001694587893	96.69449657	1.304688023	2.000815406	66.36420368	29.87451335	3.761282969	62.54235303	28.42537001	9.032276954							0	0	0	-786.7937131	0.0001694587893	-106.582288979752	
