T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
847.3055821	78	17	5	0	0	96.87412077	0.3474204992	2.778458727	78	17	5										0.001470224503	-0.00129718348	-0.0001730410229	-847.3055821	0	63.6994559446445	
847.2955821	78	17	5	8.036214684E-05	7.798499727E-05	96.87396723	0.3474420077	2.778590758	77.99853039	17.00129637	5.000173238										0	0	0	-847.2955821	7.798499727E-05	192.760128592337	
847.2755821	78	17	5	0.0002408329731	0.0001557685477	96.87366052	0.347485077	2.778854406	77.99559012	17.00389063	5.000519249										0	0	0	-847.2755821	0.0001557685477	257.104273591385	
847.2355821	78	17	5	0.0005615588823	0.0003113710559	96.87304705	0.3475712159	2.779381735	77.98971117	17.00907788	5.001210953										0	0	0	-847.2355821	0.0003113710559	257.208091073014	
847.1555821	78	17	5	0.001202185837	0.0006220587895	96.87182033	0.3477434038	2.780436267	77.97795874	17.019448	5.002593264										0	0	0	-847.1555821	0.0006220587895	257.73723926982	
846.9955821	78	17	5	0.002480213774	0.001241676345	96.86936786	0.3480874675	2.782544669	77.95447521	17.04017153	5.005353265										0	0	0	-846.9955821	0.001241676345	258.733676634073	
846.6755821	78	17	5	0.005023445563	0.002473642254	96.86446681	0.3487743488	2.786758837	77.90759315	17.08155199	5.010854857										0	0	0	-846.6755821	0.002473642254	260.775893205815	
846.0355821	78	17	5	0.01005924242	0.004908872502	96.85468013	0.3501431458	2.795176724	77.81416681	17.16404828	5.021784907										0	0	0	-846.0355821	0.004908872502	265.023364894592	
844.7555821	78	17	5	0.01992418179	0.009661142511	96.8351746	0.3528639478	2.81196145	77.62860905	17.32804835	5.043342604										0	0	0	-844.7555821	0.009661142511	273.718735341702	
842.1955821	78	17	5	0.03888781642	0.01873685236	96.7964125	0.3582331905	2.845354306	77.2626043	17.65208331	5.085312395										0	0	0	-842.1955821	0.01873685236	-4270.07195004322	
839.6355821	78	17	5	0.05686707536	0.01808785597	96.75790061	0.3634776219	2.878621772	76.90348041	17.97055763	5.12596196										0	0	0	-839.6355821	0.01808785597	-4083.91803517284	
837.0755821	78	17	5	0.07394289236	0.01748040929	96.71962604	0.3685990365	2.911774922	76.55092323	18.2837213	5.16535547										0	0	0	-837.0755821	0.01748040929	-4361.54206225549	
834.5155821	78	17	5	0.09018799383	0.01691144436	96.68157587	0.3735989703	2.944825164	76.20463541	18.5918111	5.203553491										0	0	0	-834.5155821	0.01691144436	-4646.05264564727	
831.9555821	78	17	5	0.1056662153	0.01637632537	96.64374062	0.3784785093	2.977780867	75.86435169	18.8950383	5.240610009										0	0	0	-831.9555821	0.01637632537	-4940.51814410801	
829.3955821	78	17	5	0.1204357209	0.01587315191	96.60610919	0.3832388093	3.010652	75.52981023	19.19361266	5.276577103										0	0	0	-829.3955821	0.01587315191	-5248.32280732616	
826.8355821	78	17	5	0.1345486131	0.0153990478	96.56867195	0.3878807108	3.043447341	75.20077032	19.48772693	5.31150274										0	0	0	-826.8355821	0.0153990478	-5565.53702427377	
824.2755821	78	17	5	0.1480518914	0.01495165723	96.53141994	0.3924048796	3.076175184	74.87700601	19.77756234	5.345431651										0	0	0	-824.2755821	0.01495165723	-5893.24916869495	
821.7155821	78	17	5	0.1609880679	0.01452886727	96.49434479	0.3968118241	3.108843382	74.55830493	20.06328947	5.378405603										0	0	0	-821.7155821	0.01452886727	-6231.52079711503	
819.1555821	78	17	5	0.1733956952	0.01412877657	96.45743871	0.4011019102	3.141459384	74.24446724	20.3450691	5.410463658										0	0	0	-819.1555821	0.01412877657	-6580.40557352692	
816.5955821	78	17	5	0.1853098215	0.01374967029	96.42069435	0.4052753753	3.17403027	73.93530471	20.6230529	5.441642393										0	0	0	-816.5955821	0.01374967029	-6939.95813880191	
814.0355821	78	17	5	0.1967623836	0.0133899982	96.38410488	0.40933234	3.206562783	73.63063977	20.89738413	5.471976103										0	0	0	-814.0355821	0.0133899982	-7310.2328844737	
811.4755821	78	17	5	0.2077825484	0.01304835579	96.34766383	0.4132728195	3.239063351	73.33030477	21.16819825	5.501496982										0	0	0	-811.4755821	0.01304835579	-7243.64551240027	
810.8355821	78	17	5	0.2104683808	0.003221485127	96.33856213	0.4142330073	3.247204864	73.25594768	21.23526962	5.508782697										0	0	0	-810.8355821	0.003221485127	-65.986596603421	
810.6755821	78	17	5	0.2111370879	0.000804489518	96.33628472	0.4144704623	3.249244817	73.23741211	21.25198473	5.510603157										0	0	0	-810.6755821	0.000804489518	-36.9317578363945	
