T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI				
415.3527259	100	1	1	100			-415.3527259	1	NaN	
410.2327259	100	1	1	100			-410.2327259	1	NaN	
405.1127259	100	1	1	100			-405.1127259	1	NaN	
399.9927259	100	1	1	100			-399.9927259	1	NaN	
394.8727259	100	1	1	100			-394.8727259	1	NaN	
389.7527259	100	1	1	100			-389.7527259	1	NaN	
384.6327259	100	1	1	100			-384.6327259	1	NaN	
379.5127259	100	1	1	100			-379.5127259	1	NaN	
374.3927259	100	1	1	100			-374.3927259	1	NaN	
369.2727259	100	1	1	100			-369.2727259	1	NaN	
364.1527259	100	1	1	100			-364.1527259	1	NaN	
359.0327259	100	1	1	100			-359.0327259	1	NaN	
353.9127259	100	1	1	100			-353.9127259	1	NaN	
348.7927259	100	1	1	100			-348.7927259	1	NaN	
343.6727259	100	1	1	100			-343.6727259	1	NaN	
338.5527259	100	1	1	100			-338.5527259	1	NaN	
333.4327259	100	1	1	100			-333.4327259	1	NaN	
328.3127259	100	1	1	100			-328.3127259	1	NaN	
323.1927259	100	1	1	100			-323.1927259	1	NaN	
318.0727259	100	1	1	100			-318.0727259	1	NaN	
312.9527259	100	1	1	100			-312.9527259	1	NaN	
307.8327259	100	1	1	100			-307.8327259	1	NaN	
302.7127259	100	1	1	100			-302.7127259	1	NaN	
300	100	1	1	100			-300	1	NaN	
