T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(CU@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	dwdT_L(SI@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI				
843.111459	87	3	10	0.2578369714	0.0426607557	98.10441951	0.4163676683	1.479212825	84.33486008	3.900332117	11.76480781	7.527442542E-05	0	99.99992473				0.1365639672	-0.1699346212	0.033370654	0	0	0	0.134499372		0.03508648969				-843.111459	0.0426607557	16.5844456246606	
842.471459	87	3	10	0.3244738367	0.07816227117	98.07004157	0.4568611671	1.473097265	84.06689084	4.237498655	11.69561051	7.434914176E-05	0	99.99992565				0.2694646441	-0.337570276	0.06810563189	0	0	0	0.2673923522		0.06980326472				-842.471459	0.07816227117	19.9616476045633	
841.191459	87	3	10	0.4284958743	0.133827756	97.99983034	0.5392118429	1.460957821	83.53939338	4.904312735	11.55629389	7.252812179E-05	0	99.99992747				0.5290120312	-0.6672712764	0.1382592452	0	0	0	0.52692708		0.1399204853				-841.191459	0.133827756	-117.784159330268	
839.911459	87	3	10	0.5054202362	0.1165527386	97.92765562	0.6234044782	1.448939899	83.0225874	5.561608145	11.41580446	7.074591812E-05	0	99.99992925				0.5183386079	-0.6578031845	0.1394645766	0	0	0	0.516241847		0.1410913531				-839.911459	0.1165527386	-86.1977644073036	
838.631459	87	3	10	0.5645548506	0.1031607796	97.85348688	0.7094704946	1.437042624	82.51582527	6.209972305	11.27420242	6.900184182E-05	0	99.999931				0.5083095996	-0.6489191271	0.1406095275	0	0	0	0.5062042139		0.1422019341				-838.631459	0.1031607796	-109.136351784429	
837.351459	87	3	10	0.6114001048	0.09248874128	97.77729318	0.7974417175	1.425265107	82.01850902	6.849947736	11.13154324	6.729521352E-05	0	99.9999327				0.4988765383	-0.6405746935	0.1416981552	0	0	0	0.4967644457		0.1432570702				-837.351459	0.09248874128	-134.961132365441	
836.071459	87	3	10	0.6494094777	0.08379313184	97.69904157	0.8873519478	1.413606485	81.53007734	7.482045709	10.98787695	6.562536306E-05	0	99.99993437				0.4900029292	-0.6327388238	0.1427358947	0	0	0	0.487885879		0.1442621823				-836.071459	0.08379313184	-163.712289811204	
834.791459	87	3	10	0.680858401	0.07657829188	97.61869733	0.9792367587	1.402065914	81.05000474	8.106746014	10.84324925	6.399162942E-05	0	99.99993601				0.4816531342	-0.6253802151	0.1437270809	0	0	0	0.4795327127		0.1452215936				-834.791459	0.07657829188	-195.441702427718	
833.511459	87	3	10	0.7073058917	0.07050122814	97.53622379	1.07313364	1.390642571	80.57779868	8.724499133	10.69770219	6.239336058E-05	0	99.99993761				0.4737943419	-0.6184697275	0.1446753856	0	0	0	0.4716719822		0.1461389625				-833.511459	0.07050122814	-230.204499267806	
832.231459	87	3	10	0.729855213	0.06531704121	97.45158219	1.169082156	1.379335657	80.11299706	9.335728208	10.55127474	6.08299135E-05	0	99.99993917				0.4663972928	-0.6119806499	0.1455833571	0	0	0	0.4642732991		0.1470173434				-832.231459	0.06531704121	-268.057674992915	
