T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI	SI				
457.3108328	100	1	1	100		0		-457.3108328	1	NaN	
452.1908328	100	1	1	100		0		-452.1908328	1	NaN	
447.0708328	100	1	1	100		0		-447.0708328	1	NaN	
441.9508328	100	1	1	100		0		-441.9508328	1	NaN	
436.8308328	100	1	1	100		0		-436.8308328	1	NaN	
431.7108328	100	1	1	100		0		-431.7108328	1	NaN	
426.5908328	100	1	1	100		0		-426.5908328	1	NaN	
421.4708328	100	1	1	100		0		-421.4708328	1	NaN	
416.3508328	100	1	1	100		0		-416.3508328	1	NaN	
411.2308328	100	1	1	100		0		-411.2308328	1	NaN	
406.1108328	100	1	1	100		0		-406.1108328	1	NaN	
400.9908328	100	1	1	100		0		-400.9908328	1	NaN	
395.8708328	100	1	1	100		0		-395.8708328	1	NaN	
390.7508328	100	1	1	100		0		-390.7508328	1	NaN	
385.6308328	100	1	1	100		0		-385.6308328	1	NaN	
380.5108328	100	1	1	100		0		-380.5108328	1	NaN	
375.3908328	100	1	1	100		0		-375.3908328	1	NaN	
370.2708328	100	1	1	100		0		-370.2708328	1	NaN	
365.1508328	100	1	1	100		0		-365.1508328	1	NaN	
360.0308328	100	1	1	100		0		-360.0308328	1	NaN	
354.9108328	100	1	1	100		0		-354.9108328	1	NaN	
349.7908328	100	1	1	100		0		-349.7908328	1	NaN	
344.6708328	100	1	1	100		0		-344.6708328	1	NaN	
339.5508328	100	1	1	100		0		-339.5508328	1	NaN	
334.4308328	100	1	1	100		0		-334.4308328	1	NaN	
329.3108328	100	1	1	100		0		-329.3108328	1	NaN	
324.1908328	100	1	1	100		0		-324.1908328	1	NaN	
319.0708328	100	1	1	100		0		-319.0708328	1	NaN	
313.9508328	100	1	1	100		0		-313.9508328	1	NaN	
308.8308328	100	1	1	100		0		-308.8308328	1	NaN	
303.7108328	100	1	1	100		0		-303.7108328	1	NaN	
300	100	1	1	100		0		-300	1	NaN	
