T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(CU@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	dwdT_L(SI@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI				
838.0726014	81	9	10	0	0	97.62092726	1.095470389	1.283602349	81	9	10							0.001633757421	-0.0007769765859	-0.0008567808353	0.001633757421	-0.0007769765859	-0.0008567808353							-838.0726014	0	50.0795331442582	
838.0626014	81	9	10	0.0001036316612	9.850862225E-05	97.62062557	1.095621369	1.283753063	80.99836525	9.000777445	10.00085731							0.003268442365	-0.001554392839	-0.001714049526	0	0	0							-838.0626014	9.850862225E-05	152.948379980465	
838.0426014	81	9	10	0.0003102815685	0.0001964949544	97.62002193	1.095923542	1.284054527	80.99509892	9.00233083	10.00257025							0.00490088319	-0.002330738115	-0.002570145074	0	0	0							-838.0426014	0.0001964949544	203.944765890108	
838.0026014	81	9	10	0.0007234535932	0.0003929457834	97.61881456	1.096527937	1.284657499	80.98856504	9.005438174	10.00599679							0.008168186715	-0.003884571536	-0.004283615179	0	0	0							-838.0026014	0.0003929457834	203.733016175882	
837.9226014	81	9	10	0.001548772995	0.0007851563954	97.61639895	1.097737374	1.28586368	80.97550032	9.01165136	10.01284832							0.01469850625	-0.006990163536	-0.007708342711	0	0	0							-837.9226014	0.0007851563954	204.13607156085	
837.7626014	81	9	10	0.003195360717	0.001567692768	97.61156417	1.100158843	1.28827699	80.9493831	9.024071729	10.02654517							0.02774999005	-0.01319684922	-0.01455314083	0	0	0							-837.7626014	0.001567692768	204.806248364118	
837.4426014	81	9	10	0.006472423504	0.003124956437	97.60188039	1.105012198	1.293107407	80.89719741	9.048888484	10.05391411							0.05381641034	-0.02559225377	-0.02822415658	0	0	0							-837.4426014	0.003124956437	206.179210629082	
836.8026014	81	9	10	0.01296282431	0.006208600548	97.58245566	1.114760835	1.302783502	80.79302043	9.098426278	10.10855329							0.1058036171	-0.05031139039	-0.05549222667	0	0	0							-836.8026014	0.006208600548	209.118472451096	
835.5226014	81	9	10	0.02567590277	0.0122408368	97.54337501	1.134427899	1.322197086	80.58544024	9.197120806	10.21743895							0.2091999401	-0.09946453045	-0.1097354096	0	0	0							-835.5226014	0.0122408368	215.147385594349	
832.9626014	81	9	10	0.05012005656	0.02383374489	97.46426673	1.174458315	1.361274951	80.17332611	9.393002475	10.43367141							0.41371696	-0.1966432528	-0.2170737071	0	0	0							-832.9626014	0.02383374489	689.466965472954	
832.3226014	81	9	10	0.05602238621	0.005895666643	97.44428634	1.184616701	1.371096958	80.07091883	9.441673649	10.48740752							0.1040065951	-0.0494312507	-0.05457534441	0	0	0							-832.3226014	0.005895666643	-97.9418032686825	
832.0026014	81	9	10	0.05894672527	0.002938363	97.43426526	1.189718803	1.376015941	80.01980719	9.465964411	10.5142284							0.05270881622	-0.02504990673	-0.0276589095	0	0	0							-832.0026014	0.002938363	-58.6358300015762	
831.9626014	81	9	10	0.0593129653	0.0003690325418	97.4330112	1.190357622	1.376631176	80.01342273	9.468998528	10.51757874							0.007981511261	-0.003793199878	-0.004188311383	0	0	0							-831.9626014	0.0003690325418	-34.0616548713313	
831.9526014	81	9	10	0.05940388258	9.170021701E-05	97.4326977	1.190517307	1.37678499	80.01182574	9.469757492	10.51841677							0.003192935979	-0.001517435503	-0.001675500476	0	0	0							-831.9526014	9.170021701E-05	-74.7089769006537	
831.9326014	81	9	10	0.06031728555	0.0008237809456	97.4315049	1.191782772	1.376712333	80.0055007	9.477534232	10.51696507	6.046982235E-05	0	99.99993953				0.005184417373	-0.005491958806	0.0003075414327	0	0	0	0.003056127408		0.001737050351				-831.9326014	0.0008237809456	99.0987540162016	
831.9126014	81	9	10	0.06142650489	0.0009961899974	97.43015799	1.193305036	1.376536977	79.99832514	9.487006508	10.51466835	6.044579071E-05	0	99.99993955				0.008779440956	-0.01023536913	0.001455928175	0	0	0	0.00664808685		0.002886741302				-831.9126014	0.0009961899974	104.810975283819	
