T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(CU@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	dwdT_L(SI@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI				
881.1158629	90	3	7	0	0	98.91320258	0.2931964661	0.7936009527	90	3	7							0.001748521526	-0.0005310008105	-0.001217520716	0.001748521526	-0.0005310008105	-0.001217520716							-881.1158629	0	25.3275692635405	
881.1058629	90	3	7	0.0001999275291	0.0001963059475	98.91298625	0.2932542823	0.7937594682	89.99825148	3.000530996	7.001217528							0.003496980699	-0.001061985824	-0.002434994875	0	0	0							-881.1058629	0.0001963059475	76.5542140175382	
881.0858629	90	3	7	0.0005992295621	0.000392172704	98.91255352	0.2933699803	0.7940764984	89.99475463	3.001592945	7.003652427							0.005245180077	-0.001592899623	-0.003652280454	0	0	0							-881.0858629	0.000392172704	102.129773183562	
881.0458629	90	3	7	0.001396913679	0.0007836815329	98.91168803	0.2936013636	0.7947106048	89.98776168	3.003716637	7.008521683							0.008741028012	-0.002654578437	-0.006086449575	0	0	0							-881.0458629	0.0007836815329	102.242965382133	
880.9658629	90	3	7	0.002988634994	0.001565000895	98.90995679	0.2940642349	0.7959789752	89.97377882	3.007963193	7.018257986							0.01573043339	-0.004777314323	-0.01095311907	0	0	0							-880.9658629	0.001565000895	102.546003406961	
880.8058629	90	3	7	0.006157563174	0.003120591997	98.90649326	0.2949903974	0.7985163461	89.94582524	3.016452991	7.037721765							0.02970013518	-0.009020314364	-0.02067982081	0	0	0							-880.8058629	0.003120591997	103.167124784632	
880.4858629	90	3	7	0.01243794292	0.006203854037	98.89956197	0.2968444121	0.8035936142	89.88996664	3.033419332	7.076614029							0.05760312619	-0.01749642774	-0.04010669845	0	0	0							-880.4858629	0.006203854037	104.511228108902	
879.8458629	90	3	7	0.02475557485	0.01224546882	98.88568248	0.3005593371	0.8137581819	89.77844377	3.067299503	7.154256723							0.1132636469	-0.03440911	-0.07885453687	0	0	0							-879.8458629	0.01224546882	107.276722444035	
878.5658629	90	3	7	0.04849644075	0.02389561348	98.85785453	0.3080174065	0.8341280604	89.55617107	3.134849395	7.308979538							0.2240051701	-0.06807657611	-0.155928594	0	0	0							-878.5658629	0.02389561348	112.752196935978	
876.0058629	90	3	7	0.09268433339	0.04556950692	98.80191494	0.3230517801	0.8750332789	89.11470732	3.269106583	7.6161861							0.4431799796	-0.1347793995	-0.3084005801	0	0	0							-876.0058629	0.04556950692	-1346.0591921684	
873.4458629	90	3	7	0.1328838133	0.04344009002	98.74558383	0.3382501588	0.9161660119	88.67734203	3.402205044	7.920452921							0.4390658762	-0.1336163268	-0.3054495493	0	0	0							-873.4458629	0.04344009002	-1258.37098672892	
870.8858629	90	3	7	0.1696032011	0.04148576738	98.6888427	0.3536251141	0.9575321868	88.24403105	3.534151615	8.22181734							0.4349958265	-0.1324599364	-0.3025358901	0	0	0							-870.8858629	0.04148576738	-1369.37330988668	
868.3258629	90	3	7	0.2032705577	0.03968809543	98.6316732	0.3691891197	0.9991376834	87.81472709	3.664954246	8.520318667							0.4309732342	-0.1313115317	-0.2996617025	0	0	0							-868.3258629	0.03968809543	-1486.1844784586	
865.7658629	90	3	7	0.2342472695	0.0380295252	98.57405693	0.3849546418	1.040988431	87.38937913	3.794622279	8.815998595							0.4270018805	-0.1301725082	-0.2968293723	0	0	0							-865.7658629	0.0380295252	-1608.31916521883	
863.2058629	90	3	7	0.2628404542	0.03649502111	98.51597546	0.4009341556	1.083090389	86.9679331	3.923166206	9.108900697							0.4230848089	-0.129044019	-0.2940407899	0	0	0							-863.2058629	0.03649502111	-1735.85971477299	
