T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
896.3284652	94	6	0	0	99.33871247	0.6612875281	94	6			0.001517575513	-0.001517575513	0.001517575513	-0.001517575513			-896.3284652	0	17.4649148311171	
896.3184652	94	6	0.0002850222429	0.000284414794	99.33852914	0.6614708562	93.9984821	6.001517902			0.003035420964	-0.003035420964	0	0			-896.3184652	0.000284414794	52.8549152969241	
896.2984652	94	6	0.0008541425796	0.0005680876309	99.33816248	0.6618375186	93.99544743	6.004552573			0.004552413461	-0.004552413461	0	0			-896.2984652	0.0005680876309	70.5212431594696	
896.2584652	94	6	0.001990669094	0.001135011628	99.33742911	0.6625708851	93.98937805	6.010621952			0.007586913978	-0.007586913978	0	0			-896.2584652	0.001135011628	70.6301807494642	
896.1784652	94	6	0.004256442913	0.002265311311	99.33596222	0.6640377808	93.97724175	6.022758249			0.01365341403	-0.01365341403	0	0			-896.1784652	0.002265311311	70.9256098364222	
896.0184652	94	6	0.008759078687	0.004511883417	99.33302778	0.6669722231	93.952979	6.047021003			0.02577902059	-0.02577902059	0	0			-896.0184652	0.004511883417	71.5182157805152	
895.6984652	94	6	0.01765031895	0.008949667511	99.32715647	0.6728435256	93.90449282	6.095507178			0.0500006862	-0.0500006862	0	0			-895.6984652	0.008949667511	72.8103968322324	
895.0584652	94	6	0.03495467874	0.01757780542	99.31540354	0.6845964575	93.80767834	6.192321664			0.09832603957	-0.09832603957	0	0			-895.0584652	0.01757780542	75.4815685680106	
893.7784652	94	6	0.0678324666	0.03399523038	99.29185628	0.7081437165	93.61467586	6.385324139			0.194507315	-0.194507315	0	0			-893.7784652	0.03399523038	80.8139049955153	
891.2184652	94	6	0.1274083522	0.06376994831	99.2445938	0.755406198	93.2311639	6.768836102			0.3850033656	-0.3850033656	0	0			-891.2184652	0.06376994831	-775.352520638494	
888.6584652	94	6	0.1798111096	0.05991328247	99.19710285	0.8028971539	92.8509449	7.1490551			0.3816981852	-0.3816981852	0	0			-888.6584652	0.05991328247	-706.041134544114	
886.0984652	94	6	0.2262432207	0.05647128062	99.14937758	0.8506224218	92.47397657	7.526023428			0.3784349012	-0.3784349012	0	0			-886.0984652	0.05647128062	-788.971330174201	
883.5384652	94	6	0.2676582616	0.05338513789	99.10141256	0.8985874409	92.10021686	7.89978314			0.3752138397	-0.3752138397	0	0			-883.5384652	0.05338513789	-877.189214579963	
880.9784652	94	6	0.3048185755	0.05060303472	99.05320236	0.9467976385	91.72962151	8.27037849			0.3720372096	-0.3720372096	0	0			-880.9784652	0.05060303472	-970.31085195326	
878.4184652	94	6	0.3383406731	0.04808269622	99.00474164	0.9952583584	91.3621449	8.637855098			0.3689063768	-0.3689063768	0	0			-878.4184652	0.04808269622	-1068.37306955913	
875.8584652	94	6	0.3687283628	0.04578934232	98.95602513	1.043974866	90.99774031	9.002259686			0.3658224534	-0.3658224534	0	0			-875.8584652	0.04578934232	-1171.4231495458	
873.2984652	94	6	0.3963972647	0.04369409511	98.90704764	1.092952355	90.63636014	9.363639862			0.3627863222	-0.3627863222	0	0			-873.2984652	0.04369409511	-1279.51013782194	
870.7384652	94	6	0.4216932115	0.041772776	98.85780405	1.142195952	90.2779561	9.722043905			0.3597986598	-0.3597986598	0	0			-870.7384652	0.041772776	-1392.68467949831	
868.1784652	94	6	0.4449062382	0.0400049858	98.80828928	1.191710721	89.92247942	10.07752058			0.3568599571	-0.3568599571	0	0			-868.1784652	0.0400049858	-1510.99884779656	
865.6184652	94	6	0.4662813465	0.03837339289	98.75849833	1.241501669	89.56988101	10.43011899			0.3539705398	-0.3539705398	0	0			-865.6184652	0.03837339289	-1634.50602863199	
863.0584652	94	6	0.4860268768	0.03686317669	98.70842625	1.291573752	89.2201116	10.7798884			0.3511305852	-0.3511305852	0	0			-863.0584652	0.03686317669	-1763.26079481737	
860.4984652	94	6	0.5043210847	0.03546158811	98.65806812	1.341931877	88.87312188	11.12687812			0.3483401396	-0.3483401396	0	0			-860.4984652	0.03546158811	-1897.31876327338	
857.9384652	94	6	0.5213173556	0.03415759933	98.60741909	1.392580909	88.52886259	11.47113741			0.3455991325	-0.3455991325	0	0			-857.9384652	0.03415759933	-2036.7365344723	
855.3784652	94	6	0.5371483741	0.03294162244	98.55647433	1.443525672	88.18728467	11.81271533			0.3429073907	-0.3429073907	0	0			-855.3784652	0.03294162244	-2181.57162566932	
852.8184652	94	6	0.5519294843	0.03180528158	98.50522904	1.494770957	87.8483393	12.1516607			0.3402646507	-0.3402646507	0	0			-852.8184652	0.03180528158	-2331.88235123945	
850.2584652	94	6	0.5657614185	0.03074122705	98.45367848	1.546321522	87.511978	12.488022			0.3376705697	-0.3376705697	0	0			-850.2584652	0.03074122705	-2322.98672482362	
850.1784652	94	6	0.5661807646	0.0009610473009	98.4520625	1.547937497	87.50150783	12.49849217			0.01177914425	-0.01177914425	0	0			-850.1784652	0.0009610473009	-27.115273490235	
850.1584652	94	6	0.5662849534	0.0002392183614	98.45165851	1.548341489	87.49888989	12.50111011			0.003926046834	-0.003926046834	0	0			-850.1584652	0.0002392183614	-27.7299417733465	
850.1384652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-850.1384652	0.888751163	0.0225095454491799	
850.1184652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-850.1184652	0.888751163	NaN	
850.0784652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-850.0784652	0.888751163	NaN	
849.9984652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-849.9984652	0.888751163	NaN	
849.8384652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-849.8384652	0.888751163	NaN	
849.5184652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-849.5184652	0.888751163	NaN	
848.8784652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-848.8784652	0.888751163	NaN	
847.5984652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-847.5984652	0.888751163	NaN	
845.0384652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-845.0384652	0.888751163	NaN	
839.9184652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-839.9184652	0.888751163	NaN	
834.7984652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-834.7984652	0.888751163	NaN	
829.6784652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-829.6784652	0.888751163	NaN	
824.5584652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-824.5584652	0.888751163	NaN	
819.4384652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-819.4384652	0.888751163	NaN	
814.3184652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-814.3184652	0.888751163	NaN	
809.1984652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-809.1984652	0.888751163	NaN	
804.0784652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-804.0784652	0.888751163	NaN	
798.9584652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-798.9584652	0.888751163	NaN	
793.8384652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-793.8384652	0.888751163	NaN	
788.7184652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-788.7184652	0.888751163	NaN	
783.5984652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-783.5984652	0.888751163	NaN	
778.4784652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-778.4784652	0.888751163	NaN	
773.3584652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-773.3584652	0.888751163	NaN	
768.2384652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-768.2384652	0.888751163	NaN	
763.1184652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-763.1184652	0.888751163	NaN	
757.9984652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-757.9984652	0.888751163	NaN	
752.8784652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-752.8784652	0.888751163	NaN	
747.7584652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-747.7584652	0.888751163	NaN	
742.6384652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-742.6384652	0.888751163	NaN	
737.5184652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-737.5184652	0.888751163	NaN	
732.3984652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-732.3984652	0.888751163	NaN	
727.2784652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-727.2784652	0.888751163	NaN	
722.1584652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-722.1584652	0.888751163	NaN	
717.0384652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-717.0384652	0.888751163	NaN	
711.9184652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-711.9184652	0.888751163	NaN	
706.7984652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-706.7984652	0.888751163	NaN	
701.6784652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-701.6784652	0.888751163	NaN	
696.5584652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-696.5584652	0.888751163	NaN	
691.4384652	94	6	1	0.888751163	98.45149458	1.548505425			8.612527855E-05	99.99991387	0	0			0	0	-691.4384652	0.888751163	NaN	
