T	w(AL)	w(CU)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
909.3298086	91	9	0	0	99.07686396	0.9231360352	91	9			0.003572374529	-0.003572374529	0.003572374529	-0.003572374529			-909.3298086	0	11.2413930495124	
909.3198086	91	9	0.0004639795479	0.0004422961793	99.07646855	0.9235314465	90.99642745	9.003572548			0.007144748149	-0.007144748149	0	0			-909.3198086	0.0004422961793	33.9771752673897	
909.2998086	91	9	0.001390552511	0.000883605377	99.07567745	0.9243225458	90.98928299	9.010717014			0.01071618073	-0.01071618073	0	0			-909.2998086	0.000883605377	45.352685330354	
909.2598086	91	9	0.003239005031	0.00176430349	99.07409525	0.9259047463	90.97499657	9.025003427			0.01785783019	-0.01785783019	0	0			-909.2598086	0.00176430349	45.4899715006869	
909.1798086	91	9	0.006917679917	0.003517450862	99.07093021	0.9290697879	90.9464304	9.053569602			0.03213625577	-0.03213625577	0	0			-909.1798086	0.003517450862	45.7795093893529	
909.0198086	91	9	0.01420253962	0.006990329662	99.06459756	0.9354024388	90.88932745	9.110672551			0.06067014065	-0.06067014065	0	0			-909.0198086	0.006990329662	46.4203960041745	
908.6998086	91	9	0.02846417942	0.01378390688	99.05192221	0.9480777949	90.77524181	9.224758188			0.1176484279	-0.1176484279	0	0			-908.6998086	0.01378390688	47.7414846828898	
908.0598086	91	9	0.05586121981	0.02685334813	99.02653009	0.9734699124	90.5475481	9.4524519			0.2312464607	-0.2312464607	0	0			-908.0598086	0.02685334813	50.3463002894612	
906.7798086	91	9	0.1065329165	0.05105175309	98.97557734	1.024422663	90.09410105	9.905898952			0.4569790405	-0.4569790405	0	0			-906.7798086	0.05105175309	55.9371107106885	
904.2198086	91	9	0.1939686323	0.09288560838	98.87297196	1.127028037	89.19517249	10.80482751			0.9024188519	-0.9024188519	0	0			-904.2198086	0.09288560838	-409.65335128013	
901.6598086	91	9	0.266396656	0.08487207383	98.76937974	1.230620256	88.30723127	11.69276873			0.8913881646	-0.8913881646	0	0			-901.6598086	0.08487207383	-348.821209871564	
