T	w(AL)	w(CU)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
925.6155047	97	3	0	0	99.70566272	0.2943372819	97	3			0.00378208771	-0.00378208771	0.00378208771	-0.00378208771			-925.6155047	0	3.5396465064399	
925.6055047	97	3	0.001418285996	0.001396169614	99.70528477	0.2947152286	96.99621798	3.003782022			0.007563988903	-0.007563988903	0	0			-925.6055047	0.001396169614	10.7852605818058	
925.5855047	97	3	0.004244576021	0.00278589395	99.70452885	0.2954711459	96.98865422	3.011345781			0.01134562856	-0.01134562856	0	0			-925.5855047	0.00278589395	14.4260937084346	
925.5455047	97	3	0.009854728583	0.005545447737	99.70301691	0.2969830919	96.97352742	3.02647258			0.01890795365	-0.01890795365	0	0			-925.5455047	0.005545447737	14.5780530459794	
925.4655047	97	3	0.02089247278	0.01097241611	99.69999263	0.3000073702	96.94327951	3.056720489			0.03402836133	-0.03402836133	0	0			-925.4655047	0.01097241611	14.8902467018504	
925.3055047	97	3	0.04229513834	0.02151278279	99.69394237	0.3060576312	96.88280332	3.117196678			0.06425496828	-0.06425496828	0	0			-925.3055047	0.02151278279	15.4970090560573	
924.9855047	97	3	0.0825886599	0.04139417638	99.6818351	0.3181649033	96.76193088	3.238069117			0.124647762	-0.124647762	0	0			-924.9855047	0.04139417638	16.7770565341251	
924.3455047	97	3	0.1543886139	0.07695708115	99.65759338	0.3424066221	96.52051009	3.479489911			0.2451894668	-0.2451894668	0	0			-924.3455047	0.07695708115	19.5569455140793	
923.0655047	97	3	0.2705118945	0.1348787351	99.60899885	0.3910011454	96.03899174	3.961008257			0.4852725748	-0.4852725748	0	0			-923.0655047	0.1348787351	-122.958283406358	
921.7855047	97	3	0.3597890287	0.1198973589	99.56025254	0.4397474619	95.55929529	4.440704707			0.483436711	-0.483436711	0	0			-921.7855047	0.1198973589	-97.0363453246799	
920.5055047	97	3	0.4304548927	0.1078619486	99.51134926	0.488650743	95.08148608	4.918513922			0.4815344755	-0.4815344755	0	0			-920.5055047	0.1078619486	-119.083567942747	
