T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(CU@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	dwdT_L(SI@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI				
912.8419087	96	1	3	0	0	99.58964717	0.09428442368	0.3160684109	96	1	3							0.001886102951	-0.000475891809	-0.001410211142	0.001886102951	-0.000475891809	-0.001410211142							-912.8419087	0	9.46186968525371	
912.8319087	96	1	3	0.000528659218	0.0005253391593	99.58944737	0.09432902683	0.3162236075	95.99811389	1.000475892	3.001410217							0.003772151548	-0.0009517760687	-0.002820375479	0	0	0							-912.8319087	0.0005253391593	28.6087740996704	
912.8119087	96	1	3	0.001584262956	0.001049450273	99.58904775	0.0944182524	0.3165340015	95.99434186	1.001427643	3.004230499							0.005657968675	-0.001427617127	-0.004230351548	0	0	0							-912.8119087	0.001049450273	38.1920998109358	
912.7719087	96	1	3	0.00368936589	0.002095025807	99.5882485	0.09459668397	0.31715482	95.98679845	1.003331027	3.009870525							0.009429116127	-0.002379212978	-0.007049903149	0	0	0							-912.7719087	0.002095025807	38.3275797179166	
912.6919087	96	1	3	0.007875294028	0.004174618671	99.58664991	0.09495352382	0.3183965641	95.97171431	1.007137304	3.021148386							0.01696937707	-0.004282037582	-0.01268733949	0	0	0							-912.6919087	0.004174618671	38.636408217799	
912.5319087	96	1	3	0.01614292833	0.008280676826	99.58345242	0.09566711485	0.3208804627	95.94155689	1.01474793	3.043695179							0.03204180359	-0.008086227518	-0.02395557607	0	0	0							-912.5319087	0.008280676826	39.2700589575641	
912.2119087	96	1	3	0.03229043302	0.01630818765	99.57705609	0.09709395079	0.3258499589	95.88128514	1.029961417	3.088753446							0.06215438484	-0.0156887902	-0.04646559465	0	0	0							-912.2119087	0.01630818765	40.501597855858	
911.5719087	96	1	3	0.0631147364	0.03164780187	99.56425791	0.09994632529	0.3357957604	95.76091463	1.060357085	3.178728287							0.122249471	-0.03087032895	-0.09137914201	0	0	0							-911.5719087	0.03164780187	43.0787244912248	
910.2919087	96	1	3	0.1194569607	0.05974056372	99.53863844	0.10564657	0.3557149883	95.52087027	1.121021421	3.358108313							0.2419157081	-0.06113759445	-0.1807781137	0	0	0							-910.2919087	0.05974056372	48.5846068838886	
907.7319087	96	1	3	0.2146919227	0.1074034383	99.4872989	0.1170344357	0.395666665	95.04360175	1.241828181	3.714570072							0.4791254988	-0.1212775653	-0.3578479335	0	0	0							-907.7319087	0.1074034383	-335.936452326886	
905.1719087	96	1	3	0.2916936882	0.09729769877	99.43581327	0.1284081312	0.4357785994	94.5701903	1.361837367	4.067972332							0.4752534357	-0.1204768588	-0.3547765769	0	0	0							-905.1719087	0.09729769877	-280.66794285287	
902.6119087	96	1	3	0.355172142	0.08886259721	99.38416318	0.1397794746	0.4760573453	94.10068856	1.481023384	4.418288051							0.4713283128	-0.1196503858	-0.351677927	0	0	0							-902.6119087	0.08886259721	-333.119067613041	
900.0519087	96	1	3	0.4083540095	0.08171612291	99.33233069	0.1511600392	0.5165092737	93.63513698	1.599364803	4.765498214							0.4673626244	-0.118802415	-0.3485602094	0	0	0							-900.0519087	0.08171612291	-390.122798444981	
897.4919087	96	1	3	0.4535218335	0.07558434335	99.28029818	0.1625611667	0.5571406536	93.17356418	1.716844081	5.109591743							0.4633682368	-0.1179368475	-0.3454313893	0	0	0							-897.4919087	0.07558434335	-451.693798371977	
894.9319087	96	1	3	0.4923345767	0.07026601165	99.22804839	0.1739939648	0.5979576471	92.71598814	1.833447113	5.450564747							0.4593558063	-0.1170571298	-0.3422986765	0	0	0							-894.9319087	0.07026601165	-517.860977304353	
