T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	dwdT_L(SI@ALCU_THETA)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(CU@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI				
914.2913165	94	5	1	0	0	99.40138411	0.4956759641	0.102939921	94	5	1							0.003039037159	-0.002534315588	-0.0005047215704	0.003039037159	-0.002534315588	-0.0005047215704							-914.2913165	0	8.8302912737968	
914.2813165	94	5	1	0.0005777680024	0.0005625417435	99.40106788	0.4959384222	0.1029936979	93.99696077	5.002534474	1.000504754							0.006078127826	-0.005068677201	-0.001009450625	0	0	0							-914.2813165	0.0005625417435	26.7226258760428	
914.2613165	94	5	1	0.001731234982	0.001123621666	99.40043531	0.4964634204	0.1031012668	93.99088325	5.00760265	1.001514103							0.009116362898	-0.007602328851	-0.001514034047	0	0	0							-914.2613165	0.001123621666	35.6771481657313	
914.2213165	94	5	1	0.004031024933	0.002242810028	99.39917015	0.4975134448	0.1033164046	93.97872928	5.017738108	1.003532612							0.0151922935	-0.01266919066	-0.002523102835	0	0	0							-914.2213165	0.002242810028	35.8126577882925	
914.1413165	94	5	1	0.008601937417	0.004467706522	99.39663951	0.4996137782	0.103746715	93.95442719	5.038004194	1.007568618							0.02733934291	-0.02279893527	-0.004540407643	0	0	0							-914.1413165	0.004467706522	36.1270366495148	
913.9813165	94	5	1	0.01762068449	0.008855725476	99.39157699	0.5038155445	0.1046074643	93.90584695	5.078516586	1.01563646							0.0516156428	-0.0430437149	-0.00857192789	0	0	0							-913.9813165	0.008855725476	36.7713315342588	
913.6613165	94	5	1	0.03520139746	0.0174180279	99.38144683	0.5122236508	0.1063295229	93.80878128	5.159463022	1.031755695							0.100097113	-0.08347448212	-0.01662263087	0	0	0							-913.6613165	0.0174180279	38.0253339494346	
913.0213165	94	5	1	0.06863700158	0.03371676603	99.36116565	0.5290583932	0.1097759534	93.61503443	5.321037997	1.063927578							0.1967702239	-0.1640963474	-0.03267387649	0	0	0							-913.0213165	0.03371676603	40.6612194255037	
911.7413165	94	5	1	0.1293274786	0.06334894292	99.32051648	0.5628047156	0.1166788041	93.22911081	5.642888936	1.128000255							0.3889293585	-0.3243577066	-0.06457165189	0	0	0							-911.7413165	0.06334894292	46.3392387312069	
