T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
898.4850029	93	5	2	0	0	98.41767143	1.414660296	0.1676682709	93	5	2				0.002105395191	-0.001393290096	-0.0007121050952	-898.4850029	0	12.8123468432601	
898.4750029	93	5	2	0.0003873734467	0.0003886142304	98.41729685	1.414988431	0.1677147239	92.99789459	5.001393346	2.000712069				0	0	0	-898.4750029	0.0003886142304	38.6525724403077	
898.4550029	93	5	2	0.001161221365	0.000776578878	98.41654757	1.41564479	0.1678076392	92.9936836	5.004179952	2.002136451				0	0	0	-898.4550029	0.000776578878	51.5746323881262	
898.4150029	93	5	2	0.002706021383	0.001551447484	98.41504964	1.416956931	0.1679934246	92.98526074	5.009753288	2.004985974				0	0	0	-898.4150029	0.001551447484	51.6789811423653	
898.3350029	93	5	2	0.005784059056	0.003096050209	98.41205565	1.419579508	0.1683648448	92.96841162	5.020900376	2.010688009				0	0	0	-898.3350029	0.003096050209	-10186.2875007909	
898.2550029	93	5	2	0.008844452502	0.003088155962	98.40906409	1.422199859	0.168736049	92.95155798	5.032048153	2.016393868				0	0	0	-898.2550029	0.003088155962	-10821.6323762645	
898.1750029	93	5	2	0.01188848941	0.003081157609	98.40607489	1.424818104	0.1691070066	92.9346998	5.043196952	2.022103245				0	0	0	-898.1750029	0.003081157609	-11459.7333294385	
898.0950029	93	5	2	0.01491629679	0.00307419386	98.40308804	1.427434246	0.1694777175	92.91783707	5.054346788	2.027816141				0	0	0	-898.0950029	0.00307419386	-11514.5559039573	
898.0150029	93	5	2	0.01792799805	0.003067262007	98.40010353	1.430048288	0.1698481815	92.90096978	5.065497667	2.033532553				0	0	0	-898.0150029	0.003067262007	-11567.49816963	
897.9350029	93	5	2	0.02092371543	0.003060361856	98.39712137	1.432660232	0.170218398	92.88409793	5.076649596	2.039252477				0	0	0	-897.9350029	0.003060361856	-11620.5858629597	
897.8550029	93	5	2	0.02390356995	0.003053493194	98.39414156	1.435270078	0.1705883667	92.86722151	5.087802583	2.044975911				0	0	0	-897.8550029	0.003053493194	-11673.8002295258	
897.7750029	93	5	2	0.02686768147	0.003046655808	98.39116408	1.43787783	0.1709580873	92.85034052	5.098956633	2.05070285				0	0	0	-897.7750029	0.003046655808	-11727.139767672	
897.6950029	93	5	2	0.02981616864	0.003039849487	98.38818895	1.440483489	0.1713275592	92.83345495	5.110111754	2.056433291				0	0	0	-897.6950029	0.003039849487	-11780.6029246057	
897.6150029	93	5	2	0.03274914898	0.00303307402	98.38521616	1.443087056	0.1716967822	92.81656482	5.121267953	2.062167231				0	0	0	-897.6150029	0.00303307402	-11834.1908088245	
897.5350029	93	5	2	0.03566673885	0.003026329201	98.38224571	1.445688534	0.1720657558	92.7996701	5.132425235	2.067904668				0	0	0	-897.5350029	0.003026329201	-11887.902743418	
897.4550029	93	5	2	0.03856905348	0.003019614822	98.3792776	1.448287925	0.1724344797	92.7827708	5.143583608	2.073645596				0	0	0	-897.4550029	0.003019614822	-11941.7381762319	
897.3750029	93	5	2	0.04145620698	0.00301293068	98.37631182	1.450885229	0.1728029535	92.76586691	5.154743078	2.079390015				0	0	0	-897.3750029	0.00301293068	-11995.6991801371	
897.2950029	93	5	2	0.04432831235	0.003006276573	98.37334837	1.45348045	0.1731711769	92.74895843	5.165903652	2.085137919				0	0	0	-897.2950029	0.003006276573	-12049.7852581825	
897.2150029	93	5	2	0.04718548152	0.002999652301	98.37038726	1.456073589	0.1735391494	92.73204536	5.177065337	2.090889307				0	0	0	-897.2150029	0.002999652301	-12103.9949903434	
897.1350029	93	5	2	0.05002782532	0.002993057664	98.36742848	1.458664648	0.1739068706	92.71512769	5.188228139	2.096644174				0	0	0	-897.1350029	0.002993057664	-12158.3279063576	
897.0550029	93	5	2	0.05285545352	0.002986492465	98.36447203	1.461253628	0.1742743403	92.69820542	5.199392065	2.102402518				0	0	0	-897.0550029	0.002986492465	-12212.7872671522	
896.9750029	93	5	2	0.05566847482	0.002979956511	98.36151791	1.463840531	0.1746415581	92.68127854	5.210557121	2.108164335				0	0	0	-896.9750029	0.002979956511	-12267.370776309	
896.8950029	93	5	2	0.05846699692	0.002973449606	98.35856612	1.466425359	0.1750085235	92.66434706	5.221723313	2.113929623				0	0	0	-896.8950029	0.002973449606	-12322.077165494	
896.8150029	93	5	2	0.06125112644	0.002966971559	98.35561665	1.469008115	0.1753752362	92.64741097	5.232890649	2.119698378				0	0	0	-896.8150029	0.002966971559	-12376.9088837181	
896.7350029	93	5	2	0.06402096902	0.00296052218	98.35266951	1.471588799	0.1757416959	92.63047027	5.244059134	2.125470597				0	0	0	-896.7350029	0.00296052218	-12431.8646739193	
896.6550029	93	5	2	0.06677662929	0.00295410128	98.34972468	1.474167413	0.1761079022	92.61352495	5.255228776	2.131246278				0	0	0	-896.6550029	0.00295410128	-12486.9452350409	
896.5750029	93	5	2	0.06951821086	0.002947708673	98.34678219	1.476743959	0.1764738548	92.596575	5.26639958	2.137025416				0	0	0	-896.5750029	0.002947708673	-12542.1512909791	
896.4950029	93	5	2	0.07224581638	0.002941344174	98.34384201	1.47931844	0.1768395533	92.57962044	5.277571553	2.14280801				0	0	0	-896.4950029	0.002941344174	-12597.4806590344	
