T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
909.4869339	96	4	0	0	99.52984127	0.470158735	96	4	0.001602318788	-0.001602318788	-909.4869339	0	10.9394507116477	
909.4769339	96	4	0.0004546226053	0.0004539859179	99.52964189	0.4703581139	95.99839741	4.001602587	0	0	-909.4769339	0.0004539859179	33.114779192053	
909.4569339	96	4	0.001362299219	0.0009067542027	99.52924312	0.4707568786	95.99519321	4.004806794	0	0	-909.4569339	0.0009067542027	44.1974406893113	
909.4169339	96	4	0.003173276927	0.001810773795	99.52844555	0.4715544484	95.98878491	4.011215088	0	0	-909.4169339	0.001810773795	44.3188694277024	
909.3369339	96	4	0.006777219923	0.003610052842	99.52685025	0.4731497451	95.97597094	4.02402906	0	0	-909.3369339	0.003610052842	44.604841364155	
909.1769339	96	4	0.01391383942	0.007174534032	99.52365911	0.4763408876	95.95035346	4.049646535	0	0	-909.1769339	0.007174534032	45.2237620752329	
908.8569339	96	4	0.02788550139	0.01414893722	99.51727436	0.48272564	95.89916074	4.100839263	0	0	-908.8569339	0.01414893722	46.4994907681092	
908.2169339	96	4	0.05472435385	0.02756961839	99.50449502	0.4955049753	95.79694304	4.203056957	0	0	-908.2169339	0.02756961839	49.0150365508751	
906.9369339	96	4	0.1043628179	0.05243625162	99.47889671	0.5211032874	95.59317748	4.406822524	0	0	-906.9369339	0.05243625162	54.3913419581827	
904.3769339	96	4	0.1900278446	0.09550282495	99.42753847	0.5724615278	95.18832005	4.811679949	0	0	-904.3769339	0.09550282495	-404.764686893739	
901.8169339	96	4	0.2609785266	0.08745222031	99.37595871	0.6240412928	94.7870071	5.212992897	0	0	-901.8169339	0.08745222031	-348.289285744693	
899.2569339	96	4	0.3206561723	0.0806081924	99.32415041	0.6758495901	94.38921127	5.610788732	0	0	-899.2569339	0.0806081924	-406.668865207706	
896.6969339	96	4	0.3715140822	0.07471955305	99.27210675	0.7278932467	93.9949013	6.005098703	0	0	-896.6969339	0.07471955305	-469.68241170982	
894.1369339	96	4	0.4153468841	0.06960020762	99.21982104	0.7801789594	93.60404225	6.395957754	0	0	-894.1369339	0.06960020762	-537.353673944199	
891.5769339	96	4	0.4534968021	0.06510948738	99.16728671	0.8327132862	93.21659605	6.783403948	0	0	-891.5769339	0.06510948738	-609.715134150771	
889.0169339	96	4	0.486987179	0.06113908943	99.11449735	0.8855026542	92.83252196	7.16747804	0	0	-889.0169339	0.06113908943	-686.802857633524	
886.4569339	96	4	0.5166114669	0.05760426665	99.06144663	0.9385533677	92.4517769	7.548223099	0	0	-886.4569339	0.05760426665	-768.655674951833	
883.8969339	96	4	0.5429940686	0.0544377477	99.00812838	0.9918716155	92.07431585	7.925684147	0	0	-883.8969339	0.0544377477	-855.314983840127	
881.3369339	96	4	0.5666328812	0.05158544856	98.95453652	1.045463479	91.70009215	8.299907846	0	0	-881.3369339	0.05158544856	-946.82453121164	
878.7769339	96	4	0.5879296426	0.04900338827	98.90066506	1.099334936	91.32905779	8.670942206	0	0	-878.7769339	0.04900338827	-1043.23021754426	
876.2169339	96	4	0.6072119673	0.04665543218	98.84650813	1.153491875	90.96116368	9.038836319	0	0	-876.2169339	0.04665543218	-1144.57990079346	
873.6569339	96	4	0.6247496061	0.04451161453	98.79205991	1.207940091	90.59635987	9.403640129	0	0	-873.6569339	0.04451161453	-1250.923217768	
871.0969339	96	4	0.6407666177	0.04254687409	98.7373147	1.2626853	90.23459578	9.765404215	0	0	-871.0969339	0.04254687409	-1362.31143100716	
868.5369339	96	4	0.6554506025	0.04074008876	98.68226686	1.317733144	89.87582039	10.12417961	0	0	-868.5369339	0.04074008876	-1478.79725338079	
865.9769339	96	4	0.6689597896	0.03907332973	98.62691081	1.373089191	89.51998239	10.48001761	0	0	-865.9769339	0.03907332973	-1600.43473371276	
863.4169339	96	4	0.6814285391	0.03753127917	98.57124105	1.428758949	89.16703035	10.83296965	0	0	-863.4169339	0.03753127917	-1727.27911542228	
860.8569339	96	4	0.6929716553	0.03610077091	98.51525214	1.484747864	88.81691283	11.18308717	0	0	-860.8569339	0.03610077091	-1859.3867557489	
858.2969339	96	4	0.7036878009	0.03477042501	98.45893867	1.541061328	88.46957854	11.53042146	0	0	-858.2969339	0.03477042501	-1996.81503247097	
855.7369339	96	4	0.7136622219	0.03353035437	98.40229531	1.597704685	88.12497641	11.87502359	0	0	-855.7369339	0.03353035437	-2139.62221803247	
853.1769339	96	4	0.7229689408	0.03237192742	98.34531677	1.654683234	87.78305566	12.21694434	0	0	-853.1769339	0.03237192742	-2287.86748642747	
850.6169339	96	4	0.7316725345	0.03128757481	98.28799777	1.712002232	87.44376595	12.55623405	0	0	-850.6169339	0.03128757481	-2441.61082674263	
848.0569339	96	4	0.7398295858	0.03027063072	98.2303331	1.769666902	87.10705739	12.89294261	0	0	-848.0569339	0.03027063072	-2602.38350859533	
845.4969339	96	4	0.7474901074	0.02931618845	98.17231641	1.827683589	86.7728752	13.2271248	0	0	-845.4969339	0.02931618845	-2766.18557731258	
842.9369339	96	4	0.7546976793	0.02841647806	98.11394493	1.886055067	86.44118185	13.55881815	0	0	-842.9369339	0.02841647806	-2935.51100209115	
840.3769339	96	4	0.761491415	0.02756891843	98.05521229	1.944787712	86.11192328	13.88807672	0	0	-840.3769339	0.02756891843	-3112.63457420429	
837.8169339	96	4	0.76790598	0.02676883546	97.99611336	2.003886644	85.78505195	14.21494805	0	0	-837.8169339	0.02676883546	-3294.80019642992	
835.2569339	96	4	0.7739723054	0.02601249762	97.93664304	2.063356962	85.46052104	14.53947896	0	0	-835.2569339	0.02601249762	-3482.83561617142	
832.6969339	96	4	0.7797180754	0.02529655406	97.87679625	2.123203749	85.13828442	14.86171558	0	0	-832.6969339	0.02529655406	-3676.81058430582	
830.1369339	96	4	0.78516814	0.02461798453	97.81656792	2.183432081	84.81829672	15.18170328	0	0	-830.1369339	0.02461798453	-3876.79025207566	
827.5769339	96	4	0.7903448661	0.02397405997	97.75595298	2.244047022	84.50051327	15.49948673	0	0	-827.5769339	0.02397405997	-4082.84148442839	
825.0169339	96	4	0.7952684387	0.02336230834	97.69494637	2.305053634	84.18489018	15.81510982	0	0	-825.0169339	0.02336230834	-4295.03194742607	
822.4569339	96	4	0.7999571188	0.02278048508	97.63354302	2.366456976	83.87138431	16.12861569	0	0	-822.4569339	0.02278048508	-4513.43014358415	
819.8969339	96	4	0.8044274662	0.02222654762	97.57173789	2.428262108	83.55995329	16.44004671	0	0	-819.8969339	0.02222654762	-4738.1056248323	
817.3369339	96	4	0.8086945317	0.02169863323	97.50952591	2.49047409	83.25055551	16.74944449	0	0	-817.3369339	0.02169863323	-4969.12903608108	
814.7769339	96	4	0.8127720242	0.02119503973	97.44690201	2.553097993	82.94315013	17.05684987	0	0	-814.7769339	0.02119503973	-5206.571920381	
812.2169339	96	4	0.8166724563	0.02071420858	97.38386111	2.61613889	82.63769707	17.36230293	0	0	-812.2169339	0.02071420858	-5450.50708251093	
809.6569339	96	4	0.820407271	0.02025471016	97.32039813	2.67960187	82.33415702	17.66584298	0	0	-809.6569339	0.02025471016	-5701.00858942122	
807.0969339	96	4	0.8239869532	0.01981523073	97.25650797	2.743492029	82.0324914	17.9675086	0	0	-807.0969339	0.01981523073	-5958.1519329385	
804.5369339	96	4	0.8274211271	0.01939456103	97.19218552	2.807814482	81.7326624	18.2673376	0	0	-804.5369339	0.01939456103	-6222.01392869507	
801.9769339	96	4	0.8307186426	0.0189915861	97.12742564	2.872574359	81.43463293	18.56536707	0	0	-801.9769339	0.0189915861	-6492.67260523173	
799.4169339	96	4	0.8338876508	0.01860527633	97.06222319	2.937776808	81.13836663	18.86163337	0	0	-799.4169339	0.01860527633	-6770.20815079061	
796.8569339	96	4	0.8369356715	0.01823467955	96.996573	3.003426999	80.84382786	19.15617214	0	0	-796.8569339	0.01823467955	-7054.70219273	
