T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
846.617355	97	3	0.9190236536	0.03980882067	94.58968074	5.410319264	83.79780899	16.20219101	0	0	-846.617355	0.03980882067	-2009.32861008298	
844.057355	97	3	0.922111173	0.03857223832	94.4251836	5.574816398	83.37144142	16.62855858	0	0	-844.057355	0.03857223832	-2137.56093615704	
841.497355	97	3	0.924990607	0.03740907863	94.25984628	5.740153717	82.94828639	17.05171361	0	0	-841.497355	0.03740907863	-2270.81276379864	
838.937355	97	3	0.9276816398	0.03631349874	94.09362467	5.906375332	82.52830933	17.47169067	0	0	-838.937355	0.03631349874	-2409.22108258167	
836.377355	97	3	0.9302016244	0.03528026208	93.9264738	6.073526199	82.111473	17.888527	0	0	-836.377355	0.03528026208	-2552.93534939207	
833.817355	97	3	0.9325659117	0.03430465982	93.75834844	6.241651563	81.69773786	18.30226214	0	0	-833.817355	0.03430465982	-2702.11138804438	
831.257355	97	3	0.9347881252	0.03338244609	93.58920299	6.410797012	81.28706232	18.71293768	0	0	-831.257355	0.03338244609	-2856.91401114071	
828.697355	97	3	0.9368803926	0.03250978255	93.41899147	6.581008532	80.87940302	19.12059698	0	0	-828.697355	0.03250978255	-3017.51807028933	
826.137355	97	3	0.9388535421	0.03168319094	93.24766743	6.752332569	80.47471514	19.52528486	0	0	-826.137355	0.03168319094	-3184.10953499089	
823.577355	97	3	0.9407172681	0.03089951209	93.07518392	6.924816081	80.07295253	19.92704747	0	0	-823.577355	0.03089951209	-3356.88677585549	
821.017355	97	3	0.9424802732	0.03015587057	92.9014934	7.098506601	79.67406801	20.32593199	0	0	-821.017355	0.03015587057	-3536.06211517116	
818.457355	97	3	0.9441503894	0.02944964397	92.72654771	7.273452292	79.27801346	20.72198654	0	0	-818.457355	0.02944964397	-3721.86327634383	
