T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
891.5722645	92	5	3	0.05984541921	0.002532473746	98.35419146	1.377677585	0.2681309523	91.59247107	5.232727145	3.174801786							0	0	0	-891.5722645	0.002532473746	-16645.2164843093	
891.4922645	92	5	3	0.06221448845	0.002527676875	98.35179379	1.379585101	0.2686211091	91.57534238	5.242491327	3.182166291							0	0	0	-891.4922645	0.002527676875	-16710.0522685844	
891.4122645	92	5	3	0.0645731068	0.002522898599	98.34939845	1.381490531	0.2691110186	91.55820889	5.252256881	3.189534227							0	0	0	-891.4122645	0.002522898599	-16775.0205073414	
891.3322645	92	5	3	0.06692134045	0.002518138812	98.34700544	1.383393878	0.2696006804	91.5410706	5.262023813	3.196905591							0	0	0	-891.3322645	0.002518138812	-16840.1147823664	
891.2522645	92	5	3	0.069259255	0.002513397405	98.34461476	1.385295142	0.2700900944	91.52392749	5.271792128	3.204280381							0	0	0	-891.2522645	0.002513397405	-16905.3376130058	
891.1722645	92	5	3	0.07158691554	0.002508674275	98.34222641	1.387194325	0.2705792604	91.50677957	5.281561831	3.211658595							0	0	0	-891.1722645	0.002508674275	-16970.6931885553	
891.0922645	92	5	3	0.0739043866	0.002503969317	98.33984039	1.389091429	0.2710681781	91.48962684	5.291332927	3.21904023							0	0	0	-891.0922645	0.002503969317	-17036.1769399947	
891.0122645	92	5	3	0.07621173222	0.002499282427	98.3374567	1.390986455	0.2715568473	91.47246929	5.301105422	3.226425285							0	0	0	-891.0122645	0.002499282427	-17101.7877822602	
890.9322645	92	5	3	0.07850901587	0.002494613501	98.33507533	1.392879405	0.2720452678	91.45530692	5.310879321	3.233813757							0	0	0	-890.9322645	0.002494613501	-17167.5302211355	
890.8522645	92	5	3	0.08079630055	0.002489962439	98.33269628	1.394770281	0.2725334394	91.43813973	5.320654629	3.241205643							0	0	0	-890.8522645	0.002489962439	-17233.4013332533	
890.7722645	92	5	3	0.08307364871	0.002485329137	98.33031956	1.396659083	0.2730213619	91.42096771	5.330431351	3.248600941							0	0	0	-890.7722645	0.002485329137	-17299.4002454287	
890.6922645	92	5	3	0.0853411223	0.002480713496	98.32794515	1.398545813	0.273509035	91.40379086	5.340209493	3.25599965							0	0	0	-890.6922645	0.002480713496	-17365.5315225067	
890.6122645	92	5	3	0.08759878278	0.002476115416	98.32557307	1.400430474	0.2739964586	91.38660917	5.349989059	3.263401767							0	0	0	-890.6122645	0.002476115416	-17431.7905021746	
890.5322645	92	5	3	0.08984669111	0.002471534797	98.3232033	1.402313065	0.2744836324	91.36942266	5.359770055	3.270807289							0	0	0	-890.5322645	0.002471534797	-17498.1781604181	
890.4522645	92	5	3	0.09208490775	0.002466971541	98.32083585	1.40419359	0.2749705563	91.3522313	5.369552486	3.278216214							0	0	0	-890.4522645	0.002466971541	-17564.6974142423	
890.3722645	92	5	3	0.09431349267	0.002462425551	98.31847072	1.406072049	0.27545723	91.3350351	5.379336357	3.285628541							0	0	0	-890.3722645	0.002462425551	-17631.3434951025	
890.2922645	92	5	3	0.09653250537	0.002457896728	98.3161079	1.407948443	0.2759436534	91.31783406	5.389121673	3.293044267							0	0	0	-890.2922645	0.002457896728	-17698.1194937696	
890.2122645	92	5	3	0.09874200486	0.002453384978	98.3137474	1.409822775	0.2764298261	91.30062817	5.398908439	3.300463389							0	0	0	-890.2122645	0.002453384978	-17765.0264255319	
