T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
923.3518662	98	2	0	0	99.35666367	0.6433363253	98	2			0.001976573405	-0.001976573405	-923.3518662	0	3.40448215137047	
923.3418662	98	2	0.001453358263	0.001455526106	99.35603368	0.6439663168	97.99802346	2.001976541			0	0	-923.3418662	0.001455526106	10.3362538735881	
923.3218662	98	2	0.004350919608	0.002905872779	99.35477364	0.6452263579	97.99407038	2.005929623			0	0	-923.3218662	0.002905872779	13.8158095770981	
923.2818662	98	2	0.0101079232	0.005790309777	99.35225375	0.6477462539	97.98616407	2.013835934			0	0	-923.2818662	0.005790309777	13.919875319808	
923.2018662	98	2	0.02147081188	0.01149505489	99.34721443	0.6527855697	97.97035184	2.029648161			0	0	-923.2018662	0.01149505489	-812.325296636438	
923.1218662	98	2	0.03260411319	0.01139477914	99.34217579	0.6578242083	97.95454004	2.045459962			0	0	-923.1218662	0.01139477914	-856.552421149153	
923.0418662	98	2	0.04352552778	0.01130668941	99.33713782	0.6628621751	97.93872866	2.061271338			0	0	-923.0418662	0.01130668941	-914.808613767433	
922.9618662	98	2	0.05424059547	0.01121986098	99.33210068	0.6678993249	97.92291783	2.077082173			0	0	-922.9618662	0.01121986098	-929.716412292455	
922.8818662	98	2	0.06475495713	0.01113456658	99.32706402	0.672935984	97.90710723	2.092892775			0	0	-922.8818662	0.01113456658	-944.477091152589	
922.8018662	98	2	0.07507374626	0.011050439	99.32202801	0.6779719928	97.89129702	2.108702979			0	0	-922.8018662	0.011050439	-958.159571312573	
922.7218662	98	2	0.08520202919	0.01096756108	99.31699265	0.6830073527	97.87548722	2.124512776			0	0	-922.7218662	0.01096756108	-972.555515359803	
922.6418662	98	2	0.09514470515	0.0108859058	99.31195793	0.6880420654	97.85967784	2.140322159			0	0	-922.6418662	0.0108859058	-987.061317535856	
922.5618662	98	2	0.1049065122	0.01080544612	99.30692387	0.6930761327	97.84386888	2.15613112			0	0	-922.5618662	0.01080544612	-1001.67318537747	
922.4818662	98	2	0.114492034	0.01072615594	99.30189044	0.6981095563	97.82806035	2.17193965			0	0	-922.4818662	0.01072615594	-1016.39191649493	
922.4018662	98	2	0.1239057054	0.0106480099	99.29685766	0.703142338	97.81225226	2.187747742			0	0	-922.4018662	0.0106480099	-1031.21741858629	
922.3218662	98	2	0.1331518189	0.01057098337	99.29182552	0.7081744793	97.79644461	2.203555388			0	0	-922.3218662	0.01057098337	-1046.14974512167	
922.2418662	98	2	0.14223453	0.01049505243	99.28679402	0.7132059821	97.78063742	2.219362579			0	0	-922.2418662	0.01049505243	-1061.18881592597	
922.1618662	98	2	0.1511578624	0.01042019382	99.28176315	0.7182368479	97.76483069	2.235169308			0	0	-922.1618662	0.01042019382	-1076.33461758726	
922.0818662	98	2	0.1599257129	0.01034638495	99.27673292	0.7232670787	97.74902443	2.250975568			0	0	-922.0818662	0.01034638495	-1091.58717298658	
922.0018662	98	2	0.1685418569	0.01027360385	99.27170332	0.728296676	97.73321865	2.266781349			0	0	-922.0018662	0.01027360385	-1106.94647887817	
921.9218662	98	2	0.1770099524	0.01020182917	99.26667436	0.7333256416	97.71741336	2.282586644			0	0	-921.9218662	0.01020182917	-1122.41254605611	
