T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
857.7304895	84	9	7	0	0	97.64754072	1.848565579	0.5038936964	84	9	7	0.002390947225	-0.001252872944	-0.001138074281	-857.7304895	0	28.3643032950513	
857.7204895	84	9	7	0.0001744209918	0.0001753262577	97.6473655	1.848685776	0.5039487225	83.99760898	9.001253002	7.001138018	0	0	0	-857.7204895	0.0001753262577	85.7087412240631	
857.7004895	84	9	7	0.0005227818794	0.0003502749704	97.64701516	1.848926058	0.5040587845	83.9928269	9.00375882	7.003414283	0	0	0	-857.7004895	0.0003502749704	114.324472259748	
857.6604895	84	9	7	0.001218903811	0.0007001241603	97.64631461	1.849406511	0.5042788801	83.98326164	9.008770997	7.007967367	0	0	0	-857.6604895	0.0007001241603	114.390527348096	
857.5804895	84	9	7	0.002608757552	0.0013988052	97.64491508	1.850366057	0.5047188599	83.96412716	9.018797172	7.017075668	0	0	0	-857.5804895	0.0013988052	114.619900906023	
857.4204895	84	9	7	0.005378938291	0.002791853294	97.64212156	1.852280386	0.5055980523	83.92584241	9.0388568	7.035300787	0	0	0	-857.4204895	0.002791853294	115.094094145849	
857.1004895	84	9	7	0.01088146463	0.005560803726	97.63655661	1.856090022	0.5073533665	83.84920973	9.079005222	7.071785052	0	0	0	-857.1004895	0.005560803726	116.12405975152	
856.4604895	84	9	7	0.02172397669	0.01102053204	97.62551689	1.863630513	0.5108526017	83.6956952	9.159408809	7.144895988	0	0	0	-856.4604895	0.01102053204	118.237712618796	
855.1804895	84	9	7	0.04280710273	0.02166780306	97.60379178	1.878404645	0.5178035729	83.38765937	9.320667975	7.29167266	0	0	0	-855.1804895	0.02166780306	122.366785372226	
852.6204895	84	9	7	0.08270613868	0.04191273659	97.56174272	1.906742983	0.5315142987	82.76756957	9.645012284	7.587418147	0	0	0	-852.6204895	0.04191273659	-2200.9070569027	
850.0604895	84	9	7	0.1197993669	0.0406687489	97.52151188	1.933529778	0.5449583392	82.14210851	9.971923693	7.885967797	0	0	0	-850.0604895	0.0406687489	-2121.37722832762	
847.5004895	84	9	7	0.154357928	0.03949511856	97.48306644	1.958798406	0.5581351514	81.5113018	10.30141636	8.187281831	0	0	0	-847.5004895	0.03949511856	-2247.18230660839	
844.9404895	84	9	7	0.1866206413	0.03838662483	97.44637338	1.982582688	0.5710439281	80.87519004	10.6334957	8.491314259	0	0	0	-844.9404895	0.03838662483	-2376.2370717833	
842.3804895	84	9	7	0.2167973536	0.03733721802	97.41139947	2.004916774	0.5836837528	80.23382731	10.96815819	8.7980145	0	0	0	-842.3804895	0.03733721802	-2506.92610135402	
839.8204895	84	9	7	0.2450731281	0.03634146933	97.37811129	2.025835147	0.5960535626	79.58728247	11.30539087	9.107326655	0	0	0	-839.8204895	0.03634146933	-2638.8359261051	
837.2604895	84	9	7	0.2716117564	0.03539451862	97.34647523	2.045372644	0.6081521305	78.93563984	11.64517111	9.41918905	0	0	0	-837.2604895	0.03539451862	-2771.56546482123	
834.7004895	84	9	7	0.2965586965	0.03449200386	97.31645747	2.063564478	0.6199780492	78.2789998	11.98746636	9.733533837	0	0	0	-834.7004895	0.03449200386	-2904.70479659626	
