T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
910.6556561	96	4	0.1585343084	0.005111752223	98.56395787	1.436042134	95.500067	4.499933001			0	0	-910.6556561	0.005111752223	-4358.90332978191	
910.5756561	96	4	0.1628059118	0.005093462531	98.55900133	1.440998674	95.48440667	4.515593328			0	0	-910.5756561	0.005093462531	-4371.98132880204	
910.4956561	96	4	0.1670405061	0.005075155527	98.55404518	1.445954823	95.46874831	4.531251689			0	0	-910.4956561	0.005075155527	-4420.53084373684	
910.4156561	96	4	0.171238775	0.005057258499	98.54908942	1.450910583	95.45309105	4.546908952			0	0	-910.4156561	0.005057258499	-4467.94240100509	
910.3356561	96	4	0.1754010391	0.005039344844	98.54413404	1.455865955	95.43743532	4.562564677			0	0	-910.3356561	0.005039344844	-4481.32727583678	
910.2556561	96	4	0.1795277302	0.005021553947	98.53917906	1.460820942	95.42178114	4.578218858			0	0	-910.2556561	0.005021553947	-4512.19461671453	
910.1756561	96	4	0.1836192735	0.005003884548	98.53422446	1.465775544	95.40612851	4.593871488			0	0	-910.1756561	0.005003884548	-4543.1667210299	
910.0956561	96	4	0.1876760877	0.0049863354	98.52927024	1.470729763	95.39047744	4.609522561			0	0	-910.0956561	0.0049863354	-4574.24342971866	
910.0156561	96	4	0.1916985849	0.004968905276	98.5243164	1.475683602	95.37482793	4.62517207			0	0	-910.0156561	0.004968905276	-4605.42503057009	
909.9356561	96	4	0.1956871712	0.004951592965	98.51936294	1.480637061	95.35917999	4.640820008			0	0	-909.9356561	0.004951592965	-4636.71110204452	
909.8556561	96	4	0.1996422464	0.00493439727	98.51440986	1.485590143	95.34353363	4.65646637			0	0	-909.8556561	0.00493439727	-4668.10169773281	
909.7756561	96	4	0.2035642042	0.004917317013	98.50945715	1.490542848	95.32788885	4.672111149			0	0	-909.7756561	0.004917317013	-4699.59707192409	
909.6956561	96	4	0.2074534326	0.004900351031	98.50450482	1.49549518	95.31224566	4.687754339			0	0	-909.6956561	0.004900351031	-4731.1970165421	
909.6156561	96	4	0.2113103134	0.004883498176	98.49955286	1.500447138	95.29660407	4.703395933			0	0	-909.6156561	0.004883498176	-4762.90153107544	
909.5356561	96	4	0.2151352229	0.004866757316	98.49460127	1.505398726	95.28096408	4.719035924			0	0	-909.5356561	0.004866757316	-4794.71068593896	
909.4556561	96	4	0.2189285319	0.004850127334	98.48965006	1.510349944	95.26532569	4.734674307			0	0	-909.4556561	0.004850127334	-4826.62448594809	
909.3756561	96	4	0.2226906055	0.004833607128	98.48469921	1.515300795	95.24968893	4.750311074			0	0	-909.3756561	0.004833607128	-4858.64271086348	
909.2956561	96	4	0.2264218035	0.004817195609	98.47974872	1.520251279	95.23405378	4.765946221			0	0	-909.2956561	0.004817195609	-4890.76536127856	
909.2156561	96	4	0.2301224802	0.004800891704	98.4747986	1.525201399	95.21842026	4.78157974			0	0	-909.2156561	0.004800891704	-4922.9928056959	
909.1356561	96	4	0.2337929848	0.004784694355	98.46984884	1.530151156	95.20278838	4.797211624			0	0	-909.1356561	0.004784694355	-4955.32488656772	
909.0556561	96	4	0.2374336615	0.004768602516	98.46489945	1.535100552	95.18715813	4.812841869			0	0	-909.0556561	0.004768602516	-4987.76152172301	
908.9756561	96	4	0.2410448493	0.004752615156	98.45995041	1.540049588	95.17152953	4.828470467			0	0	-908.9756561	0.004752615156	-5020.302523931	
908.8956561	96	4	0.2446268822	0.004736731255	98.45500173	1.544998267	95.15590259	4.844097412			0	0	-908.8956561	0.004736731255	-5052.94794521489	
908.8156561	96	4	0.2481800896	0.004720949809	98.45005341	1.549946589	95.1402773	4.859722697			0	0	-908.8156561	0.004720949809	-5085.69821729899	
908.7356561	96	4	0.2517047959	0.004705269827	98.44510544	1.554894557	95.12465368	4.875346318			0	0	-908.7356561	0.004705269827	-5118.55288185424	
908.6556561	96	4	0.2552013209	0.004689690328	98.44015783	1.559842172	95.10903173	4.890968267			0	0	-908.6556561	0.004689690328	-5151.5118746153	
908.5756561	96	4	0.2586699797	0.004674210346	98.43521056	1.564789436	95.09341146	4.906588537			0	0	-908.5756561	0.004674210346	-5184.57568588921	
908.4956561	96	4	0.2621110831	0.004658828928	98.43026365	1.56973635	95.07779288	4.922207124			0	0	-908.4956561	0.004658828928	-5217.7437022834	
908.4156561	96	4	0.2655249372	0.004643545129	98.42531708	1.574682915	95.06217598	4.937824021			0	0	-908.4156561	0.004643545129	-5251.01624121578	
908.3356561	96	4	0.2689118439	0.004628358022	98.42037086	1.579629135	95.04656078	4.95343922			0	0	-908.3356561	0.004628358022	-5284.3936597417	
908.2556561	96	4	0.2722721007	0.004613266688	98.41542499	1.58457501	95.03094728	4.969052718			0	0	-908.2556561	0.004613266688	-5317.87519211664	
908.1756561	96	4	0.2756060011	0.004598270219	98.41047946	1.589520542	95.01533549	4.984664506			0	0	-908.1756561	0.004598270219	-5351.46117379567	
908.0956561	96	4	0.2789138341	0.004583367721	98.40553427	1.594465732	94.99972542	5.000274579			0	0	-908.0956561	0.004583367721	-5385.15182661434	
908.0156561	96	4	0.282195885	0.00456855831	98.40058942	1.599410583	94.98411707	5.015882931			0	0	-908.0156561	0.00456855831	-5418.94691034231	
907.9356561	96	4	0.2854524348	0.004553841113	98.3956449	1.604355096	94.96851044	5.031489556			0	0	-907.9356561	0.004553841113	-5452.84642127069	
907.8556561	96	4	0.2886837607	0.004539215268	98.39070073	1.609299272	94.95290555	5.047094447			0	0	-907.8556561	0.004539215268	-5486.85042048472	
907.7756561	96	4	0.2918901362	0.004524679924	98.38575689	1.614243113	94.9373024	5.062697598			0	0	-907.7756561	0.004524679924	-5520.95865090158	
907.6956561	96	4	0.2950718305	0.004510234239	98.38081338	1.619186621	94.921701	5.078299004			0	0	-907.6956561	0.004510234239	-5555.17150202913	
907.6156561	96	4	0.2982291097	0.004495877385	98.3758702	1.624129797	94.90610134	5.093898658			0	0	-907.6156561	0.004495877385	-5589.48882945117	
907.5356561	96	4	0.3013622358	0.00448160854	98.37092736	1.629072644	94.89050345	5.109496555			0	0	-907.5356561	0.00448160854	-5623.91058366438	
907.4556561	96	4	0.3044714673	0.004467426896	98.36598484	1.634015162	94.87490731	5.125092687			0	0	-907.4556561	0.004467426896	-5658.43673616317	
907.3756561	96	4	0.3075570591	0.004453331651	98.36104265	1.638957353	94.85931295	5.14068705			0	0	-907.3756561	0.004453331651	-5693.06735923702	
907.2956561	96	4	0.3106192627	0.004439322017	98.35610078	1.64389922	94.84372036	5.156279636			0	0	-907.2956561	0.004439322017	-5727.80234314435	
907.2156561	96	4	0.3136583262	0.004425397211	98.35115924	1.648840763	94.82812956	5.171870441			0	0	-907.2156561	0.004425397211	-5762.64167993681	
