T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
868.4738353	87	6	7	0	0	98.15109163	1.238602339	0.6103060309	87	6	7	0.002155538041	-0.0009203896686	-0.001235148372	-868.4738353	0	25.8190043999888	
868.4638353	87	6	7	0.0001928329029	0.0001933410909	98.1509155	1.238688722	0.6103957746	86.99784542	6.000920044	7.001234532	0	0	0	-868.4638353	0.0001933410909	77.6251207307948	
868.4438353	87	6	7	0.000578261445	0.0003865566081	98.15056327	1.238861498	0.6105752304	86.99353318	6.002761307	7.003705509	0	0	0	-868.4438353	0.0003865566081	103.564524433289	
868.4038353	87	6	7	0.001348175344	0.0007723936873	98.14985914	1.239206717	0.6109341434	86.98491005	6.006443261	7.008646687	0	0	0	-868.4038353	0.0007723936873	103.721658914689	
868.3238353	87	6	7	0.002884983689	0.001542932689	98.14845183	1.239896266	0.6116519005	86.96766126	6.013808166	7.018530575	0	0	0	-868.3238353	0.001542932689	103.948583475627	
868.1638353	87	6	7	0.005946572689	0.003078470857	98.1456423	1.241270757	0.6130869442	86.93315355	6.028541983	7.038304469	0	0	0	-868.1638353	0.003078470857	104.449692538149	
867.8438353	87	6	7	0.01202203983	0.006127556923	98.14004251	1.244002189	0.6159553049	86.86409762	6.058025704	7.077876679	0	0	0	-867.8438353	0.006127556923	105.539925679142	
867.2038353	87	6	7	0.02396894518	0.01212560235	98.12892113	1.249392958	0.6216859167	86.72582772	6.117049172	7.15712311	0	0	0	-867.2038353	0.01212560235	107.779413760407	
865.9238353	87	6	7	0.04711006362	0.02377540006	98.10698582	1.259893161	0.6331210207	86.44864213	6.235343993	7.316013873	0	0	0	-865.9238353	0.02377540006	112.162986835477	
863.3638353	87	6	7	0.0905840186	0.04575289575	98.06432668	1.279787214	0.6558861108	85.89168093	6.472957323	7.635361751	0	0	0	-863.3638353	0.04575289575	-1739.40781503827	
860.8038353	87	6	7	0.1306230454	0.04415757273	98.02324576	1.298246059	0.6785081835	85.33123247	6.712016257	7.956751269	0	0	0	-860.8038353	0.04415757273	-1665.49576518365	
