T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
799.6982021	91	9	0.5782801381	0.01864693538	97.06940881	2.930591189	81.17083241	18.82916759	0	0	-799.6982021	0.01864693538	-6739.37645192024	
797.1382021	91	9	0.586035227	0.01827465654	97.00380807	2.996191933	80.87610555	19.12389445	0	0	-797.1382021	0.01827465654	-7023.10179948436	
794.5782021	91	9	0.5934995244	0.01791730245	96.93775496	3.06224504	80.58307509	19.41692491	0	0	-794.5782021	0.01791730245	-7313.8600001323	
792.0182021	91	9	0.6006894576	0.01757404848	96.87124428	3.128755723	80.29170669	19.70829331	0	0	-792.0182021	0.01757404848	-7611.73597883961	
789.4582021	91	9	0.6076202471	0.01724412889	96.80427078	3.195729223	80.00196671	19.99803329	0	0	-789.4582021	0.01724412889	-7916.81710176504	
786.8982021	91	9	0.6143060148	0.01692683177	96.73682919	3.263170807	79.71382219	20.28617781	0	0	-786.8982021	0.01692683177	-8229.19294909403	
784.3382021	91	9	0.6207598807	0.01662149438	96.66891423	3.331085774	79.4272408	20.5727592	0	0	-784.3382021	0.01662149438	-8548.95544158187	
781.7782021	91	9	0.6269940499	0.01632749906	96.60052055	3.399479453	79.14219087	20.85780913	0	0	-781.7782021	0.01632749906	-8876.19866680701	
779.2182021	91	9	0.6330198907	0.01604426944	96.5316428	3.468357204	78.85864134	21.14135866	0	0	-779.2182021	0.01604426944	-9211.01983388045	
776.6582021	91	9	0.6388480045	0.01577126716	96.46227558	3.537724425	78.57656179	21.42343821	0	0	-776.6582021	0.01577126716	-9553.5185514298	
774.0982021	91	9	0.6444882894	0.01550798873	96.39241345	3.607586548	78.29592238	21.70407762	0	0	-774.0982021	0.01550798873	-9903.79755563756	
771.5382021	91	9	0.649949997	0.01525396287	96.32205096	3.677949042	78.01669387	21.98330613	0	0	-771.5382021	0.01525396287	-10261.9629680328	
768.9782021	91	9	0.6552417842	0.01500874794	96.25118258	3.748817418	77.73884758	22.26115242	0	0	-768.9782021	0.01500874794	-10628.123566707	
766.4182021	91	9	0.6603717603	0.0147719297	96.17980278	3.820197224	77.4623554	22.5376446	0	0	-766.4182021	0.0147719297	-11002.3925740626	
763.8582021	91	9	0.665347529	0.01454311926	96.10790595	3.892094053	77.18718978	22.81281022	0	0	-763.8582021	0.01454311926	-11384.8866929969	
761.2982021	91	9	0.6701762273	0.01432195117	96.03548646	3.964513539	76.91332366	23.08667634	0	0	-761.2982021	0.01432195117	-11775.7258406903	
758.7382021	91	9	0.6748645607	0.0141080817	95.96253864	4.037461362	76.64073055	23.35926945	0	0	-758.7382021	0.0141080817	-12175.0344639108	
756.1782021	91	9	0.679418835	0.01390118729	95.88905675	4.11094325	76.36938444	23.63061556	0	0	-756.1782021	0.01390118729	-12582.9424412975	
753.6182021	91	9	0.6838449856	0.01370096313	95.81503503	4.184964975	76.09925981	23.90074019	0	0	-753.6182021	0.01370096313	-12999.5834517209	
751.0582021	91	9	0.6881486043	0.0135071218	95.74046764	4.259532359	75.83033162	24.16966838	0	0	-751.0582021	0.0135071218	-13425.0959605009	
748.4982021	91	9	0.6923349637	0.0133193921	95.66534872	4.334651277	75.56257533	24.43742467	0	0	-748.4982021	0.0133193921	-13859.623961677	
745.9382021	91	9	0.6964090394	0.01313751792	95.58967235	4.410327652	75.29596681	24.70403319	0	0	-745.9382021	0.01313751792	-14303.316507977	
743.3782021	91	9	0.7003755309	0.01296125723	95.51343254	4.486567461	75.0304824	24.9695176	0	0	-743.3782021	0.01296125723	-14756.329952457	
740.8182021	91	9	0.7042388801	0.01279038117	95.43662326	4.563376735	74.76609887	25.23390113	0	0	-740.8182021	0.01279038117	-15218.8255534339	
738.2582021	91	9	0.7080032889	0.01262467313	95.35923844	4.640761562	74.5027934	25.4972066	0	0	-738.2582021	0.01262467313	-15690.9708685587	
735.6982021	91	9	0.7116727352	0.012463928	95.28127192	4.718728083	74.2405436	25.7594564	0	0	-735.6982021	0.012463928	-16172.9416965601	
