T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
897.7625726	93	7	0	0	97.76906946	2.23093054	93	7	0.001917513317	-0.001917513317	-897.7625726	0	12.3880974456026	
897.7525726	93	7	0.0003999867598	0.0004020769181	97.76845518	2.231544818	92.99808236	7.001917639	0	0	-897.7525726	0.0004020769181	37.3536288253087	
897.7325726	93	7	0.001199087442	0.0008035428603	97.76722662	2.232773382	92.99424731	7.005752693	0	0	-897.7325726	0.0008035428603	49.8405988197181	
897.6925726	93	7	0.002794296864	0.001605356896	97.7647692	2.235230804	92.98657756	7.01342244	0	0	-897.6925726	0.001605356896	49.9444929077446	
897.6125726	93	7	0.005972438719	0.003203460802	97.75985475	2.24014525	92.97124122	7.028758776	0	0	-897.6125726	0.003203460802	50.1658359324568	
897.4525726	93	7	0.01228138404	0.006379480846	97.75002623	2.249973771	92.9405745	7.059425501	0	0	-897.4525726	0.006379480846	50.6334209770584	
897.1325726	93	7	0.02469794471	0.01263710442	97.7303708	2.269629198	92.87927048	7.120729524	0	0	-897.1325726	0.01263710442	51.6047847047387	
896.4925726	93	7	0.04878170195	0.02482418964	97.69106554	2.308934462	92.75677968	7.243220317	0	0	-896.4925726	0.02482418964	53.5027739834701	
895.2125726	93	7	0.09413966244	0.04793849858	97.61247495	2.387525054	92.51227575	7.487724245	0	0	-895.2125726	0.04793849858	57.4970265198085	
892.6525726	93	7	0.1749405792	0.08968271633	97.45535054	2.54464946	92.025235	7.974765005	0	0	-892.6525726	0.08968271633	-540.431984393228	
890.0925726	93	7	0.243945441	0.08412053592	97.29826166	2.701738344	91.54092502	8.459074979	0	0	-890.0925726	0.08412053592	-490.168774789782	
887.5325726	93	7	0.3034342939	0.07916709193	97.14115713	2.858842868	91.05945451	8.940545491	0	0	-887.5325726	0.07916709193	-548.86919478217	
884.9725726	93	7	0.3551554774	0.07473461166	96.98398823	3.016011766	90.58092415	9.41907585	0	0	-884.9725726	0.07473461166	-611.375144953211	
882.4125726	93	7	0.4004649681	0.07074588985	96.82670637	3.173293627	90.10542094	9.894579055	0	0	-882.4125726	0.07074588985	-677.408038880967	
879.8525726	93	7	0.4404288369	0.06713825095	96.66926352	3.330736478	89.63301995	10.36698005	0	0	-879.8525726	0.06713825095	-747.011941016377	
877.2925726	93	7	0.4758955986	0.06386039801	96.51161219	3.488387813	89.16378483	10.83621517	0	0	-877.2925726	0.06386039801	-820.246852219026	
874.7325726	93	7	0.5075481398	0.06086993109	96.35370538	3.646294624	88.69776854	11.30223146	0	0	-874.7325726	0.06086993109	-897.178700017755	
872.1725726	93	7	0.5359416005	0.05813148852	96.19549656	3.804503436	88.23501387	11.76498613	0	0	-872.1725726	0.05813148852	-977.879056754396	
869.6125726	93	7	0.5615314216	0.05561533591	96.03693965	3.963060349	87.77555418	12.22444582	0	0	-869.6125726	0.05561533591	-1062.42487262242	
867.0525726	93	7	0.5846943904	0.05329628211	95.87798892	4.122011079	87.31941398	12.68058602	0	0	-867.0525726	0.05329628211	-1150.8982407035	
864.4925726	93	7	0.6057446282	0.05115283701	95.718599	4.281400999	86.86660963	13.13339037	0	0	-864.4925726	0.05115283701	-1243.38621558931	
861.9325726	93	7	0.6249458734	0.0491665506	95.55872481	4.441275192	86.41714995	13.58285005	0	0	-861.9325726	0.0491665506	-1339.98067599634	
859.3725726	93	7	0.642521016	0.04732148928	95.39832151	4.60167849	85.97103681	14.02896319	0	0	-859.3725726	0.04732148928	-1440.77825382942	
856.8125726	93	7	0.6586595702	0.04560381736	95.23734447	4.762655533	85.52826577	14.47173423	0	0	-856.8125726	0.04560381736	-1545.88030931228	
854.2525726	93	7	0.6735235838	0.04400145979	95.07574919	4.924250811	85.08882661	14.91117339	0	0	-854.2525726	0.04400145979	-1655.39298826418	
851.6925726	93	7	0.687252349	0.04250382839	94.91349128	5.086508722	84.65270387	15.34729613	0	0	-851.6925726	0.04250382839	-1769.42736083604	
