T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
863.1560745	88	2	10	0	0	98.48223584	0.3493183077	1.168445848	88	2	10				0.001617986541	-0.0002547938892	-0.001363192652				-863.1560745	0	32.1798656126027	
863.1460745	88	2	10	0.000154762723	0.0001544895211	98.48204992	0.3493296988	1.168620383	87.99838212	2.000254795	10.00136309				0	0	0				-863.1460745	0.0001544895211	97.2787530534229	
863.1260745	88	2	10	0.0004638520604	0.0003086272572	98.48167809	0.3493524208	1.168969487	87.9951461	2.000764399	10.0040895				0	0	0				-863.1260745	0.0003086272572	129.756330930185	
863.0860745	88	2	10	0.001081473975	0.0006168866807	98.48093447	0.3493978187	1.16966771	87.98867458	2.001783575	10.00954185				0	0	0				-863.0860745	0.0006168866807	129.840602770801	
863.0060745	88	2	10	0.002314569965	0.001232272024	98.47944739	0.3494883321	1.17106428	87.97573265	2.003821944	10.0204454				0	0	0				-863.0060745	0.001232272024	130.141621107621	
862.8460745	88	2	10	0.004772255695	0.002459037769	98.47647383	0.3496682795	1.173857887	87.94985331	2.007898719	10.04224797				0	0	0				-862.8460745	0.002459037769	130.717794527018	
862.5260745	88	2	10	0.009653859704	0.004896186612	98.47052936	0.3500236218	1.179447014	87.8981126	2.016052434	10.08583497				0	0	0				-862.5260745	0.004896186612	131.97769436401	
861.8860745	88	2	10	0.01927323555	0.009696999951	98.4586508	0.3507161735	1.190633029	87.79470405	2.032359367	10.17293659				0	0	0				-861.8860745	0.009696999951	134.559901826415	
860.6060745	88	2	10	0.03797818077	0.01904067279	98.43493373	0.35203016	1.213036108	87.58817256	2.064975275	10.34685217				0	0	0				-860.6060745	0.01904067279	139.630073618442	
858.0460745	88	2	10	0.0733836115	0.03674109908	98.38765149	0.3543805961	1.257967917	87.17623981	2.130223702	10.69353649				0	0	0				-858.0460745	0.03674109908	-2161.72067758406	
