T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
889.2006618	88	7	5	0	0	97.09339009	0.1085067549	2.798103158	88	7	5							0.00188637531	-0.001429639759	-0.0004567355511	-889.2006618	0	48.1930092862369	
889.1806618	88	7	5	0.0004057986748	0.000414780925	97.09289471	0.1085325528	2.798572733	87.99622766	7.002858913	5.000913424							0	0	0	-889.1806618	0.000414780925	48.2434408710688	
889.1606618	88	7	5	0.000811183655	0.0008291287087	97.09239949	0.1085583604	2.799042146	87.99245552	7.005718127	5.001826353							0	0	0	-889.1606618	0.0008291287087	48.2867017099306	
889.1206618	88	7	5	0.001621074832	0.001656895244	97.09140935	0.1086099517	2.799980696	87.98491367	7.011435235	5.003651099							0	0	0	-889.1206618	0.001656895244	48.3625943162038	
889.0406618	88	7	5	0.003236992553	0.003308355428	97.08943043	0.1087130916	2.801856482	87.96983782	7.022866406	5.00729577							0	0	0	-889.0406618	0.003308355428	48.5218115563301	
888.8806618	88	7	5	0.006453458764	0.006595079374	97.08547798	0.1089192029	2.805602813	87.9397175	7.045716615	5.014565883							0	0	0	-888.8806618	0.006595079374	48.8687821034747	
888.5606618	88	7	5	0.01281512815	0.01309377086	97.07760181	0.1093321736	2.813066017	87.87956266	7.091422189	5.029015154							0	0	0	-888.5606618	0.01309377086	49.5798091881576	
887.9206618	88	7	5	0.02529168264	0.02583148014	97.06194179	0.1101569552	2.827901257	87.75970713	7.182696365	5.057596501							0	0	0	-887.9206618	0.02583148014	50.9543677066604	
886.6406618	88	7	5	0.04928437902	0.05029733351	97.03099829	0.1118053666	2.857196348	87.52168976	7.364823634	5.113486605							0	0	0	-886.6406618	0.05029733351	53.8025036152242	
884.0806618	88	7	5	0.09378378409	0.0955672714	96.9705565	0.115101161	2.914342343	87.05212213	7.72749591	5.220381956							0	0	0	-884.0806618	0.0955672714	59.651436147451	
881.5206618	88	7	5	0.1342004543	0.1365536935	96.91195015	0.1184040156	2.969645832	86.59057844	8.088321804	5.321099754							0	0	0	-881.5206618	0.1365536935	65.6833814386105	
