T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
872.4239162	78	20	2	0	0	97.9923764	1.072787751	0.9348358453	78	20	2							0.002439239241	-0.00230928229	-0.0001299569512	-872.4239162	0	81.8677302987011	
872.4039162	78	20	2	0.0002643321659	0.0002440956381	97.99202837	1.073082837	0.9348887893	77.99512188	20.00461814	2.00025998							0	0	0	-872.4039162	0.0002440956381	82.0024654627512	
872.3839162	78	20	2	0.0005282306457	0.0004877908692	97.99168036	1.073377993	0.9349416426	77.99024493	20.00923537	2.000519699							0	0	0	-872.3839162	0.0004877908692	82.0888728781528	
872.3439162	78	20	2	0.001055658291	0.0009748405424	97.99098436	1.073968143	0.9350474967	77.98049494	20.01846592	2.001039139							0	0	0	-872.3439162	0.0009748405424	82.1787922211727	
872.2639162	78	20	2	0.002108528679	0.001947107965	97.98959246	1.075148256	0.9352592817	77.96101008	20.03691284	2.002077079							0	0	0	-872.2639162	0.001947107965	82.3909361563619	
872.1039162	78	20	2	0.004205947749	0.00388396241	97.9868091	1.077507653	0.9356832484	77.92210083	20.0737498	2.004149366							0	0	0	-872.1039162	0.00388396241	82.8273557698211	
871.7839162	78	20	2	0.008367811273	0.007727239124	97.98124409	1.082223168	0.9365327445	77.84452303	20.14719736	2.008279613							0	0	0	-871.7839162	0.007727239124	83.7953190214435	
871.1439162	78	20	2	0.01653654991	0.01527071338	97.97012157	1.091649991	0.9382284392	77.69031053	20.29322397	2.016465499							0	0	0	-871.1439162	0.01527071338	85.7918913229379	
869.8639162	78	20	2	0.03235354491	0.0298772395	97.94790241	1.11046279	0.9416347992	77.38563964	20.58176511	2.032595252							0	0	0	-869.8639162	0.0298772395	89.6617650105308	
