T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
856.3999585	89	8	3	0.5847884839	0.5740447536	97.32787266	0.4935255134	2.178601826	77.77675042	18.11628168	4.1069679										0	0	0	-856.3999585	0.5740447536	234.971329005071	
853.8399585	89	8	3	0.5957708888	0.5846141824	97.29749812	0.5077922907	2.194709585	77.32203173	18.54460341	4.133364852										0	0	0	-853.8399585	0.5846141824	250.091943336759	
851.2799585	89	8	3	0.606112957	0.5945556408	97.26748679	0.5221571436	2.210356068	76.87625128	18.96579264	4.157956078										0	0	0	-851.2799585	0.5945556408	265.557189910208	
848.7199585	89	8	3	0.6158739636	0.6039279173	97.2378099	0.53662465	2.225565448	76.43898929	19.38015956	4.180851143										0	0	0	-848.7199585	0.6039279173	281.35601255378	
846.1599585	89	8	3	0.6251059571	0.6127825988	97.20844089	0.5511990497	2.240360061	76.00985548	19.78799379	4.20215073										0	0	0	-846.1599585	0.6127825988	297.477537869275	
843.5999585	89	8	3	0.6338548354	0.6211651454	97.17935512	0.5658842925	2.254760592	75.58848643	20.18956605	4.22194752										0	0	0	-843.5999585	0.6211651454	313.911051820316	
841.0399585	89	8	3	0.6421612349	0.6291157786	97.15052969	0.5806840779	2.268786235	75.17454329	20.58512974	4.240326971										0	0	0	-841.0399585	0.6291157786	330.645976940325	
838.4799585	89	8	3	0.6500612693	0.6366702194	97.12194328	0.5956018903	2.282454834	74.76770962	20.97492237	4.257368011										0	0	0	-838.4799585	0.6366702194	347.671853201019	
835.9199585	89	8	3	0.6575871475	0.643860305	97.09357597	0.6106410291	2.295783005	74.3676895	21.35916685	4.273143655										0	0	0	-835.9199585	0.643860305	364.978318394347	
833.3599585	89	8	3	0.6647676927	0.6507145068	97.06540912	0.6258046346	2.30878625	73.97420582	21.73807263	4.287721548										0	0	0	-833.3599585	0.6507145068	382.555103874239	
830.7999585	89	8	3	0.6716287804	0.6572583671	97.03742524	0.641095711	2.32147905	73.58699871	22.11183684	4.301164456										0	0	0	-830.7999585	0.6572583671	400.392010571748	
