T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
C	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
622.9355639	85	14	1	0	0	98.51058473	0.9414656135	0.5479496563	85	14	1	0.003466787247	-0.003350790132	-0.0001159971147	-896.0855639	0	38.952037649093	
622.9155639	85	14	1	0.0005466625627	0.0005130734198	98.51011195	0.9419382088	0.547949839	84.99306667	14.0067013	1.00023203	0	0	0	-896.0655639	0.0005130734198	39.0095141606966	
622.8955639	85	14	1	0.001092517925	0.00102539199	98.5096392	0.9424107959	0.5479500088	84.98613468	14.01340133	1.000463989	0	0	0	-896.0455639	0.00102539199	39.0550257073773	
622.8555639	85	14	1	0.002182812081	0.002048707898	98.50869368	0.9433558786	0.5479504386	84.97227413	14.02679791	1.000927956	0	0	0	-896.0055639	0.002048707898	39.128321519954	
622.7755639	85	14	1	0.004356753039	0.004089134004	98.50680272	0.9452457467	0.5479515297	84.94456732	14.05357685	1.001855828	0	0	0	-895.9255639	0.004089134004	39.287312888122	
622.6155639	85	14	1	0.008678205815	0.008145314129	98.50302107	0.9490242943	0.547954636	84.88921102	14.10707767	1.003711302	0	0	0	-895.7655639	0.008145314129	39.6571798801493	
622.2955639	85	14	1	0.01718534277	0.01613074656	98.49545987	0.956580612	0.5479595171	84.77873713	14.21385154	1.007411331	0	0	0	-895.4455639	0.01613074656	40.4270416921122	
621.6555639	85	14	1	0.03376534882	0.03169600902	98.48034242	0.9716784764	0.5479791078	84.55872629	14.42647725	1.014796469	0	0	0	-894.8055639	0.03169600902	41.880953459903	
620.3755639	85	14	1	0.06522335057	0.06123644344	98.45012766	1.001824617	0.5480477226	84.12252628	14.84799074	1.029482985	0	0	0	-893.5255639	0.06123644344	44.9624689264754	
617.8155639	85	14	1	0.1220897272	0.1146652087	98.38976432	1.061924906	0.5483107695	83.26580623	15.6756926	1.058501165	0	0	0	-890.9655639	0.1146652087	51.437832286101	
615.2555639	85	14	1	0.1720161462	0.1616086579	98.32946409	1.121796045	0.5487398616	82.43060526	16.48240958	1.08698516	0	0	0	-888.4055639	0.1616086579	58.3077091484169	
612.6955639	85	14	1	0.2161478543	0.2031358982	98.26919697	1.181466843	0.549336186	81.61742657	17.26769055	1.114882876	0	0	0	-885.8455639	0.2031358982	65.675390450839	
610.1355639	85	14	1	0.2553956785	0.2400972679	98.20893353	1.240969461	0.5500970098	80.8265321	18.03131745	1.14215044	0	0	0	-883.2855639	0.2400972679	73.5448342948057	
607.5755639	85	14	1	0.2904969439	0.2731812528	98.14864439	1.300338163	0.5510174515	80.05796492	18.77328099	1.16875409	0	0	0	-880.7255639	0.2731812528	81.9136078793651	
605.0155639	85	14	1	0.322054341	0.302950746	98.08829994	1.359608941	0.552091114	79.31157747	19.49375286	1.194669668	0	0	0	-878.1655639	0.302950746	90.7756897516675	
602.4555639	85	14	1	0.3505647395	0.3298699246	98.02787025	1.41881914	0.5533106117	78.58706156	20.19305664	1.219881798	0	0	0	-875.6055639	0.3298699246	100.121628519413	
599.8955639	85	14	1	0.3764408819	0.354324482	97.96732491	1.4780071	0.5546679854	77.88397838	20.87163874	1.244382882	0	0	0	-873.0455639	0.354324482	109.938785589292	
597.3355639	85	14	1	0.4000279628	0.3766370891	97.90663313	1.537211846	0.5561550267	77.20178671	21.53004128	1.268172011	0	0	0	-870.4855639	0.3766370891	120.211621867662	
594.7755639	85	14	1	0.4216164639	0.3970793626	97.84576365	1.596472823	0.557763524	76.53986862	22.16887748	1.291253893	0	0	0	-867.9255639	0.3970793626	130.940519398186	
592.2155639	85	14	1	0.4414474274	0.4158765148	97.78468415	1.655831805	0.559484046	75.8975512	22.78881391	1.313634887	0	0	0	-865.3655639	0.4158765148	142.061671967969	
589.6555639	85	14	1	0.4597403309	0.433234448	97.72336413	1.715324049	0.5613118258	75.27412843	23.39053734	1.33533422	0	0	0	-862.8055639	0.433234448	153.565409831526	
587.0955639	85	14	1	0.4766681869	0.4493148342	97.66177057	1.774991502	0.5632379279	74.66887316	23.97476248	1.356364355	0	0	0	-860.2455639	0.4493148342	165.458798287846	
584.5355639	85	14	1	0.4923845345	0.4642614554	97.59987093	1.834873621	0.5652554529	74.08105242	24.54220432	1.376743256	0	0	0	-857.6855639	0.4642614554	177.697358114904	
581.9755639	85	14	1	0.5070218008	0.4781983755	97.53763236	1.895009667	0.5673579681	73.50993705	25.09357252	1.396490431	0	0	0	-855.1255639	0.4781983755	190.254355708127	
579.4155639	85	14	1	0.5206946755	0.4912330879	97.47502179	1.955438698	0.5695395149	72.95480955	25.62956402	1.415626428	0	0	0	-852.5655639	0.4912330879	203.102062356979	
576.8555639	85	14	1	0.5335028826	0.5034591024	97.41200581	2.016199581	0.571794604	72.41496998	26.15085759	1.43417243	0	0	0	-850.0055639	0.5034591024	216.211905999355	
574.2955639	85	14	1	0.545533465	0.5149580776	97.34855076	2.077331036	0.5741182013	71.88974022	26.65810985	1.452149932	0	0	0	-847.4455639	0.5149580776	229.554616156852	
571.7355639	85	14	1	0.5568626781	0.5258015885	97.28462261	2.138871685	0.5765057081	71.37846695	27.15195257	1.469580479	0	0	0	-844.8855639	0.5258015885	243.100345749848	
569.1755639	85	14	1	0.5675575644	0.5360525974	97.22018694	2.20086012	0.5789529381	70.88052349	27.63299103	1.486485474	0	0	0	-842.3255639	0.5360525974	256.818768576316	
566.6155639	85	14	1	0.5776772707	0.5457666842	97.15520893	2.263334983	0.5814560912	70.39531092	28.10180306	1.502886019	0	0	0	-839.7655639	0.5457666842	270.679158269727	
564.0555639	85	14	1	0.5872741529	0.5549930788	97.08965322	2.326335056	0.5840117287	69.92225843	28.55893876	1.518802811	0	0	0	-837.2055639	0.5549930788	284.650459691566	
561.4955639	85	14	1	0.5963947067	0.563775531	97.0234839	2.38989935	0.586616747	69.4608233	29.00492064	1.534256059	0	0	0	-834.6455639	0.563775531	298.701340915179	
558.9355639	85	14	1	0.6050803548	0.5721530465	96.95666443	2.454067212	0.5892683535	69.0104904	29.44024417	1.549265433	0	0	0	-832.0855639	0.5721530465	312.800237177679	
556.3755639	85	14	1	0.6133681142	0.5801605115	96.88915753	2.518878426	0.5919640428	68.57077154	29.86537843	1.563850031	0	0	0	-829.5255639	0.5801605115	326.915423633535	
553.8155639	85	14	1	0.6212911638	0.5878292233	96.8209251	2.584373329	0.5947015759	68.14120464	30.280767	1.578028363	0	0	0	-826.9655639	0.5878292233	341.014875297691	
551.2555639	85	14	1	0.6288793373	0.5951873524	96.75192812	2.650592919	0.5974789587	67.72135226	30.68682937	1.591818365	0	0	0	-824.4055639	0.5951873524	355.066530308603	
548.6955639	85	14	1	0.6361595286	0.6022603213	96.68212659	2.717578983	0.6002944254	67.31080124	31.08396137	1.605237381	0	0	0	-821.8455639	0.6022603213	369.038259604634	
546.1355639	85	14	1	0.6431560576	0.6090711482	96.61147937	2.785374211	0.603146421	66.90916107	31.47253674	1.618302195	0	0	0	-819.2855639	0.6090711482	382.897702859093	
543.5755639	85	14	1	0.6498909776	0.615640735	96.53994408	2.854022332	0.6060335867	66.51606282	31.85290812	1.631029056	0	0	0	-816.7255639	0.615640735	396.612463363272	
541.0155639	85	14	1	0.656384343	0.6219881179	96.46747701	2.923568246	0.6089547468	66.13115812	32.22540818	1.643433701	0	0	0	-814.1655639	0.6219881179	410.150061245454	
