T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
923.2286675	95	4	1	0	0	98.99772652	0.231322897	0.7709505839	95	4	1										0.003987016154	-0.003758610828	-0.0002284053261	-923.2286675	0	10.0304136890513	
923.2086675	95	4	1	0.002020831449	0.00199099873	98.997231	0.2317290358	0.7710399684	94.99202594	4.007517295	1.000456768										0	0	0	-923.2086675	0.00199099873	10.0600059567532	
923.1886675	95	4	1	0.004035736694	0.003976157939	98.9967356	0.2321350737	0.7711293284	94.98405194	4.01503444	1.000913618										0	0	0	-923.1886675	0.003976157939	10.0920738130146	
923.1486675	95	4	1	0.008044948194	0.007926179495	98.99574548	0.2329469504	0.7713075739	94.96810407	4.030068952	1.001826975										0	0	0	-923.1486675	0.007926179495	10.1726075945469	
923.0686675	95	4	1	0.0159563427	0.01572076226	98.99377064	0.2345706563	0.7716587017	94.93621161	4.060141343	1.003647045										0	0	0	-923.0686675	0.01572076226	10.3381256024861	
922.9086675	95	4	1	0.0314461933	0.03098187889	98.98983326	0.2378153276	0.7723514153	94.87243169	4.120289751	1.007278561										0	0	0	-922.9086675	0.03098187889	10.6446720916301	
922.5886675	95	4	1	0.06110262821	0.06020033432	98.98201194	0.2442954742	0.7736925844	94.74489853	4.240604416	1.014497055										0	0	0	-922.5886675	0.06020033432	11.2894058265704	
921.9486675	95	4	1	0.1156443387	0.1139368195	98.96656665	0.2572181946	0.7762151522	94.48994803	4.481275959	1.028776015										0	0	0	-921.9486675	0.1139368195	12.6631686557739	
920.6686675	95	4	1	0.2087764735	0.2056974873	98.93637619	0.2829160296	0.7807077813	93.9806051	4.962605026	1.056789872										0	0	0	-920.6686675	0.2056974873	15.7601083409122	
918.1086675	95	4	1	0.3492593947	0.3441356937	98.87822364	0.3337263013	0.7880500618	92.96507326	5.923715201	1.111211536										0	0	0	-918.1086675	0.3441356937	22.7530387243309	
915.5486675	95	4	1	0.4498844774	0.4433360526	98.82230983	0.3837713331	0.7939188417	91.9558507	6.880022824	1.164126479										0	0	0	-915.5486675	0.4433360526	30.741017157881	
912.9886675	95	4	1	0.5252446319	0.5176709067	98.76807367	0.4330755059	0.7988508282	90.95578474	7.828323744	1.215891519										0	0	0	-912.9886675	0.5176709067	40.0736042956785	
910.4286675	95	4	1	0.5836042165	0.5752762821	98.71515878	0.4816696883	0.8031715342	89.9678972	8.76550244	1.266600362										0	0	0	-910.4286675	0.5752762821	50.8083511273072	
907.8686675	95	4	1	0.6299850009	0.6210941932	98.6633185	0.5295912586	0.8070902379	88.99515204	9.688633514	1.316214443										0	0	0	-907.8686675	0.6210941932	63.0008288639771	
905.3086675	95	4	1	0.6676233752	0.6583089102	98.61237332	0.5768831649	0.8107435173	88.04031903	10.59505511	1.364625857										0	0	0	-905.3086675	0.6583089102	76.6998247149294	
902.7486675	95	4	1	0.6986988531	0.6890645352	98.56218443	0.6235931629	0.8142224106	87.10583126	11.48246646	1.411702283										0	0	0	-902.7486675	0.6890645352	91.9445160933955	
900.1886675	95	4	1	0.7247338162	0.7148586381	98.51263943	0.6697727739	0.8175878004	86.19369457	12.34899196	1.457313473										0	0	0	-900.1886675	0.7148586381	108.759145481843	
897.6286675	95	4	1	0.746824041	0.7367691818	98.46364372	0.7154761495	0.8208801313	85.30544071	13.19321211	1.501347175										0	0	0	-897.6286675	0.7367691818	127.149647189174	
895.0686675	95	4	1	0.7657780964	0.7555916918	98.41511523	0.7607589322	0.8241258385	84.44212146	14.01416105	1.543717489										0	0	0	-895.0686675	0.7555916918	147.101665972832	
892.5086675	95	4	1	0.782205122	0.7719256034	98.36698106	0.8056771952	0.827341745	83.60433575	14.81129643	1.584367818										0	0	0	-892.5086675	0.7719256034	168.580021730482	
889.9486675	95	4	1	0.7965720883	0.7862305702	98.31917535	0.8502865297	0.8305381221	82.79227987	15.58444993	1.623270199										0	0	0	-889.9486675	0.7862305702	191.529457266707	
887.3886675	95	4	1	0.8092423245	0.7988643406	98.27163785	0.8946412965	0.833720858	82.00580997	16.3337677	1.660422332										0	0	0	-887.3886675	0.7988643406	215.876383682942	
884.8286675	95	4	1	0.8205021528	0.810108938	98.22431296	0.9387940849	0.8368929578	81.24450862	17.0596478	1.695843575										0	0	0	-884.8286675	0.810108938	241.5312807526	
882.2686675	95	4	1	0.8305797442	0.8201891921	98.17714906	0.9827953343	0.8400556028	80.50774872	17.76268074	1.729570538										0	0	0	-882.2686675	0.8201891921	268.391431708424	
879.7086675	95	4	1	0.8396587422	0.8292861285	98.13009801	1.026693117	0.8432088728	79.794751	18.44359614	1.761652859										0	0	0	-879.7086675	0.8292861285	296.343745925524	
877.1486675	95	4	1	0.8478882827	0.8375468157	98.08311472	1.070533045	0.8463522333	79.10463313	19.10321743	1.792149439										0	0	0	-877.1486675	0.8375468157	325.267464826707	
874.5886675	95	4	1	0.8553904741	0.8450917188	98.03615686	1.114358281	0.8494848571	78.43645004	19.74242471	1.821125254										0	0	0	-874.5886675	0.8450917188	355.036634486381	
872.0286675	95	4	1	0.8622660567	0.8520202635	97.98918456	1.158209609	0.8526058298	77.78922572	20.36212552	1.848648764										0	0	0	-872.0286675	0.8520202635	385.522297672528	
869.4686675	95	4	1	0.8685987328	0.8584150943	97.94216016	1.202125564	0.855714276	77.16197765	20.96323246	1.874789889										0	0	0	-869.4686675	0.8584150943	416.656495334213	
866.9086675	95	4	1	0.8744570335	0.8643437779	97.89504786	1.246144269	0.8588078673	76.55373244	21.54665203	1.899615522										0	0	0	-866.9086675	0.8643437779	448.166451472869	
864.3486675	95	4	1	0.8799030676	0.8698679587	97.84781396	1.29029674	0.8618893003	75.96354879	22.11325064	1.923200563										0	0	0	-864.3486675	0.8698679587	479.96214048493	
861.7886675	95	4	1	0.8849849932	0.8750351055	97.80042604	1.334617613	0.8649563464	75.39051106	22.66388065	1.945608293										0	0	0	-861.7886675	0.8750351055	512.024865061504	
859.2286675	95	4	1	0.8897453135	0.8798872594	97.75285316	1.379138113	0.8680087219	74.83374533	23.19935184	1.966902833										0	0	0	-859.2286675	0.8798872594	544.169626258384	
856.6686675	95	4	1	0.8942204223	0.8844604366	97.70506561	1.423888086	0.8710462996	74.29242007	23.72043448	1.987145448										0	0	0	-856.6686675	0.8844604366	576.279036778465	
854.1086675	95	4	1	0.8984416445	0.8887856528	97.65703474	1.468896164	0.8740690958	73.76574766	24.22785798	2.006394361										0	0	0	-854.1086675	0.8887856528	608.240457556833	
851.5486675	95	4	1	0.9024360764	0.8928897527	97.60873282	1.514189923	0.8770772563	73.25298459	24.72231073	2.024704687										0	0	0	-851.5486675	0.8928897527	639.946297537859	
848.9886675	95	4	1	0.9062272698	0.8967960836	97.56013292	1.559796039	0.8800710421	72.75343079	25.20444076	2.042128445										0	0	0	-848.9886675	0.8967960836	671.294308714403	
846.4286675	95	4	1	0.90983579	0.9005250459	97.51120877	1.605740419	0.8830508159	72.26642834	25.67485703	2.058714633										0	0	0	-846.4286675	0.9005250459	702.187675483829	
843.8686675	95	4	1	0.9132796744	0.9040945463	97.46193464	1.652048334	0.8860170291	71.79135969	26.13413098	2.074509335										0	0	0	-843.8686675	0.9040945463	732.535180303705	
841.3086675	95	4	1	0.9165748111	0.9075203707	97.41228525	1.698744539	0.8889702106	71.32764572	26.58279843	2.08955585										0	0	0	-841.3086675	0.9075203707	762.251242300296	
838.7486675	95	4	1	0.9197352536	0.910816495	97.36223566	1.745853382	0.8919109566	70.87474366	27.0213615	2.103894847										0	0	0	-838.7486675	0.910816495	791.255886215884	
836.1886675	95	4	1	0.9227734818	0.9139953435	97.31176117	1.793398913	0.8948399216	70.43214497	27.45029052	2.117564513										0	0	0	-836.1886675	0.9139953435	819.474634885259	
833.6286675	95	4	1	0.9257006231	0.9170680066	97.26083722	1.841404973	0.8977578118	69.99937288	27.8700264	2.130600724										0	0	0	-833.6286675	0.9170680066	846.838596649178	
831.0686675	95	4	1	0.9285266351	0.9200444219	97.20943933	1.889895292	0.9006653782	69.57598088	28.28098194	2.14303718										0	0	0	-831.0686675	0.9200444219	873.284384654528	
828.5086675	95	4	1	0.9312604628	0.9229335292	97.15754302	1.93889357	0.9035634116	69.16155032	28.68354412	2.154905569										0	0	0	-828.5086675	0.9229335292	898.75382542571	
825.9486675	95	4	1	0.9339101706	0.9257434016	97.1051237	1.988423561	0.9064527388	68.75568857	29.07807572	2.166235708										0	0	0	-825.9486675	0.9257434016	923.193893141363	
823.3886675	95	4	1	0.9364830556	0.9284813573	97.05215663	2.038509149	0.9093342195	68.35802731	29.464917	2.177055684										0	0	0	-823.3886675	0.9284813573	946.556733210647	
820.8286675	95	4	1	0.9389857436	0.9311540544	96.99861684	2.089174421	0.9122087435	67.96822076	29.84438726	2.187391978										0	0	0	-820.8286675	0.9311540544	968.799357959737	
818.2686675	95	4	1	0.9414242724	0.9337675741	96.94447903	2.140443744	0.9150772293	67.58594417	30.21678624	2.197269594										0	0	0	-818.2686675	0.9337675741	989.88347882448	
815.7086675	95	4	1	0.943804163	0.936327491	96.88971755	2.192341825	0.9179406228	67.2108923	30.58239553	2.20671217										0	0	0	-815.7086675	0.936327491	1009.77556747388	
813.1486675	95	4	1	0.9461304818	0.9388389343	96.83430631	2.244893789	0.9207998973	66.84277813	30.94147979	2.215742084										0	0	0	-813.1486675	0.9388389343	1028.44641857608	
810.5886675	95	4	1	0.9484078942	0.9413066421	96.77821871	2.298125242	0.9236560528	66.48133154	31.2942879	2.22438056										0	0	0	-810.5886675	0.9413066421	1045.87114096887	
808.0286675	95	4	1	0.9506407116	0.9437350071	96.72142755	2.352062337	0.926510117	66.12629821	31.64105403	2.232647758										0	0	0	-808.0286675	0.9437350071	1062.02905584938	
805.4686675	95	4	1	0.9528329324	0.946128118	96.66390501	2.406731843	0.9293631461	65.7774385	31.98199864	2.240562859										0	0	0	-805.4686675	0.946128118	1076.90334813535	
802.9086675	95	4	1	0.9549882781	0.9484897955	96.60562256	2.462161212	0.9322162258	65.43452646	32.31732939	2.248144151										0	0	0	-802.9086675	0.9484897955	1090.48103048145	
800.3486675	95	4	1	0.9571102252	0.950823624	96.54655088	2.518378647	0.9350704732	65.09734898	32.64724191	2.255409104										0	0	0	-800.3486675	0.950823624	1102.7528214872	
797.7886675	95	4	1	0.9592020336	0.9531329797	96.48665979	2.575413171	0.9379270387	64.76570489	32.97192067	2.262374441										0	0	0	-797.7886675	0.9531329797	1113.71283791731	
795.2286675	95	4	1	0.9612667712	0.9554210563	96.42591819	2.633294699	0.9407871084	64.43940419	33.29153961	2.269056201										0	0	0	-795.2286675	0.9554210563	1123.35859211203	
792.6686675	95	4	1	0.963307337	0.9576908868	96.36429399	2.692054108	0.9436519066	64.1182674	33.60626279	2.27546981										0	0	0	-792.6686675	0.9576908868	1131.69073835524	
790.1086675	95	4	1	0.9653264806	0.9599453647	96.30175398	2.75172332	0.946522699	63.80212482	33.91624504	2.281630133										0	0	0	-790.1086675	0.9599453647	1138.71291473693	
787.5486675	95	4	1	0.967326821	0.9621872617	96.23826383	2.81233537	0.9494007959	63.49081601	34.22163245	2.287551533										0	0	0	-787.5486675	0.9621872617	1144.43171669933	
784.9886675	95	4	1	0.9693108624	0.9644192448	96.17378795	2.873924495	0.952287556	63.1841892	34.52256288	2.293247923										0	0	0	-784.9886675	0.9644192448	1148.85639228629	
782.4286675	95	4	1	0.9712810099	0.9666438916	96.10828939	2.936526216	0.9551843905	62.88210075	34.81916643	2.298732817										0	0	0	-782.4286675	0.9666438916	1151.98527674584	
781.1486675	95	4	1	0.972261749	0.9677544198	96.0751451	2.968217578	0.9566373225	62.73271648	34.965883	2.301400523										0	0	0	-781.1486675	0.9677544198	1152.16768639189	
780.8286675	95	4	1	0.9725067602	0.9680321835	96.06681755	2.976181037	0.9570014094	62.69554157	35.00239794	2.302060487										0	0	0	-780.8286675	0.9680321835	1154.32160718472	
780.6686675	95	4	1	0.9726288713	0.9681706577	96.06264667	2.98017034	0.9571829942	62.67697789	35.02063359	2.302388522										0	0	0	-780.6686675	0.9681706577	1154.88971280728	
780.5886675	95	4	1	0.9726899596	0.9682399452	96.06055973	2.982166387	0.9572738807	62.66770258	35.02974504	2.30255238										0	0	0	-780.5886675	0.9682399452	1155.47022038637	
780.5738803	95	4	1	0.9727012407	0.968252741	96.06017385	2.982535484	0.9572906678	62.66598856	35.03142882	2.302582626	43.66113616	54.84131265	1.497551188							0	0	0	-780.5738803	0.968252741	1110.33537531121	
780.5586675	95	4	1	0.9734475876	0.9685520597	96.06102369	2.980838393	0.9581379142	62.66673262	35.02934703	2.303920351	43.66113616	54.84131265	1.497551188							0	0	0	-780.5586675	0.9685520597	50.8680852386178	
780.5386675	95	4	1	0.9744267982	0.9689447946	96.06213817	2.978610276	0.9592515552	62.66770987	35.02661225	2.305677879	43.66113616	54.84131265	1.497551188							0	0	0	-780.5386675	0.9689447946	50.9965303127181	
780.4986675	95	4	1	0.9763772881	0.9697269747	96.06435762	2.974164274	0.9614781059	62.66966114	35.02114983	2.309189032	43.66113616	54.84131265	1.497551188							0	0	0	-780.4986675	0.9697269747	51.3177082438641	
