T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
C	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
390.9791053	72	18	10	0.1881518094	0.1803476207	91.75783153	0.04421039126	8.197958075	67.65269355	21.95080444	10.39650202	0	0	0	-664.1291053	0.1803476207	345.169078865351	
388.4191053	72	18	10	0.1960626608	0.1877171991	91.71003144	0.04352338983	8.246445172	67.44504197	22.14971463	10.4052434	0	0	0	-661.5691053	0.1877171991	349.621670503375	
385.8591053	72	18	10	0.2038919691	0.1949932172	91.66247506	0.0428389691	8.294685975	67.23724331	22.34968625	10.41307044	0	0	0	-659.0091053	0.1949932172	354.10314986028	
383.2991053	72	18	10	0.2116410986	0.2021774285	91.61516406	0.04215728878	8.342678649	67.02928879	22.5507271	10.41998411	0	0	0	-656.4491053	0.2021774285	358.61452462046	
380.7391053	72	18	10	0.2193113575	0.2092715232	91.56810015	0.04147850526	8.390421341	66.82117007	22.7528445	10.42598542	0	0	0	-653.8891053	0.2092715232	363.156821132796	
378.1791053	72	18	10	0.2269040008	0.2162771315	91.52128505	0.04080277158	8.437912183	66.61287927	22.95604527	10.43107546	0	0	0	-651.3291053	0.2162771315	367.731076885189	
375.6191053	72	18	10	0.2344202328	0.2231958263	91.47472047	0.04013023741	8.485149296	66.40440892	23.16033573	10.43525535	0	0	0	-648.7691053	0.2231958263	372.338361270973	
373.0591053	72	18	10	0.2418612093	0.2300291254	91.42840816	0.03946104908	8.532130792	66.19575199	23.36572171	10.4385263	0	0	0	-646.2091053	0.2300291254	376.979754711998	
370.4991053	72	18	10	0.2492280401	0.2367784947	91.38234987	0.03879534954	8.57885478	65.98690186	23.57220853	10.44088961	0	0	0	-643.6491053	0.2367784947	381.656338781558	
367.9391053	72	18	10	0.2565217911	0.2434453505	91.33654736	0.03813327838	8.625319364	65.77785234	23.77980102	10.44234664	0	0	0	-641.0891053	0.2434453505	386.369230450853	
365.3791053	72	18	10	0.2637434865	0.2500310612	91.29100238	0.0374749718	8.671522651	65.56859765	23.98850348	10.44289887	0	0	0	-638.5291053	0.2500310612	391.119555154988	
362.8191053	72	18	10	0.270894111	0.2565369503	91.24571669	0.03682056264	8.717462752	65.35913241	24.19831973	10.44254787	0	0	0	-635.9691053	0.2565369503	395.908447191468	
360.2591053	72	18	10	0.2779746113	0.2629642979	91.20069203	0.03617018038	8.763137787	65.14945165	24.40925305	10.4412953	0	0	0	-633.4091053	0.2629642979	400.737056017837	
357.6991053	72	18	10	0.2849858983	0.2693143432	91.15593016	0.03552395111	8.808545885	64.93955078	24.62130625	10.43914296	0	0	0	-630.8491053	0.2693143432	405.606541411912	
355.1391053	72	18	10	0.2919288488	0.275588286	91.11143281	0.03488199762	8.853685189	64.72942563	24.8344816	10.43609277	0	0	0	-628.2891053	0.275588286	410.518081965262	
352.5791053	72	18	10	0.2988043073	0.2817872887	91.0672017	0.03424443933	8.898553861	64.51907238	25.04878087	10.43214676	0	0	0	-625.7291053	0.2817872887	415.47285315344	
350.0191053	72	18	10	0.3056130875	0.2879124783	91.02323853	0.03361139233	8.943150081	64.30848761	25.2642053	10.42730709	0	0	0	-623.1691053	0.2879124783	420.472054734086	
347.4591053	72	18	10	0.3123559739	0.2939649474	90.97954498	0.03298296945	8.987472054	64.09766827	25.48075565	10.42157608	0	0	0	-620.6091053	0.2939649474	425.516886612236	
344.8991053	72	18	10	0.3190337236	0.2999457567	90.93612271	0.0323592802	9.03151801	63.88661167	25.69843216	10.41495616	0	0	0	-618.0491053	0.2999457567	430.608551731223	
342.3391053	72	18	10	0.3256470672	0.3058559358	90.89297336	0.03174043084	9.075286209	63.67531551	25.91723455	10.40744994	0	0	0	-615.4891053	0.3058559358	435.748269338743	
339.7791053	72	18	10	0.3321967109	0.3116964851	90.85009853	0.03112652441	9.118774943	63.46377779	26.13716206	10.39906015	0	0	0	-612.9291053	0.3116964851	440.937256744273	
337.2191053	72	18	10	0.3386833373	0.317468377	90.8074998	0.03051766073	9.16198254	63.25199692	26.35821339	10.38978969	0	0	0	-610.3691053	0.317468377	446.176741204093	
334.6591053	72	18	10	0.3451076069	0.3231725573	90.7651787	0.02991393645	9.204907364	63.03997161	26.58038678	10.37964161	0	0	0	-607.8091053	0.3231725573	451.467951164489	
332.0991053	72	18	10	0.3514701595	0.3288099465	90.72313674	0.02931544508	9.24754782	62.82770091	26.80367995	10.36861914	0	0	0	-605.2491053	0.3288099465	456.812118469629	
329.5391053	72	18	10	0.3577716149	0.334381441	90.68137537	0.028722277	9.289902357	62.61518422	27.02809014	10.35672564	0	0	0	-602.6891053	0.334381441	462.21047268953	
326.9791053	72	18	10	0.3640125748	0.3398879144	90.63989601	0.02813451953	9.331969469	62.40242124	27.25361409	10.34396467	0	0	0	-600.1291053	0.3398879144	467.66424846971	
324.4191053	72	18	10	0.3701936232	0.3453302184	90.59870004	0.02755225696	9.373747699	62.18941199	27.48024808	10.33033993	0	0	0	-597.5691053	0.3453302184	473.174688770627	
