T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(LI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
900.7688465	88	12	0	0	0	98.73297731	1.267022686	0	88	12	0				0.003430765399	-0.003430765399		-900.7688465	0	31.274975703663	
900.7488465	88	12	0	0.0006814429945	0.0006390531368	98.73216103	1.267838974	0	87.9931386	12.0068614	0				0	0		-900.7488465	0.0006390531368	31.317628411012	
900.7288465	88	12	0	0.001361952718	0.001277237105	98.73134468	1.268655318	0	87.98627799	12.01372201	0				0	0		-900.7288465	0.001277237105	31.3544682917387	
900.6888465	88	12	0	0.002720932768	0.002551710693	98.72971178	1.270288215	0	87.97255879	12.02744121	0				0	0		-900.6888465	0.002551710693	31.4195749838585	
900.6088465	88	12	0	0.005430012048	0.005092402264	98.72644519	1.273554807	0	87.94512881	12.05487119	0				0	0		-900.6088465	0.005092402264	31.580667553168	
900.4488465	88	12	0	0.01080046513	0.0101293304	98.71990887	1.280091134	0	87.89030299	12.10969701	0				0	0		-900.4488465	0.0101293304	31.916099430038	
900.1288465	88	12	0	0.0213907993	0.02006310879	98.70682342	1.293176577	0	87.78078708	12.21921292	0				0	0		-900.1288465	0.02006310879	32.5337382385952	
899.4888465	88	12	0	0.04196426931	0.03936559841	98.68060096	1.319399037	0	87.56230146	12.43769854	0				0	0		-899.4888465	0.03936559841	33.818411783738	
898.2088465	88	12	0	0.08084708699	0.07586373648	98.62794582	1.372054176	0	87.12753581	12.87246419	0				0	0		-898.2088465	0.07586373648	36.4947145458474	
895.6488465	88	12	0	0.1506121322	0.1414156073	98.52176124	1.478238756	0	86.26698051	13.73301949	0				0	0		-895.6488465	0.1414156073	42.0917530284605	
893.0888465	88	12	0	0.2114154294	0.1986300161	98.41434474	1.585655265	0	85.41866652	14.58133348	0				0	0		-893.0888465	0.1986300161	47.9710234867442	
890.5288465	88	12	0	0.2648721616	0.2490111627	98.30561217	1.694387832	0	84.58288701	15.41711299	0				0	0		-890.5288465	0.2490111627	54.2240280199668	
887.9688465	88	12	0	0.3122351753	0.2937259742	98.19547375	1.804526248	0	83.7598945	16.2401055	0				0	0		-887.9688465	0.2937259742	60.8422446734613	
885.4088465	88	12	0	0.3544912825	0.3336937575	98.08383364	1.916166364	0	82.94990018	17.05009982	0				0	0		-885.4088465	0.3336937575	67.8147092823703	
882.8488465	88	12	0	0.3924285074	0.3696488057	97.97058942	2.029410576	0	82.15307365	17.84692635	0				0	0		-882.8488465	0.3696488057	75.1276257294421	
880.2888465	88	12	0	0.4266839225	0.4021849343	97.85563163	2.144368369	0	81.36954319	18.63045681	0				0	0		-880.2888465	0.4021849343	82.7640287724051	
877.7288465	88	12	0	0.4577783078	0.4317877519	97.73884306	2.261156941	0	80.59939664	19.40060336	0				0	0		-877.7288465	0.4317877519	90.7034510381373	
875.1688465	88	12	0	0.486141688	0.458858438	97.62009809	2.379901914	0	79.84268268	20.15731732	0				0	0		-875.1688465	0.458858438	98.9215941187758	
872.6088465	88	12	0	0.5121324326	0.4837315306	97.49926185	2.500738149	0	79.09941251	20.90058749	0				0	0		-872.6088465	0.4837315306	107.390009829209	
870.0488465	88	12	0	0.5360517416	0.5066884174	97.37618931	2.623810688	0	78.36956184	21.63043816	0				0	0		-870.0488465	0.5066884174	116.07579548686	
867.4888465	88	12	0	0.5581547698	0.5279676999	97.25072417	2.749275834	0	77.65307311	22.34692689	0				0	0		-867.4888465	0.5279676999	124.941305411928	
864.9288465	88	12	0	0.5786592723	0.5477732505	97.1226976	2.877302398	0	76.94985792	23.05014208	0				0	0		-864.9288465	0.5477732505	133.943886282617	
862.3688465	88	12	0	0.5977523962	0.5662805457	96.99192685	3.008073147	0	76.25979954	23.74020046	0				0	0		-862.3688465	0.5662805457	143.035639768869	
859.8088465	88	12	0	0.6155960733	0.5836416982	96.85821352	3.141786484	0	75.58275544	24.41724456	0				0	0		-859.8088465	0.5836416982	152.163216851352	
857.2488465	88	12	0	0.6323313435	0.5999894967	96.7213416	3.2786584	0	74.91855994	25.08144006	0				0	0		-857.2488465	0.5999894967	161.292973821473	
854.6888465	88	12	0	0.6480775486	0.6154362105	96.58107508	3.418924917	0	74.26702609	25.73297391	0				0	0		-854.6888465	0.6154362105	170.304079889687	
852.1288465	88	12	0	0.6629528929	0.6300946233	96.43715585	3.562844146	0	73.62795044	26.37204956	0				0	0		-852.1288465	0.6300946233	179.13722857428	
849.5688465	88	12	0	0.6770494997	0.6440519804	96.28929958	3.71070042	0	73.00111177	26.99888823	0				0	0		-849.5688465	0.6440519804	187.761209821733	
847.0088465	88	12	0	0.6904541659	0.6573912759	96.1371926	3.862807396	0	72.38627575	27.61372425	0				0	0		-847.0088465	0.6573912759	196.068484381745	
844.4488465	88	12	0	0.7032451853	0.6701878362	95.98048729	4.019512707	0	71.78319621	28.21680379	0				0	0		-844.4488465	0.6701878362	203.971363108698	
841.8888465	88	12	0	0.7154937846	0.6825106983	95.81879665	4.18120335	0	71.19161708	28.80838292	0				0	0		-841.8888465	0.6825106983	211.376802724287	
839.3288465	88	12	0	0.7272653828	0.6944238328	95.6516878	4.348312196	0	70.61127388	29.38872612	0				0	0		-839.3288465	0.6944238328	218.186719854768	
