T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
865.4550902	97	0	3	1	1	97.00000005	0	2.999999951										-865.4550902	1	NaN	
862.8950902	97	0	3	1	1	97.00000005	0	2.999999951										-862.8950902	1	NaN	
860.3350902	97	0	3	1	1	97.00000005	0	2.999999951										-860.3350902	1	NaN	
857.7750902	97	0	3	1	1	97.00000005	0	2.999999951										-857.7750902	1	NaN	
855.2150902	97	0	3	1	1	97.00000005	0	2.99999995										-855.2150902	1	NaN	
852.6550902	97	0	3	1	1	97.00000005	0	2.99999995										-852.6550902	1	NaN	
850.0950902	97	0	3	1	1	97.00000005	0	2.99999995										-850.0950902	1	NaN	
847.5350902	97	0	3	1	1	97.00000005	0	2.999999949										-847.5350902	1	NaN	
844.9750902	97	0	3	1	1	97.00000005	0	2.999999949										-844.9750902	1	NaN	
842.4150902	97	0	3	1	1	97.00000005	0	2.999999949										-842.4150902	1	NaN	
839.8550902	97	0	3	1	1	97.00000005	0	2.999999949										-839.8550902	1	NaN	
837.2950902	97	0	3	1	1	97.00000005	0	2.999999948										-837.2950902	1	NaN	
834.7350902	97	0	3	1	1	97.00000005	0	2.999999948										-834.7350902	1	NaN	
832.1750902	97	0	3	1	1	97.00000005	0	2.999999948										-832.1750902	1	NaN	
829.6150902	97	0	3	1	1	97.00000005	0	2.999999947										-829.6150902	1	NaN	
827.0550902	97	0	3	1	1	97.00000005	0	2.999999947										-827.0550902	1	NaN	
824.4950902	97	0	3	1	1	97.00000005	0	2.999999947										-824.4950902	1	NaN	
